Epoch,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
3,0.661727,0.412754,0.462460,0.00,0.00,0,0,71,40,inf,116,39,287,120.90,75.84,245.25,49.90,35.84,0.00,2,9,0,13,7.73,4.38,9.89
6,0.603731,0.461144,0.469756,0.00,0.00,0,0,71,40,inf,117,46,279,126.99,77.13,237.88,55.99,37.13,0.00,2,9,0,13,8.11,3.84,10.05
9,0.590713,0.489121,0.485259,0.00,0.00,0,0,71,40,inf,130,50,262,139.33,78.10,224.57,68.33,38.10,0.00,2,7,0,15,8.31,3.89,9.80
12,0.562948,0.481082,0.478700,0.00,0.00,0,0,71,40,inf,118,56,268,129.57,81.65,230.77,58.57,41.65,0.00,2,8,1,13,8.42,3.75,9.82
15,0.566168,0.482444,0.461527,0.00,0.00,0,0,71,40,inf,118,56,268,130.06,81.76,230.17,59.06,41.76,0.00,2,6,1,15,8.12,3.46,10.42
18,0.556931,0.486889,0.438342,0.00,0.00,0,0,71,40,inf,128,48,266,135.00,79.95,227.05,64.00,39.95,0.00,2,6,1,15,7.69,3.88,10.43
21,0.545090,0.484901,0.447476,0.00,0.00,0,0,71,40,inf,131,46,265,133.98,79.96,228.06,62.98,39.96,0.00,2,7,0,15,7.57,3.16,11.26
24,0.540276,0.456650,0.437072,0.00,0.00,0,0,71,40,inf,117,51,274,125.54,76.76,239.71,54.54,36.76,0.00,2,6,1,15,7.46,3.41,11.13
27,0.527006,0.486863,0.477955,0.00,0.00,0,0,71,40,inf,126,53,263,134.91,80.00,227.09,63.91,40.00,0.00,2,9,1,12,8.69,3.48,9.84
30,0.523230,0.489022,0.491836,0.00,0.00,0,0,71,40,inf,129,49,264,136.48,79.72,225.79,65.48,39.72,0.00,2,8,1,13,9.08,3.75,9.16
33,0.514416,0.470921,0.455399,0.00,0.00,0,0,71,40,inf,124,55,263,131.86,76.96,233.17,60.86,36.96,0.00,2,7,1,14,8.88,2.79,10.33
36,0.532472,0.479226,0.467505,0.00,0.00,0,0,71,40,inf,116,56,270,126.90,82.98,232.12,55.90,42.98,0.00,2,5,1,16,7.46,3.71,10.84
39,0.522135,0.472260,0.459251,0.00,0.00,0,0,71,40,inf,124,48,270,132.63,76.90,232.47,61.63,36.90,0.00,2,6,1,15,7.93,4.01,10.05
42,0.502437,0.492546,0.462095,0.00,0.00,0,0,71,40,inf,117,67,258,126.03,88.58,227.39,55.03,48.58,0.00,2,7,1,14,7.60,3.97,10.43
45,0.507263,0.488894,0.482851,0.00,0.00,0,0,71,40,inf,135,55,252,135.72,80.15,226.13,64.72,40.15,0.00,2,11,1,10,8.73,3.98,9.29
48,0.492431,0.476425,0.474692,0.00,0.00,0,0,71,40,inf,116,59,267,129.02,80.51,232.47,58.02,40.51,0.00,2,6,1,15,7.92,3.64,10.44
51,0.493725,0.502660,0.503631,0.00,0.00,0,0,71,40,inf,123,66,253,132.52,87.16,222.32,61.52,47.16,0.00,2,6,1,15,7.57,4.19,10.25
54,0.475728,0.467611,0.477740,0.00,0.00,0,0,71,40,inf,118,58,266,129.67,77.33,235.00,58.67,37.33,0.00,2,8,1,13,8.12,3.57,10.32
57,0.486022,0.453149,0.443000,0.00,0.00,0,0,71,40,inf,116,50,276,127.24,74.67,240.09,56.24,34.67,0.00,2,6,1,15,7.36,3.61,11.02
60,0.466258,0.475254,0.478223,0.00,0.00,0,0,71,40,inf,121,50,271,130.52,79.13,232.35,59.52,39.13,0.00,2,7,1,14,8.25,3.81,9.94
63,0.476585,0.478190,0.469320,0.00,0.00,0,0,71,40,inf,125,53,264,134.80,77.38,229.82,63.80,37.38,0.00,2,7,1,14,7.95,3.89,10.16
66,0.474782,0.460410,0.467373,0.00,0.00,0,0,71,40,inf,121,45,276,128.84,75.74,237.42,57.84,35.74,0.00,2,6,1,15,7.44,4.00,10.56
69,0.476916,0.473971,0.486766,0.00,0.00,0,0,71,40,inf,132,55,255,140.18,73.32,228.50,69.18,33.32,0.00,2,9,1,12,8.73,3.12,10.15
72,0.462409,0.488014,0.479466,0.00,0.00,0,0,71,40,inf,123,65,254,134.60,80.57,226.83,63.60,40.57,0.00,2,8,1,13,8.51,3.60,9.89
75,0.471217,0.433111,0.465915,0.00,0.00,0,0,71,40,inf,124,46,272,133.31,66.53,242.15,62.31,26.53,0.00,2,8,1,13,8.66,3.51,9.83
78,0.462794,0.448163,0.458644,0.00,0.00,0,0,71,40,inf,113,53,276,128.63,72.50,240.87,57.63,32.50,0.00,2,6,1,15,7.88,3.98,10.15
81,0.467040,0.446255,0.436544,0.00,0.00,0,0,71,40,inf,111,57,274,120.88,76.90,244.22,49.88,36.90,0.00,2,7,1,14,7.71,3.81,10.47
84,0.449314,0.457872,0.465930,0.00,0.00,0,0,71,40,inf,112,59,271,123.95,78.21,239.84,52.95,38.21,0.00,2,6,1,15,7.08,4.06,10.86
87,0.420709,0.470004,0.474902,0.00,0.00,0,0,71,40,inf,121,60,261,130.09,77.79,234.12,59.09,37.79,0.00,2,7,1,14,8.25,3.04,10.70
90,0.447297,0.453679,0.441221,0.00,0.00,0,0,71,40,inf,113,60,269,124.34,76.68,240.98,53.34,36.68,0.00,2,6,1,15,6.92,3.67,11.41
93,0.446371,0.484689,0.468639,0.00,0.00,0,0,71,40,inf,121,62,259,132.02,81.17,228.82,61.02,41.17,0.00,2,7,1,14,7.86,3.31,10.83
96,0.438562,0.463326,0.450165,0.00,0.00,0,0,71,40,inf,117,61,264,128.47,76.82,236.71,57.47,36.82,0.00,2,6,1,15,7.04,3.21,11.75
99,0.441556,0.477764,0.466493,0.00,0.00,0,0,71,40,inf,117,67,258,130.95,79.64,231.41,59.95,39.64,0.00,2,7,1,14,8.09,3.23,10.69
102,0.441009,0.467352,0.450643,0.00,0.00,0,0,71,40,inf,120,55,267,131.13,76.36,234.51,60.13,36.36,0.00,2,8,1,13,7.92,3.91,10.17
105,0.427413,0.483163,0.479577,0.00,0.00,0,0,71,40,inf,120,68,254,127.84,83.63,230.53,56.84,43.63,0.00,2,8,1,13,8.16,3.54,10.30
108,0.422973,0.462438,0.455255,0.00,0.00,0,0,71,40,inf,120,59,263,124.72,79.08,238.21,53.72,39.08,0.00,2,6,1,15,7.04,3.89,11.07
111,0.432952,0.470377,0.471251,0.00,0.00,0,0,71,40,inf,126,63,253,132.01,76.71,233.27,61.01,36.71,0.00,2,11,1,10,9.17,3.27,9.56
114,0.419696,0.462704,0.448276,0.00,0.00,0,0,71,40,inf,115,63,264,126.40,77.99,237.61,55.40,37.99,0.00,2,7,1,14,8.01,3.77,10.22
117,0.435324,0.475232,0.448997,0.00,0.00,0,0,71,40,inf,124,64,254,134.93,76.43,230.64,63.93,36.43,0.00,2,7,1,14,8.08,3.48,10.44
120,0.425336,0.446866,0.452616,0.00,0.00,0,0,71,40,inf,109,62,271,120.18,77.59,244.22,49.18,37.59,0.00,2,6,1,15,6.85,3.84,11.31
123,0.422503,0.461166,0.471014,0.00,0.00,0,0,71,40,inf,108,69,265,121.95,80.74,239.32,50.95,40.74,0.00,2,7,1,14,7.69,3.89,10.42
126,0.420493,0.465136,0.476841,0.00,0.00,0,0,71,40,inf,126,60,256,133.01,74.64,234.35,62.01,34.64,0.00,2,9,1,12,8.35,3.27,10.37
129,0.409992,0.455255,0.457251,0.00,0.00,0,0,71,40,inf,115,62,265,128.37,74.57,239.06,57.37,34.57,0.00,2,6,1,15,7.59,3.03,11.37
132,0.413663,0.470624,0.453564,0.00,0.00,0,0,71,40,inf,120,66,256,129.15,78.58,234.26,58.15,38.58,0.00,2,7,1,14,7.45,3.86,10.69
135,0.394634,0.458351,0.446196,0.00,0.00,0,0,71,40,inf,110,66,266,125.24,77.46,239.30,54.24,37.46,0.00,2,7,1,14,7.40,3.67,10.94
