Epoch,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
3,0.659360,0.489809,0.260734,0.00,0.00,0,0,71,40,inf,143,16,283,139.16,70.96,231.88,68.16,30.96,0.00,2,9,0,13,8.09,4.50,9.41
6,0.589699,0.469815,0.321317,0.00,0.00,0,0,71,40,inf,121,53,268,127.55,79.41,235.04,56.55,39.41,0.00,2,13,1,8,9.49,4.08,8.42
9,0.564935,0.498338,0.356562,0.00,0.00,0,0,71,40,inf,123,63,256,133.75,84.66,223.59,62.75,44.66,0.00,2,11,0,11,9.00,4.05,8.94
12,0.554472,0.471424,0.296206,0.00,0.00,0,0,71,40,inf,131,50,261,134.52,75.57,231.92,63.52,35.57,0.00,2,15,1,6,9.74,3.61,8.64
15,0.538784,0.479584,0.265952,0.00,0.00,0,0,71,40,inf,122,56,264,132.10,79.46,230.43,61.10,39.46,0.00,2,8,1,13,7.71,4.18,10.11
18,0.529608,0.479068,0.321475,0.00,0.00,0,0,71,40,inf,120,54,268,132.45,79.08,230.47,61.45,39.08,0.00,2,9,1,12,8.18,3.93,9.89
21,0.516064,0.469292,0.292384,0.00,0.00,0,0,71,40,inf,129,49,264,141.36,71.54,229.10,70.36,31.54,0.00,2,10,1,11,9.14,3.24,9.62
24,0.495062,0.459719,0.254405,0.00,0.00,0,0,71,40,inf,131,53,258,141.89,68.95,231.17,70.89,28.95,0.00,2,9,1,12,8.10,3.55,10.35
27,0.483723,0.428331,0.264465,0.00,0.00,0,0,71,40,inf,114,55,273,127.63,68.14,246.23,56.63,28.14,0.00,2,8,1,13,7.64,3.49,10.87
30,0.474168,0.423391,0.283945,0.00,0.00,0,0,71,40,inf,112,54,276,123.59,69.12,249.29,52.59,29.12,0.00,2,9,1,12,7.15,4.38,10.47
33,0.473737,0.482573,0.358492,0.00,0.00,0,0,71,40,inf,117,71,254,129.42,82.26,230.32,58.42,42.26,0.00,2,9,1,12,7.92,3.37,10.71
36,0.462415,0.450751,0.289664,0.00,0.00,0,0,71,40,inf,123,53,266,136.32,69.24,236.43,65.32,29.24,0.00,2,8,1,13,8.67,3.54,9.78
39,0.447430,0.474857,0.342949,0.00,0.00,0,0,71,40,inf,116,72,254,129.09,79.95,232.95,58.09,39.95,0.00,2,8,1,13,7.92,3.57,10.51
42,0.436310,0.445121,0.273746,0.00,0.00,0,0,71,40,inf,123,60,259,133.21,69.35,239.44,62.21,29.35,0.00,2,10,1,11,8.35,3.58,10.07
45,0.416977,0.465674,0.320714,0.00,0.00,0,0,71,40,inf,122,53,267,132.41,75.13,234.47,61.41,35.13,0.00,2,8,1,13,7.37,3.23,11.40
48,0.409991,0.436002,0.315034,0.00,0.00,0,0,71,40,inf,110,57,275,123.53,72.30,246.17,52.53,32.30,0.00,2,5,1,16,6.43,3.51,12.06
51,0.409760,0.468682,0.320101,0.00,0.00,0,0,71,40,inf,122,61,259,129.67,77.66,234.67,58.67,37.66,0.00,2,13,1,8,8.35,3.44,10.21
54,0.388582,0.446329,0.342658,0.00,0.00,0,0,71,40,inf,108,68,266,116.80,80.08,245.11,45.80,40.08,0.00,2,10,1,11,7.55,3.85,10.60
57,0.364754,0.442545,0.316601,0.00,0.00,0,0,71,40,inf,116,64,262,124.00,73.76,244.25,53.00,33.76,0.00,2,9,1,12,7.96,3.08,10.96
60,0.368906,0.442944,0.362012,0.00,0.00,0,0,71,40,inf,112,72,258,117.59,78.39,246.03,46.59,38.39,0.00,2,12,1,9,8.53,3.05,10.42
63,0.373684,0.455664,0.348210,0.00,0.00,0,0,71,40,inf,117,70,255,128.67,74.51,238.83,57.67,34.51,0.00,2,10,1,11,9.22,2.71,10.07
66,0.359486,0.465237,0.267401,0.00,0.00,0,0,71,40,inf,121,71,250,129.30,76.86,235.84,58.30,36.86,0.00,2,11,1,10,7.56,4.10,10.34
69,0.352764,0.447619,0.294976,0.00,0.00,0,0,71,40,inf,136,59,247,139.89,66.98,235.13,68.89,26.98,0.00,2,11,1,10,9.38,3.12,9.50
72,0.365480,0.452332,0.305573,0.00,0.00,0,0,71,40,inf,119,66,257,123.81,76.65,241.54,52.81,36.65,0.00,2,10,1,11,8.18,4.07,9.75
75,0.340526,0.475549,0.300453,0.00,0.00,0,0,71,40,inf,128,64,250,138.09,74.80,229.11,67.09,34.80,0.00,2,11,1,10,9.57,2.82,9.61
78,0.329455,0.450352,0.306707,0.00,0.00,0,0,71,40,inf,118,68,256,129.81,72.42,239.77,58.81,32.42,0.00,2,9,2,11,8.00,3.39,10.62
81,0.334344,0.476693,0.325333,0.00,0.00,0,0,71,40,inf,120,71,251,129.55,80.23,232.22,58.55,40.23,0.00,2,7,1,14,8.57,2.41,11.01
84,0.334229,0.435517,0.268608,0.00,0.00,0,0,71,40,inf,129,58,255,135.41,66.16,240.43,64.41,26.16,0.00,2,9,1,12,8.61,2.49,10.90
87,0.313978,0.473325,0.316668,0.00,0.00,0,0,71,40,inf,124,71,247,134.04,76.38,231.57,63.04,36.38,0.00,2,11,1,10,10.30,2.36,9.34
90,0.318361,0.422562,0.266127,0.00,0.00,0,0,71,40,inf,117,68,257,122.61,69.47,249.92,51.61,29.47,0.00,2,9,2,11,8.12,2.79,11.09
93,0.310402,0.437058,0.279441,0.00,0.00,0,0,71,40,inf,122,62,258,125.65,71.32,245.03,54.65,31.32,0.00,2,10,1,11,8.49,3.05,10.46
96,0.285830,0.483033,0.308369,0.00,0.00,0,0,71,40,inf,119,81,242,126.78,84.40,230.81,55.78,44.40,0.00,2,7,2,13,7.44,3.58,10.98
