Epoch,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
3,0.653927,0.678937,0.506555,0.00,0.00,0,0,43,24,inf,133,31,278,132.51,75.56,233.93,89.51,51.56,0.00,2,12,0,10,9.45,3.55,9.00
6,0.608414,0.686489,0.509792,0.00,0.00,0,0,43,24,inf,131,40,271,137.44,76.40,228.17,94.44,52.40,0.00,2,9,0,13,8.71,3.95,9.34
9,0.588279,0.668316,0.501847,0.00,0.00,0,0,43,24,inf,119,47,276,125.15,75.05,241.80,82.15,51.05,0.00,2,13,0,9,9.44,3.57,9.00
12,0.575079,0.687113,0.507772,0.00,0.00,0,0,43,24,inf,123,56,263,134.77,78.25,228.98,91.77,54.25,0.00,2,11,0,11,9.39,3.59,9.02
15,0.567776,0.698063,0.507395,0.00,0.00,0,0,43,24,inf,127,56,259,137.31,82.56,222.14,94.31,58.56,0.00,2,10,0,12,9.29,3.22,9.50
18,0.540392,0.691691,0.502918,0.00,0.00,0,0,43,24,inf,130,52,260,138.42,78.44,225.14,95.42,54.44,0.00,2,10,0,12,8.63,3.39,9.98
21,0.551889,0.678163,0.502637,0.00,0.00,0,0,43,24,inf,121,54,267,132.66,75.11,234.23,89.66,51.11,0.00,2,7,0,15,8.14,2.88,10.98
24,0.537974,0.673653,0.471909,0.00,0.00,0,0,43,24,inf,121,52,269,129.22,75.02,237.76,86.22,51.02,0.00,2,10,1,11,9.22,3.00,9.78
27,0.519055,0.676943,0.480501,0.00,0.00,0,0,43,24,inf,120,51,271,128.44,77.09,236.47,85.44,53.09,0.00,2,8,0,14,8.44,3.33,10.23
30,0.519846,0.684510,0.503789,0.00,0.00,0,0,43,24,inf,129,51,262,137.18,75.58,229.24,94.18,51.58,0.00,2,12,0,10,10.18,3.07,8.75
33,0.509743,0.688131,0.531559,0.00,0.00,0,0,43,24,inf,122,60,260,132.05,80.51,229.44,89.05,56.51,0.00,2,12,0,10,9.54,3.23,9.23
36,0.521077,0.686717,0.499554,0.00,0.00,0,0,43,24,inf,128,55,259,136.53,77.02,228.45,93.53,53.02,0.00,2,7,0,15,8.25,3.57,10.18
39,0.508339,0.691741,0.526614,0.00,0.00,0,0,43,24,inf,132,56,254,140.30,77.41,224.29,97.30,53.41,0.00,2,11,0,11,10.16,2.83,9.01
42,0.499638,0.673247,0.501432,0.00,0.00,0,0,43,24,inf,122,55,265,130.13,74.29,237.58,87.13,50.29,0.00,2,11,1,10,9.31,2.89,9.79
45,0.501795,0.677759,0.501892,0.00,0.00,0,0,43,24,inf,125,54,263,132.77,74.86,234.38,89.77,50.86,0.00,2,10,1,11,9.00,2.98,10.02
48,0.505448,0.681866,0.532619,0.00,0.00,0,0,43,24,inf,119,61,262,128.87,79.32,233.82,85.87,55.32,0.00,2,8,1,13,8.15,3.68,10.17
51,0.512796,0.687323,0.530109,0.00,0.00,0,0,43,24,inf,129,59,254,138.72,76.10,227.18,95.72,52.10,0.00,2,12,1,9,9.84,3.02,9.14
54,0.495542,0.682571,0.514885,0.00,0.00,0,0,43,24,inf,131,56,255,139.26,73.60,229.14,96.26,49.60,0.00,2,13,1,8,10.80,2.88,8.32
57,0.478550,0.685329,0.517224,0.00,0.00,0,0,43,24,inf,131,53,258,140.06,74.46,227.48,97.06,50.46,0.00,2,11,1,10,9.46,3.25,9.29
60,0.481889,0.690376,0.529111,0.00,0.00,0,0,43,24,inf,135,57,250,142.50,75.59,223.91,99.50,51.59,0.00,2,10,1,11,9.98,2.93,9.09
63,0.490753,0.694338,0.504781,0.00,0.00,0,0,43,24,inf,142,55,245,147.51,75.04,219.45,104.51,51.04,0.00,2,12,0,10,10.28,2.49,9.23
66,0.461116,0.656860,0.500830,0.00,0.00,0,0,43,24,inf,119,48,275,131.62,66.75,243.64,88.62,42.75,0.00,2,9,1,12,9.61,2.70,9.69
69,0.476318,0.681178,0.523085,0.00,0.00,0,0,43,24,inf,125,61,256,135.48,74.94,231.58,92.48,50.94,0.00,2,9,1,12,9.38,2.57,10.05
72,0.467182,0.680273,0.498858,0.00,0.00,0,0,43,24,inf,122,60,260,132.12,76.43,233.44,89.12,52.43,0.00,2,8,1,13,8.73,3.07,10.20
75,0.447282,0.685066,0.535610,0.00,0.00,0,0,43,24,inf,119,70,253,129.17,80.82,232.01,86.17,56.82,0.00,2,9,2,11,8.96,3.46,9.58
78,0.455515,0.673380,0.503173,0.00,0.00,0,0,43,24,inf,120,59,263,128.01,75.63,238.36,85.01,51.63,0.00,2,7,1,14,7.88,3.47,10.66
81,0.455122,0.685847,0.545218,0.00,0.00,0,0,43,24,inf,131,59,252,140.29,74.58,227.13,97.29,50.58,0.00,2,10,1,11,9.68,2.63,9.68
84,0.454681,0.655261,0.508441,0.00,0.00,0,0,43,24,inf,120,51,271,129.59,67.10,245.31,86.59,43.10,0.00,2,8,1,13,8.47,2.90,10.63
87,0.442160,0.670794,0.517578,0.00,0.00,0,0,43,24,inf,118,58,266,131.34,72.51,238.16,88.34,48.51,0.00,2,7,1,14,8.22,2.93,10.86
90,0.453673,0.684684,0.548495,0.00,0.00,0,0,43,24,inf,128,56,258,137.86,75.30,228.84,94.86,51.30,0.00,2,11,1,10,10.23,2.87,8.89
93,0.470380,0.670524,0.513021,0.00,0.00,0,0,43,24,inf,120,57,265,132.09,71.98,237.93,89.09,47.98,0.00,2,9,1,12,9.31,3.13,9.56
96,0.448107,0.657156,0.502068,0.00,0.00,0,0,43,24,inf,117,57,268,128.21,68.51,245.28,85.21,44.51,0.00,2,8,1,13,8.63,2.63,10.75
