Epoch,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
3,0.638255,0.680313,0.501509,0.00,0.00,0,0,43,24,inf,121,48,273,131.42,76.88,233.70,88.42,52.88,0.00,2,16,0,6,10.76,3.77,7.48
6,0.601878,0.683467,0.498514,0.00,0.00,0,0,43,24,inf,121,45,276,129.60,79.66,232.74,86.60,55.66,0.00,2,6,0,16,6.67,3.94,11.39
9,0.576289,0.698921,0.504950,0.00,0.00,0,0,43,24,inf,134,50,258,139.66,81.56,220.78,96.66,57.56,0.00,2,16,0,6,10.92,3.61,7.47
12,0.550575,0.683735,0.482935,0.00,0.00,0,0,43,24,inf,123,51,268,131.60,78.49,231.91,88.60,54.49,0.00,2,10,1,11,8.87,3.63,9.50
15,0.545466,0.689209,0.492693,0.00,0.00,0,0,43,24,inf,129,44,269,137.92,77.47,226.61,94.92,53.47,0.00,2,9,0,13,8.61,3.24,10.15
18,0.539229,0.688114,0.511326,0.00,0.00,0,0,43,24,inf,132,50,260,138.78,76.45,226.77,95.78,52.45,0.00,2,15,0,7,9.77,3.43,8.80
21,0.517910,0.693260,0.524150,0.00,0.00,0,0,43,24,inf,126,63,253,138.19,79.39,224.42,95.19,55.39,0.00,2,9,0,13,8.28,3.53,10.18
24,0.527042,0.677236,0.518679,0.00,0.00,0,0,43,24,inf,112,65,265,123.76,80.52,237.73,80.76,56.52,0.00,2,7,1,14,7.40,4.10,10.50
27,0.527797,0.681154,0.495987,0.00,0.00,0,0,43,24,inf,127,54,261,133.22,76.21,232.57,90.22,52.21,0.00,2,9,0,13,8.49,3.48,10.03
30,0.507772,0.664889,0.476047,0.00,0.00,0,0,43,24,inf,132,43,267,135.74,67.90,238.35,92.74,43.90,0.00,2,10,1,11,8.90,3.10,10.00
33,0.493111,0.676533,0.493216,0.00,0.00,0,0,43,24,inf,126,50,266,129.93,75.95,236.12,86.93,51.95,0.00,2,8,1,13,8.37,2.97,10.67
36,0.474447,0.681812,0.505477,0.00,0.00,0,0,43,24,inf,133,54,255,138.82,73.48,229.70,95.82,49.48,0.00,2,11,1,10,9.41,2.96,9.63
39,0.462911,0.678033,0.485546,0.00,0.00,0,0,43,24,inf,123,58,261,130.92,76.07,235.01,87.92,52.07,0.00,2,8,1,13,8.02,3.52,10.46
42,0.474367,0.664931,0.507849,0.00,0.00,0,0,43,24,inf,112,54,276,127.71,71.98,242.31,84.71,47.98,0.00,2,6,1,15,7.41,3.39,11.20
45,0.467743,0.677988,0.520569,0.00,0.00,0,0,43,24,inf,114,66,262,125.20,79.84,236.95,82.20,55.84,0.00,2,10,1,11,8.58,3.24,10.17
48,0.473251,0.676533,0.504558,0.00,0.00,0,0,43,24,inf,134,48,260,139.27,70.97,231.76,96.27,46.97,0.00,2,10,1,11,8.77,3.40,9.83
51,0.451147,0.695260,0.533572,0.00,0.00,0,0,43,24,inf,131,62,249,138.10,80.50,223.39,95.10,56.50,0.00,2,12,1,9,9.52,3.21,9.27
54,0.433520,0.672155,0.519879,0.00,0.00,0,0,43,24,inf,122,59,261,129.22,74.32,238.46,86.22,50.32,0.00,2,8,1,13,7.93,2.91,11.16
57,0.444293,0.669969,0.500102,0.00,0.00,0,0,43,24,inf,111,59,272,126.54,74.94,240.52,83.54,50.94,0.00,2,6,1,15,7.75,2.92,11.33
60,0.435596,0.671271,0.480635,0.00,0.00,0,0,43,24,inf,126,57,259,130.13,73.39,238.48,87.13,49.39,0.00,2,7,1,14,8.38,3.53,10.09
63,0.426389,0.684324,0.515742,0.00,0.00,0,0,43,24,inf,130,66,246,133.64,77.52,230.84,90.64,53.52,0.00,2,13,1,8,8.90,3.07,10.03
66,0.415721,0.678836,0.518191,0.00,0.00,0,0,43,24,inf,122,62,258,132.45,75.55,234.00,89.45,51.55,0.00,2,7,1,14,7.98,2.95,11.07
69,0.418685,0.672105,0.499861,0.00,0.00,0,0,43,24,inf,118,65,259,125.62,76.56,239.82,82.62,52.56,0.00,2,8,2,12,8.40,3.46,10.14
72,0.418821,0.649384,0.481430,0.00,0.00,0,0,43,24,inf,111,64,267,121.27,69.23,251.50,78.27,45.23,0.00,2,8,1,13,7.60,3.10,11.30
75,0.411981,0.664512,0.500424,0.00,0.00,0,0,43,24,inf,120,61,261,128.12,71.57,242.31,85.12,47.57,0.00,2,9,1,12,8.78,2.51,10.71
78,0.405223,0.677644,0.514218,0.00,0.00,0,0,43,24,inf,119,72,251,125.20,79.67,237.14,82.20,55.67,0.00,2,9,1,12,7.86,2.81,11.33
81,0.386445,0.670774,0.509978,0.00,0.00,0,0,43,24,inf,113,71,258,119.87,80.07,242.06,76.87,56.07,0.00,2,8,2,12,8.07,3.03,10.90
84,0.397784,0.671043,0.511668,0.00,0.00,0,0,43,24,inf,114,72,256,122.60,78.13,241.27,79.60,54.13,0.00,2,8,2,12,7.61,2.92,11.46
87,0.384342,0.682674,0.516032,0.00,0.00,0,0,43,24,inf,115,75,252,125.18,82.43,234.39,82.18,58.43,0.00,2,10,1,11,8.47,2.62,10.91
90,0.386105,0.668742,0.497905,0.00,0.00,0,0,43,24,inf,117,66,259,124.68,75.56,241.76,81.68,51.56,0.00,2,9,1,12,8.06,2.95,10.99
93,0.373502,0.667930,0.499559,0.00,0.00,0,0,43,24,inf,108,71,263,120.44,78.15,243.41,77.44,54.15,0.00,2,5,2,15,6.87,3.41,11.72
96,0.371133,0.662761,0.492850,0.00,0.00,0,0,43,24,inf,109,69,264,116.71,78.42,246.87,73.71,54.42,0.00,2,7,1,14,7.39,2.85,11.76
99,0.383157,0.691221,0.518748,0.00,0.00,0,0,43,24,inf,114,87,241,123.21,89.37,229.42,80.21,65.37,0.00,2,8,2,12,7.89,3.83,10.28
102,0.364398,0.681707,0.514976,0.00,0.00,0,0,43,24,inf,118,72,252,126.47,80.92,234.61,83.47,56.92,0.00,2,9,1,12,8.01,3.21,10.78
105,0.358225,0.680278,0.494957,0.00,0.00,0,0,43,24,inf,118,77,247,122.98,82.82,236.20,79.98,58.82,0.00,2,9,2,11,7.70,2.80,11.50
108,0.370485,0.678956,0.492098,0.00,0.00,0,0,43,24,inf,117,74,251,128.63,77.97,235.40,85.63,53.97,0.00,2,9,1,12,8.74,2.70,10.56
111,0.334206,0.680675,0.495544,0.00,0.00,0,0,43,24,inf,117,81,244,125.39,81.16,235.45,82.39,57.16,0.00,2,10,3,9,8.98,3.11,9.91
114,0.356673,0.688792,0.525390,0.00,0.00,0,0,43,24,inf,113,82,247,128.45,83.43,230.12,85.45,59.43,0.00,2,10,3,9,9.03,3.26,9.71
117,0.327586,0.686380,0.517026,0.00,0.00,0,0,43,24,inf,120,78,244,129.95,80.99,231.06,86.95,56.99,0.00,2,9,1,12,8.44,2.76,10.81
120,0.342713,0.642972,0.462514,0.00,0.00,0,0,43,24,inf,115,59,268,122.44,66.14,253.42,79.44,42.14,0.00,2,8,1,13,7.52,2.48,12.00
123,0.336221,0.672823,0.496539,0.00,0.00,0,0,43,24,inf,113,79,250,123.23,78.58,240.19,80.23,54.58,0.00,2,9,2,11,8.00,3.23,10.77
126,0.328271,0.673049,0.503463,0.00,0.00,0,0,43,24,inf,102,85,255,116.70,84.08,241.22,73.70,60.08,0.00,2,7,1,14,7.41,2.92,11.67
129,0.340357,0.660142,0.467792,0.00,0.00,0,0,43,24,inf,114,72,256,124.23,71.95,245.82,81.23,47.95,0.00,2,7,2,13,7.87,3.13,11.00
132,0.322523,0.676410,0.496310,0.00,0.00,0,0,43,24,inf,117,74,251,121.59,81.76,238.65,78.59,57.76,0.00,2,8,2,12,8.64,3.63,9.72
135,0.328116,0.683541,0.500899,0.00,0.00,0,0,43,24,inf,112,86,244,122.25,85.35,234.40,79.25,61.35,0.00,2,8,3,11,8.02,3.50,10.48
138,0.331759,0.674575,0.495874,0.00,0.00,0,0,43,24,inf,119,71,252,128.12,76.13,237.74,85.12,52.13,0.00,2,6,2,14,7.83,3.41,10.76
141,0.322756,0.689022,0.528060,0.00,0.00,0,0,43,24,inf,112,87,243,123.30,87.84,230.86,80.30,63.84,0.00,2,9,2,11,9.07,3.55,9.39
144,0.310795,0.679880,0.505509,0.00,0.00,0,0,43,24,inf,120,74,248,127.87,78.96,235.17,84.87,54.96,0.00,2,9,2,11,8.36,3.33,10.31
147,0.331740,0.679140,0.489664,0.00,0.00,0,0,43,24,inf,122,71,249,129.71,77.36,234.92,86.71,53.36,0.00,2,9,3,10,8.83,3.50,9.67
150,0.299333,0.663154,0.490157,0.00,0.00,0,0,43,24,inf,110,73,259,117.25,78.19,246.56,74.25,54.19,0.00,2,6,2,14,7.42,3.16,11.42
