Epoch,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
3,0.659818,0.668570,0.449553,0.00,0.00,0,0,43,24,inf,128,19,295,129.74,73.58,238.68,86.74,49.58,0.00,2,8,0,14,8.20,3.69,10.11
6,0.603673,0.695977,0.513394,0.00,0.00,0,0,43,24,inf,130,45,267,138.32,80.76,222.92,95.32,56.76,0.00,2,9,1,12,9.03,3.27,9.70
9,0.592358,0.682985,0.482765,0.00,0.00,0,0,43,24,inf,120,48,274,133.62,76.87,231.51,90.62,52.87,0.00,2,7,1,14,8.54,3.50,9.96
12,0.571024,0.691686,0.496655,0.00,0.00,0,0,43,24,inf,125,51,266,136.01,79.87,226.12,93.01,55.87,0.00,2,11,0,11,9.11,3.93,8.96
15,0.569947,0.699069,0.509410,0.00,0.00,0,0,43,24,inf,120,60,262,134.92,84.76,222.32,91.92,60.76,0.00,2,8,1,13,8.64,3.54,9.82
18,0.557924,0.670940,0.484926,0.00,0.00,0,0,43,24,inf,120,47,275,128.74,74.05,239.21,85.74,50.05,0.00,2,7,1,14,8.36,3.10,10.55
21,0.552601,0.689441,0.504718,0.00,0.00,0,0,43,24,inf,118,57,267,129.70,82.88,229.42,86.70,58.88,0.00,2,8,1,13,8.78,3.03,10.20
24,0.553288,0.690638,0.501846,0.00,0.00,0,0,43,24,inf,124,56,262,138.10,78.09,225.81,95.10,54.09,0.00,2,10,1,11,9.27,3.41,9.31
27,0.548025,0.684080,0.494416,0.00,0.00,0,0,43,24,inf,118,58,266,130.30,79.51,232.19,87.30,55.51,0.00,2,7,1,14,8.59,3.26,10.14
30,0.537493,0.669603,0.477437,0.00,0.00,0,0,43,24,inf,118,49,275,124.59,76.03,241.38,81.59,52.03,0.00,2,9,1,12,8.77,3.48,9.74
33,0.542768,0.699203,0.504067,0.00,0.00,0,0,43,24,inf,128,58,256,136.27,83.91,221.83,93.27,59.91,0.00,2,12,1,9,9.62,3.73,8.64
