Epoch,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
3,0.609186,0.665671,0.457417,0.00,0.00,0,0,43,24,inf,118,41,283,126.16,73.21,242.63,83.16,49.21,0.00,2,9,0,13,8.37,3.00,10.63
6,0.580750,0.684998,0.505604,0.00,0.00,0,0,43,24,inf,113,57,272,126.46,82.77,232.77,83.46,58.77,0.00,2,8,1,13,8.17,3.82,10.01
9,0.565879,0.690413,0.486116,0.00,0.00,0,0,43,24,inf,139,41,262,142.15,75.79,224.07,99.15,51.79,0.00,2,11,1,10,9.68,3.27,9.05
12,0.535197,0.679978,0.477076,0.00,0.00,0,0,43,24,inf,124,48,270,131.81,76.48,233.71,88.81,52.48,0.00,2,8,1,13,8.38,3.67,9.95
15,0.516650,0.683152,0.464871,0.00,0.00,0,0,43,24,inf,131,47,264,135.79,75.70,230.51,92.79,51.70,0.00,2,9,1,12,8.13,3.69,10.18
18,0.519970,0.693943,0.520586,0.00,0.00,0,0,43,24,inf,117,67,258,130.16,85.18,226.66,87.16,61.18,0.00,2,10,1,11,9.18,3.68,9.14
21,0.511243,0.687606,0.494437,0.00,0.00,0,0,43,24,inf,111,64,267,124.95,85.51,231.53,81.95,61.51,0.00,2,8,1,13,7.89,4.18,9.93
24,0.493451,0.692677,0.508247,0.00,0.00,0,0,43,24,inf,113,70,259,124.04,89.56,228.40,81.04,65.56,0.00,2,8,1,13,7.29,4.80,9.90
27,0.477554,0.691313,0.504794,0.00,0.00,0,0,43,24,inf,125,62,255,130.45,83.41,228.14,87.45,59.41,0.00,2,11,1,10,8.83,3.59,9.58
30,0.471182,0.699433,0.514337,0.00,0.00,0,0,43,24,inf,136,60,246,141.78,80.58,219.64,98.78,56.58,0.00,2,13,1,8,9.90,3.86,8.23
33,0.471398,0.680632,0.515024,0.00,0.00,0,0,43,24,inf,121,59,262,130.60,77.55,233.85,87.60,53.55,0.00,2,8,1,13,7.69,3.86,10.45
36,0.470457,0.683335,0.533212,0.00,0.00,0,0,43,24,inf,123,55,264,131.31,78.47,232.22,88.31,54.47,0.00,2,8,1,13,7.62,3.62,10.75
39,0.449456,0.682415,0.513975,0.00,0.00,0,0,43,24,inf,122,58,262,131.76,77.71,232.52,88.76,53.71,0.00,2,11,1,10,9.59,3.11,9.30
42,0.437655,0.681212,0.514024,0.00,0.00,0,0,43,24,inf,118,64,260,128.92,78.94,234.14,85.92,54.94,0.00,2,8,1,13,7.80,3.91,10.28
45,0.435279,0.683379,0.516413,0.00,0.00,0,0,43,24,inf,117,63,262,129.12,79.94,232.94,86.12,55.94,0.00,2,11,1,10,8.16,4.01,9.83
48,0.431770,0.681276,0.516370,0.00,0.00,0,0,43,24,inf,114,64,264,126.57,80.62,234.82,83.57,56.62,0.00,2,8,1,13,8.44,3.01,10.55
51,0.409584,0.684255,0.516090,0.00,0.00,0,0,43,24,inf,118,68,256,127.62,81.48,232.90,84.62,57.48,0.00,2,10,2,10,8.34,4.21,9.45
54,0.424615,0.698419,0.541444,0.00,0.00,0,0,43,24,inf,116,73,253,130.47,87.73,223.81,87.47,63.73,0.00,2,7,1,14,7.65,4.89,9.46
57,0.419231,0.673043,0.522253,0.00,0.00,0,0,43,24,inf,115,58,269,126.01,76.76,239.23,83.01,52.76,0.00,2,8,1,13,8.73,3.59,9.68
60,0.397377,0.669261,0.514065,0.00,0.00,0,0,43,24,inf,117,57,268,124.11,76.19,241.70,81.11,52.19,0.00,2,7,1,14,6.87,4.06,11.07
63,0.401113,0.685834,0.538446,0.00,0.00,0,0,43,24,inf,119,68,255,126.58,83.15,232.27,83.58,59.15,0.00,2,10,1,11,8.27,3.83,9.90
66,0.392752,0.676908,0.524141,0.00,0.00,0,0,43,24,inf,114,65,263,125.31,79.20,237.49,82.31,55.20,0.00,2,9,1,12,8.85,3.77,9.37
69,0.395540,0.676756,0.515398,0.00,0.00,0,0,43,24,inf,118,62,262,128.52,76.95,236.54,85.52,52.95,0.00,2,9,1,12,8.48,3.55,9.97
72,0.382379,0.692303,0.545854,0.00,0.00,0,0,43,24,inf,122,68,252,129.62,84.61,227.77,86.62,60.61,0.00,2,11,1,10,9.22,3.37,9.41
75,0.378129,0.675342,0.510683,0.00,0.00,0,0,43,24,inf,120,63,259,128.14,76.49,237.36,85.14,52.49,0.00,2,12,1,9,9.23,3.01,9.76
78,0.363393,0.682867,0.519441,0.00,0.00,0,0,43,24,inf,110,71,261,120.77,86.26,234.97,77.77,62.26,0.00,2,7,1,14,7.63,3.80,10.57
81,0.388740,0.684797,0.525248,0.00,0.00,0,0,43,24,inf,108,73,261,122.17,86.20,233.63,79.17,62.20,0.00,2,4,1,17,6.26,4.23,11.50
84,0.361778,0.693663,0.543841,0.00,0.00,0,0,43,24,inf,115,77,250,128.39,86.41,227.20,85.39,62.41,0.00,2,10,1,11,9.00,2.49,10.51
87,0.356436,0.667745,0.498626,0.00,0.00,0,0,43,24,inf,116,65,261,124.53,75.19,242.29,81.53,51.19,0.00,2,8,1,13,8.30,3.12,10.59
90,0.357663,0.683474,0.534970,0.00,0.00,0,0,43,24,inf,118,64,260,125.94,82.30,233.76,82.94,58.30,0.00,2,11,1,10,9.18,4.13,8.69
93,0.358640,0.661199,0.496086,0.00,0.00,0,0,43,24,inf,112,59,271,119.19,75.75,247.06,76.19,51.75,0.00,2,6,1,15,7.25,3.62,11.13
96,0.339564,0.681728,0.511205,0.00,0.00,0,0,43,24,inf,114,71,257,123.21,83.46,235.32,80.21,59.46,0.00,2,7,1,14,7.49,3.49,11.02
99,0.338060,0.675009,0.510823,0.00,0.00,0,0,43,24,inf,120,65,257,126.35,77.50,238.14,83.35,53.50,0.00,2,8,1,13,7.85,3.87,10.29
102,0.353025,0.676661,0.510014,0.00,0.00,0,0,43,24,inf,113,69,260,121.80,81.73,238.47,78.80,57.73,0.00,2,8,1,13,8.24,4.05,9.72
105,0.348448,0.674838,0.523721,0.00,0.00,0,0,43,24,inf,117,63,262,125.26,78.17,238.57,82.26,54.17,0.00,2,6,1,15,7.13,3.11,11.76
108,0.340969,0.682019,0.535225,0.00,0.00,0,0,43,24,inf,123,67,252,129.85,78.74,233.41,86.85,54.74,0.00,2,9,1,12,8.88,3.29,9.83
111,0.326677,0.672045,0.500133,0.00,0.00,0,0,43,24,inf,122,61,259,123.55,77.95,240.50,80.55,53.95,0.00,2,9,1,12,8.43,2.88,10.70
114,0.341618,0.675124,0.526499,0.00,0.00,0,0,43,24,inf,121,65,256,129.27,75.68,237.05,86.27,51.68,0.00,2,12,0,10,10.49,2.02,9.49
117,0.347977,0.676539,0.513858,0.00,0.00,0,0,43,24,inf,116,67,259,126.81,77.97,237.23,83.81,53.97,0.00,2,9,1,12,9.57,2.97,9.46
120,0.341246,0.677366,0.521320,0.00,0.00,0,0,43,24,inf,110,74,258,117.41,86.01,238.58,74.41,62.01,0.00,2,9,2,11,8.34,3.66,9.99
123,0.325909,0.680997,0.509608,0.00,0.00,0,0,43,24,inf,117,71,254,122.92,83.28,235.80,79.92,59.28,0.00,2,10,1,11,9.15,2.82,10.03
126,0.317663,0.670710,0.493196,0.00,0.00,0,0,43,24,inf,113,67,262,121.30,78.93,241.78,78.30,54.93,0.00,2,8,1,13,8.26,3.41,10.34
129,0.314313,0.680376,0.492147,0.00,0.00,0,0,43,24,inf,122,69,251,127.41,79.54,235.06,84.41,55.54,0.00,2,10,3,9,10.02,2.97,9.01
132,0.302626,0.661987,0.477944,0.00,0.00,0,0,43,24,inf,107,67,268,117.06,77.75,247.19,74.06,53.75,0.00,2,7,2,13,8.34,3.30,10.36
135,0.310579,0.682667,0.526325,0.00,0.00,0,0,43,24,inf,120,65,257,126.41,81.49,234.10,83.41,57.49,0.00,2,8,2,12,8.58,3.61,9.81
138,0.313943,0.688893,0.533429,0.00,0.00,0,0,43,24,inf,121,72,249,129.89,82.42,229.68,86.89,58.42,0.00,2,9,1,12,9.06,3.31,9.63
141,0.292812,0.687371,0.522134,0.00,0.00,0,0,43,24,inf,123,73,246,128.98,82.23,230.79,85.98,58.23,0.00,2,9,1,12,8.91,3.20,9.90
144,0.288233,0.668508,0.516466,0.00,0.00,0,0,43,24,inf,121,65,256,124.35,75.67,241.99,81.35,51.67,0.00,2,11,2,9,10.08,3.08,8.84
147,0.279216,0.683649,0.526277,0.00,0.00,0,0,43,24,inf,116,76,250,119.82,87.65,234.53,76.82,63.65,0.00,2,7,4,11,8.19,4.35,9.45
150,0.301954,0.688068,0.532850,0.00,0.00,0,0,43,24,inf,122,73,247,127.83,83.49,230.69,84.83,59.49,0.00,2,9,3,10,8.89,4.47,8.63
153,0.275615,0.690226,0.538454,0.00,0.00,0,0,43,24,inf,116,86,240,118.93,93.02,230.04,75.93,69.02,0.00,2,10,2,10,9.45,3.31,9.24
156,0.298379,0.677782,0.528883,0.00,0.00,0,0,43,24,inf,125,67,250,131.57,75.56,234.86,88.57,51.56,0.00,2,10,1,11,9.55,2.81,9.64
159,0.275445,0.664227,0.504025,0.00,0.00,0,0,43,24,inf,116,63,263,121.82,75.34,244.84,78.82,51.34,0.00,2,8,2,12,8.53,3.00,10.47
