Epoch,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
3,0.663273,0.662236,0.434934,0.00,0.00,0,0,43,24,inf,130,17,295,127.31,73.09,241.60,84.31,49.09,0.00,2,12,0,10,8.74,4.24,9.02
6,0.602575,0.689011,0.531552,0.00,0.00,0,0,43,24,inf,132,46,264,137.31,77.72,226.97,94.31,53.72,0.00,2,14,0,8,10.07,3.56,8.37
9,0.594503,0.681780,0.486685,0.00,0.00,0,0,43,24,inf,120,49,273,131.10,77.81,233.09,88.10,53.81,0.00,2,9,1,12,9.25,3.33,9.42
12,0.581655,0.682911,0.487236,0.00,0.00,0,0,43,24,inf,115,55,272,127.49,80.84,233.67,84.49,56.84,0.00,2,9,1,12,8.28,4.01,9.71
15,0.556653,0.679763,0.503752,0.00,0.00,0,0,43,24,inf,117,54,271,129.23,77.99,234.78,86.23,53.99,0.00,2,10,0,12,8.81,3.60,9.58
18,0.551897,0.679133,0.473584,0.00,0.00,0,0,43,24,inf,121,46,275,130.87,76.64,234.49,87.87,52.64,0.00,2,9,1,12,9.11,3.46,9.43
21,0.544341,0.688616,0.493434,0.00,0.00,0,0,43,24,inf,126,51,265,136.18,78.18,227.65,93.18,54.18,0.00,2,10,1,11,9.49,3.55,8.96
24,0.540399,0.673483,0.474424,0.00,0.00,0,0,43,24,inf,120,43,279,125.75,77.15,239.10,82.75,53.15,0.00,2,7,1,14,7.87,3.78,10.35
27,0.537475,0.686134,0.509603,0.00,0.00,0,0,43,24,inf,120,54,268,130.94,80.18,230.88,87.94,56.18,0.00,2,9,1,12,8.49,4.00,9.52
30,0.529972,0.683086,0.523679,0.00,0.00,0,0,43,24,inf,112,60,270,124.98,82.82,234.20,81.98,58.82,0.00,2,8,1,13,8.70,3.47,9.83
33,0.515644,0.690737,0.526328,0.00,0.00,0,0,43,24,inf,121,57,264,130.51,83.03,228.46,87.51,59.03,0.00,2,10,1,11,8.94,3.76,9.30
36,0.513047,0.673542,0.507451,0.00,0.00,0,0,43,24,inf,117,51,274,123.40,78.83,239.77,80.40,54.83,0.00,2,8,1,13,7.49,3.85,10.66
39,0.519926,0.682436,0.541567,0.00,0.00,0,0,43,24,inf,120,49,273,130.28,78.67,233.05,87.28,54.67,0.00,2,7,1,14,7.98,3.88,10.14
42,0.507806,0.683938,0.541408,0.00,0.00,0,0,43,24,inf,119,58,265,132.40,78.08,231.51,89.40,54.08,0.00,2,10,2,10,8.88,4.36,8.76
45,0.511482,0.672556,0.520333,0.00,0.00,0,0,43,24,inf,125,46,271,133.49,72.12,236.39,90.49,48.12,0.00,2,10,0,12,8.88,3.54,9.58
48,0.489564,0.685322,0.523700,0.00,0.00,0,0,43,24,inf,128,52,262,133.09,78.36,230.55,90.09,54.36,0.00,2,11,1,10,8.85,3.73,9.42
51,0.491162,0.673547,0.525809,0.00,0.00,0,0,43,24,inf,124,44,274,129.34,74.89,237.76,86.34,50.89,0.00,2,8,1,13,7.25,3.89,10.86
54,0.487295,0.691737,0.531279,0.00,0.00,0,0,43,24,inf,125,51,266,130.95,83.29,227.76,87.95,59.29,0.00,2,8,1,13,7.49,4.16,10.35
57,0.472082,0.686063,0.527231,0.00,0.00,0,0,43,24,inf,119,58,265,131.09,80.04,230.87,88.09,56.04,0.00,2,8,1,13,7.76,3.72,10.52
60,0.470099,0.689097,0.534076,0.00,0.00,0,0,43,24,inf,121,58,263,129.75,82.64,229.61,86.75,58.64,0.00,2,8,2,12,7.43,4.42,10.15
63,0.488169,0.676561,0.532790,0.00,0.00,0,0,43,24,inf,123,51,268,132.74,74.32,234.94,89.74,50.32,0.00,2,11,1,10,8.31,3.97,9.72
66,0.470819,0.686481,0.537891,0.00,0.00,0,0,43,24,inf,129,55,258,135.05,77.76,229.19,92.05,53.76,0.00,2,12,1,9,10.05,3.24,8.70
69,0.459882,0.686900,0.527308,0.00,0.00,0,0,43,24,inf,112,69,261,122.77,86.97,232.26,79.77,62.97,0.00,2,9,2,11,7.67,4.73,9.60
