Epoch,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
3,0.677834,0.691705,0.501649,0.00,0.00,0,0,43,24,inf,133,29,280,135.44,80.24,226.32,92.44,56.24,0.00,2,14,0,8,9.13,4.39,8.48
6,0.608228,0.687463,0.527611,0.00,0.00,0,0,43,24,inf,130,46,266,132.09,80.13,229.79,89.09,56.13,0.00,2,14,1,7,9.71,3.36,8.93
9,0.603517,0.695250,0.543375,0.00,0.00,0,0,43,24,inf,124,54,264,133.28,83.66,225.06,90.28,59.66,0.00,2,10,0,12,9.22,3.47,9.31
12,0.573393,0.688641,0.529137,0.00,0.00,0,0,43,24,inf,124,57,261,131.83,80.93,229.24,88.83,56.93,0.00,2,13,1,8,9.41,3.68,8.91
15,0.585528,0.691725,0.519582,0.00,0.00,0,0,43,24,inf,135,56,251,137.40,79.05,225.55,94.40,55.05,0.00,2,12,0,10,9.54,2.97,9.49
18,0.561531,0.688347,0.466294,0.00,0.00,0,0,43,24,inf,124,53,265,133.68,79.56,228.75,90.68,55.56,0.00,2,8,0,14,8.64,3.54,9.82
21,0.562851,0.697671,0.504533,0.00,0.00,0,0,43,24,inf,123,58,261,137.42,82.27,222.32,94.42,58.27,0.00,2,8,0,14,8.37,3.50,10.13
24,0.534047,0.693786,0.511783,0.00,0.00,0,0,43,24,inf,123,60,259,136.19,80.89,224.92,93.19,56.89,0.00,2,9,2,11,9.09,3.68,9.23
27,0.535223,0.688347,0.511337,0.00,0.00,0,0,43,24,inf,121,55,266,130.91,81.40,229.69,87.91,57.40,0.00,2,9,2,11,8.38,3.57,10.05
30,0.543571,0.685274,0.474478,0.00,0.00,0,0,43,24,inf,124,52,266,135.18,77.08,229.74,92.18,53.08,0.00,2,8,1,13,8.81,2.58,10.61
33,0.526688,0.687479,0.495959,0.00,0.00,0,0,43,24,inf,114,65,263,130.97,80.89,230.15,87.97,56.89,0.00,2,7,2,13,8.39,3.14,10.47
36,0.512787,0.690768,0.515561,0.00,0.00,0,0,43,24,inf,114,66,262,131.73,82.18,228.09,88.73,58.18,0.00,2,7,1,14,8.56,3.23,10.22
39,0.514635,0.686398,0.496848,0.00,0.00,0,0,43,24,inf,118,57,267,133.07,78.93,230.00,90.07,54.93,0.00,2,7,2,13,8.72,3.48,9.80
42,0.499675,0.690579,0.503992,0.00,0.00,0,0,43,24,inf,116,64,262,132.30,81.68,228.02,89.30,57.68,0.00,2,7,2,13,8.67,3.40,9.92
45,0.502049,0.685257,0.501442,0.00,0.00,0,0,43,24,inf,122,61,259,133.90,77.83,230.27,90.90,53.83,0.00,2,9,2,11,9.27,3.18,9.54
48,0.488516,0.682358,0.518732,0.00,0.00,0,0,43,24,inf,118,61,263,129.81,78.94,233.25,86.81,54.94,0.00,2,9,2,11,8.44,3.77,9.79
51,0.524233,0.686768,0.511774,0.00,0.00,0,0,43,24,inf,113,67,262,127.91,82.67,231.41,84.91,58.67,0.00,2,7,1,14,7.93,3.18,10.89
54,0.502123,0.692004,0.532290,0.00,0.00,0,0,43,24,inf,112,69,261,128.57,85.25,228.19,85.57,61.25,0.00,2,6,1,15,7.70,3.72,10.58
57,0.504991,0.673967,0.509531,0.00,0.00,0,0,43,24,inf,115,55,272,127.67,76.13,238.20,84.67,52.13,0.00,2,6,1,15,7.55,3.54,10.90
60,0.499880,0.676687,0.518394,0.00,0.00,0,0,43,24,inf,116,61,265,129.88,76.06,236.06,86.88,52.06,0.00,2,6,2,14,7.60,3.38,11.01
63,0.484290,0.675496,0.505140,0.00,0.00,0,0,43,24,inf,116,63,263,128.48,76.35,237.17,85.48,52.35,0.00,2,6,1,15,7.64,2.91,11.45
66,0.478843,0.696736,0.525651,0.00,0.00,0,0,43,24,inf,117,75,250,133.78,84.18,224.04,90.78,60.18,0.00,2,6,2,14,8.43,3.66,9.91
69,0.489949,0.682668,0.514595,0.00,0.00,0,0,43,24,inf,117,64,261,126.63,81.33,234.04,83.63,57.33,0.00,2,8,1,13,7.83,3.50,10.67
72,0.484512,0.675563,0.515560,0.00,0.00,0,0,43,24,inf,114,61,267,127.54,76.99,237.47,84.54,52.99,0.00,2,6,1,15,7.39,3.23,11.38
75,0.463150,0.686543,0.546909,0.00,0.00,0,0,43,24,inf,115,69,258,132.17,79.58,230.25,89.17,55.58,0.00,2,6,2,14,8.09,3.16,10.75
78,0.463712,0.674431,0.511976,0.00,0.00,0,0,43,24,inf,109,70,263,122.87,79.69,239.44,79.87,55.69,0.00,2,6,2,14,7.07,3.31,11.61
81,0.461920,0.690893,0.517691,0.00,0.00,0,0,43,24,inf,118,74,250,132.08,82.01,227.91,89.08,58.01,0.00,2,8,1,13,8.62,3.04,10.33
84,0.463336,0.681913,0.538729,0.00,0.00,0,0,43,24,inf,114,68,260,129.85,78.68,233.47,86.85,54.68,0.00,2,7,1,14,8.04,3.29,10.66
87,0.476913,0.689754,0.526489,0.00,0.00,0,0,43,24,inf,119,67,256,132.67,80.98,228.35,89.67,56.98,0.00,2,7,2,13,8.40,3.21,10.39
90,0.447899,0.687807,0.514581,0.00,0.00,0,0,43,24,inf,109,82,251,123.23,87.13,231.64,80.23,63.13,0.00,2,6,3,13,6.35,4.24,11.42
93,0.457962,0.685737,0.524758,0.00,0.00,0,0,43,24,inf,120,71,251,130.91,79.98,231.10,87.91,55.98,0.00,2,8,2,12,8.42,3.23,10.35
96,0.475010,0.688613,0.530905,0.00,0.00,0,0,43,24,inf,117,72,253,131.83,80.92,229.25,88.83,56.92,0.00,2,7,2,13,8.50,3.11,10.40
99,0.470184,0.689679,0.519584,0.00,0.00,0,0,43,24,inf,113,75,254,129.74,82.99,229.28,86.74,58.99,0.00,2,6,2,14,7.53,3.32,11.16
102,0.440210,0.692913,0.521802,0.00,0.00,0,0,43,24,inf,121,70,251,134.12,81.75,226.13,91.12,57.75,0.00,2,8,2,12,8.71,3.54,9.75
105,0.442951,0.690710,0.520877,0.00,0.00,0,0,43,24,inf,119,74,249,132.38,81.70,227.92,89.38,57.70,0.00,2,9,2,11,8.53,3.93,9.54
108,0.459100,0.661875,0.484779,0.00,0.00,0,0,43,24,inf,106,69,267,118.67,76.45,246.87,75.67,52.45,0.00,2,6,2,14,6.65,3.64,11.71
111,0.448810,0.681962,0.509129,0.00,0.00,0,0,43,24,inf,111,73,258,127.85,80.06,234.08,84.85,56.06,0.00,2,5,1,16,6.70,2.60,12.70
114,0.438643,0.684661,0.517585,0.00,0.00,0,0,43,24,inf,107,79,256,122.56,85.76,233.67,79.56,61.76,0.00,2,7,2,13,7.81,3.71,10.49
