Epoch,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
3,0.657503,0.662238,0.526802,0.00,0.00,0,0,43,24,inf,124,35,283,126.40,71.57,244.03,83.40,47.57,0.00,2,13,0,9,9.25,3.32,9.43
6,0.603703,0.663625,0.489355,0.00,0.00,0,0,43,24,inf,116,43,283,122.99,74.27,244.73,79.99,50.27,0.00,2,9,0,13,8.53,3.55,9.92
9,0.587451,0.679642,0.512810,0.00,0.00,0,0,43,24,inf,127,45,270,131.94,76.24,233.82,88.94,52.24,0.00,2,13,0,9,9.57,3.60,8.84
12,0.572943,0.686670,0.521587,0.00,0.00,0,0,43,24,inf,129,49,264,139.32,75.47,227.21,96.32,51.47,0.00,2,14,1,7,10.46,2.82,8.72
15,0.568616,0.690340,0.502222,0.00,0.00,0,0,43,24,inf,121,53,268,128.27,84.48,229.25,85.27,60.48,0.00,2,10,1,11,8.06,4.33,9.61
18,0.576345,0.677426,0.484117,0.00,0.00,0,0,43,24,inf,121,52,269,128.17,77.50,236.32,85.17,53.50,0.00,2,12,1,9,9.81,3.19,9.00
21,0.545123,0.690750,0.477127,0.00,0.00,0,0,43,24,inf,136,45,261,142.19,75.93,223.88,99.19,51.93,0.00,2,11,0,11,9.20,3.61,9.18
24,0.541201,0.672072,0.500189,0.00,0.00,0,0,43,24,inf,109,57,276,124.05,77.61,240.33,81.05,53.61,0.00,2,6,1,15,7.65,4.02,10.33
27,0.528912,0.673626,0.499712,0.00,0.00,0,0,43,24,inf,111,58,273,123.38,78.89,239.73,80.38,54.89,0.00,2,7,0,15,7.52,4.47,10.01
30,0.545436,0.698204,0.518920,0.00,0.00,0,0,43,24,inf,118,55,269,131.62,86.67,223.70,88.62,62.67,0.00,2,6,1,15,8.11,4.07,9.82
