Epoch,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
3,0.638320,0.687301,0.519318,0.00,0.00,0,0,43,24,inf,122,50,270,130.23,81.30,230.47,87.23,57.30,0.00,2,15,0,7,10.10,4.12,7.79
6,0.608293,0.690301,0.506006,0.00,0.00,0,0,43,24,inf,121,56,265,129.27,83.70,229.04,86.27,59.70,0.00,2,13,0,9,9.25,3.87,8.88
9,0.585326,0.698460,0.499392,0.00,0.00,0,0,43,24,inf,112,68,262,128.50,89.40,224.10,85.50,65.40,0.00,2,7,1,14,7.92,4.41,9.67
12,0.556599,0.661154,0.487389,0.00,0.00,0,0,43,24,inf,111,45,286,122.13,73.71,246.16,79.13,49.71,0.00,2,7,0,15,7.34,3.25,11.40
15,0.552948,0.682364,0.469902,0.00,0.00,0,0,43,24,inf,117,55,270,124.71,82.62,234.67,81.71,58.62,0.00,2,7,0,15,8.17,3.88,9.94
18,0.563135,0.678932,0.469142,0.00,0.00,0,0,43,24,inf,114,52,276,128.84,77.82,235.33,85.84,53.82,0.00,2,6,1,15,7.77,4.10,10.13
21,0.518789,0.672255,0.483399,0.00,0.00,0,0,43,24,inf,116,56,270,127.82,75.21,238.96,84.82,51.21,0.00,2,8,0,14,8.35,3.02,10.62
24,0.515598,0.682787,0.482207,0.00,0.00,0,0,43,24,inf,124,53,265,131.51,78.06,232.43,88.51,54.06,0.00,2,6,1,15,7.66,3.11,11.23
27,0.510020,0.684717,0.480364,0.00,0.00,0,0,43,24,inf,120,57,265,128.38,81.19,232.44,85.38,57.19,0.00,2,8,1,13,8.99,3.21,9.80
30,0.494812,0.685901,0.482838,0.00,0.00,0,0,43,24,inf,123,56,263,127.21,82.71,232.08,84.21,58.71,0.00,2,10,1,11,8.24,4.01,9.75
33,0.488568,0.683312,0.487687,0.00,0.00,0,0,43,24,inf,127,54,261,132.62,77.64,231.75,89.62,53.64,0.00,2,9,0,13,9.00,3.60,9.40
36,0.494002,0.678721,0.479915,0.00,0.00,0,0,43,24,inf,118,57,267,125.91,79.72,236.37,82.91,55.72,0.00,2,9,1,12,8.79,3.57,9.65
39,0.482102,0.686076,0.524984,0.00,0.00,0,0,43,24,inf,113,58,271,127.47,82.61,231.92,84.47,58.61,0.00,2,6,1,15,8.52,3.73,9.75
42,0.466638,0.688703,0.514343,0.00,0.00,0,0,43,24,inf,127,59,256,135.00,78.93,228.07,92.00,54.93,0.00,2,14,1,7,11.34,2.86,7.80
45,0.483441,0.678022,0.494531,0.00,0.00,0,0,43,24,inf,122,54,266,130.20,76.51,235.29,87.20,52.51,0.00,2,8,1,13,8.56,3.23,10.21
48,0.452264,0.687008,0.516552,0.00,0.00,0,0,43,24,inf,117,65,260,125.38,84.79,231.82,82.38,60.79,0.00,2,9,1,12,8.69,3.41,9.90
51,0.460438,0.685541,0.528433,0.00,0.00,0,0,43,24,inf,124,60,258,130.39,80.23,231.38,87.39,56.23,0.00,2,11,1,10,9.14,3.18,9.68
54,0.458979,0.690699,0.507248,0.00,0.00,0,0,43,24,inf,119,65,258,128.68,84.37,228.94,85.68,60.37,0.00,2,8,1,13,7.93,4.19,9.87
57,0.439842,0.679529,0.511322,0.00,0.00,0,0,43,24,inf,118,62,262,126.69,79.59,235.72,83.69,55.59,0.00,2,9,1,12,8.29,3.48,10.23
60,0.435502,0.667540,0.507472,0.00,0.00,0,0,43,24,inf,122,52,268,128.73,72.53,240.74,85.73,48.53,0.00,2,8,1,13,8.28,3.03,10.69
63,0.430875,0.670899,0.509143,0.00,0.00,0,0,43,24,inf,127,55,260,135.18,70.57,236.26,92.18,46.57,0.00,2,13,1,8,10.12,2.51,9.36
