Epoch,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
3,0.648715,0.674021,0.507673,0.00,0.00,0,0,43,24,inf,118,37,287,126.26,77.07,238.67,83.26,53.07,0.00,2,12,0,10,8.95,4.28,8.78
6,0.606821,0.703809,0.516605,0.00,0.00,0,0,43,24,inf,126,55,261,140.04,84.12,217.85,97.04,60.12,0.00,2,7,0,15,8.30,3.53,10.18
9,0.596242,0.702314,0.530955,0.00,0.00,0,0,43,24,inf,116,57,269,136.46,85.64,219.91,93.46,61.64,0.00,2,7,0,15,7.94,3.56,10.49
12,0.579971,0.710274,0.541932,0.00,0.00,0,0,43,24,inf,126,57,259,139.28,88.65,214.07,96.28,64.65,0.00,2,10,0,12,8.71,3.72,9.58
15,0.569844,0.703889,0.540448,0.00,0.00,0,0,43,24,inf,113,65,264,132.04,90.04,219.93,89.04,66.04,0.00,2,9,0,13,8.76,3.42,9.83
18,0.544902,0.696082,0.508568,0.00,0.00,0,0,43,24,inf,122,56,264,134.87,83.04,224.09,91.87,59.04,0.00,2,7,1,14,8.48,3.12,10.40
21,0.554650,0.685493,0.485467,0.00,0.00,0,0,43,24,inf,129,45,268,134.48,77.61,229.92,91.48,53.61,0.00,2,7,1,14,7.88,3.37,10.75
24,0.546803,0.683722,0.538694,0.00,0.00,0,0,43,24,inf,105,59,278,125.54,82.75,233.71,82.54,58.75,0.00,2,6,1,15,7.79,3.55,10.66
27,0.522147,0.678838,0.523184,0.00,0.00,0,0,43,24,inf,105,64,273,124.12,81.11,236.77,81.12,57.11,0.00,2,6,1,15,7.94,2.81,11.25
30,0.525843,0.690215,0.547361,0.00,0.00,0,0,43,24,inf,123,54,265,140.20,76.71,225.09,97.20,52.71,0.00,2,6,1,15,7.52,4.10,10.39
33,0.503623,0.698325,0.510207,0.00,0.00,0,0,43,24,inf,121,60,261,135.27,84.07,222.66,92.27,60.07,0.00,2,8,1,13,8.29,3.39,10.32
36,0.513186,0.693444,0.516571,0.00,0.00,0,0,43,24,inf,127,51,264,139.10,78.95,223.95,96.10,54.95,0.00,2,8,1,13,8.59,3.47,9.94
39,0.502813,0.685143,0.518712,0.00,0.00,0,0,43,24,inf,116,62,264,130.62,79.86,231.52,87.62,55.86,0.00,2,8,1,13,8.61,2.91,10.48
42,0.483721,0.670253,0.490015,0.00,0.00,0,0,43,24,inf,122,52,268,130.34,72.82,238.84,87.34,48.82,0.00,2,9,1,12,9.03,3.20,9.77
45,0.493537,0.667482,0.504009,0.00,0.00,0,0,43,24,inf,118,50,274,125.17,74.65,242.18,82.17,50.65,0.00,2,7,1,14,7.01,3.55,11.44
48,0.475503,0.696444,0.520995,0.00,0.00,0,0,43,24,inf,123,55,264,135.66,82.72,223.62,92.66,58.72,0.00,2,8,3,11,7.78,4.96,9.27
