Epoch,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
3,0.666329,0.690043,0.512356,0.00,0.00,0,0,43,24,inf,118,45,279,132.50,81.25,228.25,89.50,57.25,0.00,2,11,0,11,8.74,4.46,8.80
6,0.602928,0.691700,0.520391,0.00,0.00,0,0,43,24,inf,124,53,265,137.92,78.73,225.35,94.92,54.73,0.00,2,11,1,10,9.62,3.49,8.89
9,0.576049,0.685463,0.531135,0.00,0.00,0,0,43,24,inf,119,53,270,133.80,78.00,230.20,90.80,54.00,0.00,2,7,1,14,7.82,4.09,10.09
12,0.564571,0.691197,0.509423,0.00,0.00,0,0,43,24,inf,121,62,259,133.21,81.41,227.38,90.21,57.41,0.00,2,9,1,12,8.95,3.32,9.72
15,0.543180,0.676509,0.508269,0.00,0.00,0,0,43,24,inf,128,51,263,131.63,74.93,235.44,88.63,50.93,0.00,2,13,1,8,9.24,3.11,9.65
18,0.547399,0.674290,0.494394,0.00,0.00,0,0,43,24,inf,133,44,265,136.75,71.22,234.03,93.75,47.22,0.00,2,14,1,7,9.71,3.32,8.97
21,0.539051,0.678062,0.510659,0.00,0.00,0,0,43,24,inf,120,51,271,131.17,75.94,234.89,88.17,51.94,0.00,2,9,1,12,8.15,3.47,10.38
24,0.524830,0.686908,0.517989,0.00,0.00,0,0,43,24,inf,122,57,263,134.25,78.46,229.29,91.25,54.46,0.00,2,8,1,13,7.72,3.72,10.56
27,0.510968,0.684678,0.500162,0.00,0.00,0,0,43,24,inf,128,53,261,138.23,75.10,228.67,95.23,51.10,0.00,2,13,1,8,9.27,3.27,9.47
30,0.508014,0.690382,0.535066,0.00,0.00,0,0,43,24,inf,135,52,255,141.92,75.89,224.19,98.92,51.89,0.00,2,11,2,9,8.86,4.01,9.12
33,0.495012,0.676661,0.508341,0.00,0.00,0,0,43,24,inf,111,61,270,123.87,80.12,238.01,80.87,56.12,0.00,2,8,1,13,7.48,4.00,10.52
36,0.494739,0.687806,0.489167,0.00,0.00,0,0,43,24,inf,131,57,254,141.38,74.94,225.68,98.38,50.94,0.00,2,8,2,12,7.68,4.53,9.79
39,0.475714,0.677516,0.513027,0.00,0.00,0,0,43,24,inf,120,56,266,128.75,77.17,236.08,85.75,53.17,0.00,2,8,1,13,7.72,3.57,10.71
42,0.480525,0.688029,0.513002,0.00,0.00,0,0,43,24,inf,137,52,253,142.06,74.71,225.23,99.06,50.71,0.00,2,12,1,9,8.91,3.52,9.57
45,0.466995,0.687955,0.505041,0.00,0.00,0,0,43,24,inf,126,63,253,132.04,80.42,229.54,89.04,56.42,0.00,2,12,1,9,9.05,3.73,9.22
48,0.472802,0.668288,0.497707,0.00,0.00,0,0,43,24,inf,124,54,264,130.88,71.67,239.45,87.88,47.67,0.00,2,8,2,12,7.64,3.92,10.44
51,0.449585,0.673687,0.521119,0.00,0.00,0,0,43,24,inf,124,54,264,130.64,74.19,237.17,87.64,50.19,0.00,2,12,1,9,8.97,3.42,9.61
54,0.439104,0.681581,0.514674,0.00,0.00,0,0,43,24,inf,127,56,259,134.87,75.47,231.66,91.87,51.47,0.00,2,9,2,11,8.30,3.44,10.26
57,0.440490,0.679235,0.514391,0.00,0.00,0,0,43,24,inf,126,56,260,132.15,75.91,233.93,89.15,51.91,0.00,2,7,1,14,7.89,3.18,10.93
60,0.443889,0.676435,0.511669,0.00,0.00,0,0,43,24,inf,120,63,259,124.79,79.33,237.89,81.79,55.33,0.00,2,11,1,10,8.44,3.45,10.11
63,0.439321,0.683279,0.511017,0.00,0.00,0,0,43,24,inf,130,60,252,138.00,74.57,229.43,95.00,50.57,0.00,2,9,1,12,8.41,3.15,10.44
66,0.417736,0.682593,0.531741,0.00,0.00,0,0,43,24,inf,118,62,262,135.57,75.56,230.87,92.57,51.56,0.00,2,6,2,14,8.06,3.60,10.34
69,0.418563,0.678247,0.506755,0.00,0.00,0,0,43,24,inf,128,60,254,133.82,74.49,233.69,90.82,50.49,0.00,2,9,1,12,8.90,2.81,10.29
72,0.412586,0.676565,0.502659,0.00,0.00,0,0,43,24,inf,131,59,252,132.52,74.45,235.04,89.52,50.45,0.00,2,12,1,9,9.75,3.12,9.13
75,0.410737,0.677582,0.514554,0.00,0.00,0,0,43,24,inf,120,60,262,130.37,76.19,235.44,87.37,52.19,0.00,2,9,3,10,9.42,3.28,9.31
78,0.391137,0.668736,0.503403,0.00,0.00,0,0,43,24,inf,122,58,262,129.66,72.53,239.81,86.66,48.53,0.00,2,10,3,9,9.20,3.38,9.42
81,0.414757,0.668669,0.513125,0.00,0.00,0,0,43,24,inf,117,61,264,127.43,73.79,240.77,84.43,49.79,0.00,2,11,2,9,9.47,2.79,9.74
84,0.392684,0.683843,0.529151,0.00,0.00,0,0,43,24,inf,118,70,254,125.68,82.71,233.61,82.68,58.71,0.00,2,11,1,10,9.80,2.47,9.73
87,0.396488,0.665386,0.500844,0.00,0.00,0,0,43,24,inf,118,64,260,126.15,73.09,242.76,83.15,49.09,0.00,2,8,2,12,8.96,3.09,9.95
90,0.380160,0.685149,0.531596,0.00,0.00,0,0,43,24,inf,117,72,253,128.22,81.54,232.24,85.22,57.54,0.00,2,7,2,13,8.66,3.21,10.12
93,0.372286,0.675841,0.510291,0.00,0.00,0,0,43,24,inf,118,70,254,125.44,78.56,238.01,82.44,54.56,0.00,2,10,1,11,8.97,2.83,10.20
96,0.378732,0.671299,0.505842,0.00,0.00,0,0,43,24,inf,111,67,264,124.04,77.23,240.72,81.04,53.23,0.00,2,7,2,13,8.90,2.71,10.39
99,0.373996,0.674350,0.497688,0.00,0.00,0,0,43,24,inf,123,63,256,132.62,73.38,236.00,89.62,49.38,0.00,2,8,2,12,8.72,3.09,10.19
102,0.374851,0.669635,0.513497,0.00,0.00,0,0,43,24,inf,126,58,258,137.38,69.02,235.60,94.38,45.02,0.00,2,9,1,12,9.83,2.55,9.61
105,0.355461,0.660529,0.490833,0.00,0.00,0,0,43,24,inf,114,65,263,120.08,74.80,247.12,77.08,50.80,0.00,2,9,1,12,8.23,2.95,10.81
108,0.376142,0.677570,0.509853,0.00,0.00,0,0,43,24,inf,116,67,259,128.64,77.27,236.09,85.64,53.27,0.00,2,8,1,13,9.80,2.57,9.62
111,0.375519,0.667782,0.508720,0.00,0.00,0,0,43,24,inf,115,63,264,127.51,73.35,241.14,84.51,49.35,0.00,2,9,1,12,9.63,2.53,9.84
114,0.358153,0.678606,0.513846,0.00,0.00,0,0,43,24,inf,118,72,252,126.50,79.24,236.26,83.50,55.24,0.00,2,9,1,12,8.63,2.11,11.26
117,0.346263,0.672429,0.511640,0.00,0.00,0,0,43,24,inf,118,69,255,127.82,75.30,238.88,84.82,51.30,0.00,2,10,1,11,8.75,2.09,11.16
120,0.350469,0.676147,0.516814,0.00,0.00,0,0,43,24,inf,114,73,255,123.63,80.03,238.34,80.63,56.03,0.00,2,8,2,12,8.44,2.88,10.68
123,0.366559,0.688677,0.508238,0.00,0.00,0,0,43,24,inf,124,75,243,130.54,81.84,229.62,87.54,57.84,0.00,2,8,3,11,8.20,3.59,10.21
126,0.340005,0.657552,0.500212,0.00,0.00,0,0,43,24,inf,118,63,261,127.38,69.10,245.52,84.38,45.10,0.00,2,12,2,8,9.91,2.74,9.35
129,0.382112,0.691622,0.524310,0.00,0.00,0,0,43,24,inf,126,79,237,133.63,81.37,227.01,90.63,57.37,0.00,2,8,2,12,7.88,3.47,10.65
132,0.325262,0.680471,0.507306,0.00,0.00,0,0,43,24,inf,121,78,243,128.91,78.56,234.53,85.91,54.56,0.00,2,11,2,9,9.61,2.86,9.53
135,0.328122,0.661446,0.488743,0.00,0.00,0,0,43,24,inf,115,66,261,120.70,74.80,246.50,77.70,50.80,0.00,2,7,2,13,8.17,2.98,10.85
138,0.324622,0.669039,0.502155,0.00,0.00,0,0,43,24,inf,117,69,256,124.23,76.00,241.77,81.23,52.00,0.00,2,6,2,14,7.70,3.20,11.10
141,0.312517,0.683129,0.528486,0.00,0.00,0,0,43,24,inf,127,67,248,133.34,77.10,231.55,90.34,53.10,0.00,2,10,1,11,9.98,2.62,9.41
144,0.324759,0.679914,0.514629,0.00,0.00,0,0,43,24,inf,122,73,247,126.14,80.20,235.67,83.14,56.20,0.00,2,10,1,11,8.90,2.70,10.40
147,0.311513,0.668117,0.502245,0.00,0.00,0,0,43,24,inf,124,64,254,131.23,71.41,239.36,88.23,47.41,0.00,2,7,2,13,8.08,3.22,10.70
150,0.317541,0.671279,0.508758,0.00,0.00,0,0,43,24,inf,111,77,254,119.12,80.95,241.92,76.12,56.95,0.00,2,3,2,17,6.26,3.59,12.15
153,0.304858,0.693654,0.511293,0.00,0.00,0,0,43,24,inf,135,72,235,138.11,79.64,224.25,95.11,55.64,0.00,2,10,3,9,9.97,2.84,9.20
156,0.320155,0.672652,0.490233,0.00,0.00,0,0,43,24,inf,109,83,250,120.96,80.21,240.83,77.96,56.21,0.00,2,8,3,11,7.90,3.29,10.81
