Epoch,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
3,0.745824,0.702173,0.539793,0.00,0.00,0,0,43,24,inf,137,30,275,138.80,83.96,219.24,95.80,59.96,0.00,2,16,0,6,10.42,4.50,7.08
6,0.664982,0.686521,0.504679,0.00,0.00,0,0,43,24,inf,133,33,276,131.39,80.08,230.53,88.39,56.08,0.00,2,16,0,6,9.21,4.96,7.84
9,0.644071,0.682013,0.493527,0.00,0.00,0,0,43,24,inf,119,41,282,130.72,78.17,233.11,87.72,54.17,0.00,2,9,0,13,8.42,4.94,8.65
12,0.633751,0.689522,0.499552,0.00,0.00,0,0,43,24,inf,128,47,267,136.16,78.65,227.19,93.16,54.65,0.00,2,16,0,6,9.79,4.55,7.65
15,0.621125,0.678513,0.501796,0.00,0.00,0,0,43,24,inf,121,43,278,132.95,75.11,233.94,89.95,51.11,0.00,2,6,1,15,7.99,4.49,9.52
18,0.621327,0.698263,0.525961,0.00,0.00,0,0,43,24,inf,140,41,261,144.69,78.36,218.95,101.69,54.36,0.00,2,15,0,7,9.74,4.27,7.99
21,0.598346,0.683940,0.502558,0.00,0.00,0,0,43,24,inf,115,47,280,130.36,79.40,232.24,87.36,55.40,0.00,2,7,1,14,8.03,4.66,9.31
24,0.598540,0.694750,0.517666,0.00,0.00,0,0,43,24,inf,129,50,263,139.84,79.21,222.95,96.84,55.21,0.00,2,11,0,11,9.15,4.04,8.81
27,0.601201,0.686615,0.497996,0.00,0.00,0,0,43,24,inf,130,40,272,135.60,77.50,228.90,92.60,53.50,0.00,2,10,0,12,8.99,3.99,9.02
30,0.586843,0.694884,0.518097,0.00,0.00,0,0,43,24,inf,128,51,263,136.76,81.13,224.11,93.76,57.13,0.00,2,11,0,11,9.01,4.07,8.92
33,0.590203,0.687040,0.479975,0.00,0.00,0,0,43,24,inf,119,54,269,131.25,80.45,230.29,88.25,56.45,0.00,2,10,0,12,8.40,4.10,9.49
36,0.587136,0.696257,0.507582,0.00,0.00,0,0,43,24,inf,127,51,264,141.52,79.04,221.44,98.52,55.04,0.00,2,7,1,14,8.32,3.86,9.82
39,0.592730,0.692359,0.491255,0.00,0.00,0,0,43,24,inf,126,46,270,137.45,79.36,225.20,94.45,55.36,0.00,2,11,1,10,8.78,4.10,9.12
42,0.576700,0.689120,0.506671,0.00,0.00,0,0,43,24,inf,132,41,269,136.83,78.05,227.12,93.83,54.05,0.00,2,11,0,11,8.62,4.39,8.99
45,0.591504,0.696452,0.499289,0.00,0.00,0,0,43,24,inf,132,50,260,143.85,77.88,220.27,100.85,53.88,0.00,2,11,0,11,9.40,3.89,8.70
48,0.577236,0.688796,0.493764,0.00,0.00,0,0,43,24,inf,120,51,271,133.16,80.14,228.70,90.16,56.14,0.00,2,10,1,11,8.79,4.05,9.16
51,0.561807,0.691898,0.474528,0.00,0.00,0,0,43,24,inf,129,46,267,142.07,76.54,223.38,99.07,52.54,0.00,2,10,1,11,9.46,3.58,8.96
54,0.574086,0.681543,0.479119,0.00,0.00,0,0,43,24,inf,123,47,272,134.95,75.41,231.64,91.95,51.41,0.00,2,9,1,12,8.93,3.58,9.49
57,0.558348,0.680214,0.486979,0.00,0.00,0,0,43,24,inf,114,51,277,129.56,78.00,234.44,86.56,54.00,0.00,2,6,1,15,7.45,4.42,10.13
60,0.567168,0.690793,0.493693,0.00,0.00,0,0,43,24,inf,122,52,268,133.50,80.99,227.50,90.50,56.99,0.00,2,9,1,12,8.30,4.00,9.71
63,0.554774,0.669944,0.454806,0.00,0.00,0,0,43,24,inf,113,49,280,128.15,73.94,239.91,85.15,49.94,0.00,2,7,1,14,8.10,3.69,10.21
66,0.552295,0.686971,0.493598,0.00,0.00,0,0,43,24,inf,119,54,269,133.38,79.04,229.59,90.38,55.04,0.00,2,8,1,13,8.53,3.71,9.77
69,0.557386,0.687516,0.520762,0.00,0.00,0,0,43,24,inf,117,45,280,132.10,80.15,229.76,89.10,56.15,0.00,2,7,0,15,8.31,3.87,9.82
72,0.556011,0.687267,0.484313,0.00,0.00,0,0,43,24,inf,117,55,270,131.38,80.49,230.13,88.38,56.49,0.00,2,9,1,12,8.65,3.98,9.37
75,0.537067,0.693574,0.500713,0.00,0.00,0,0,43,24,inf,122,56,264,134.66,81.77,225.58,91.66,57.77,0.00,2,9,1,12,8.53,3.96,9.51
78,0.534139,0.674512,0.493570,0.00,0.00,0,0,43,24,inf,117,48,277,132.36,73.60,236.05,89.36,49.60,0.00,2,7,1,14,8.16,3.85,9.99
