Epoch,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
3,0.595121,0.679371,0.522352,0.00,0.00,0,0,43,24,inf,119,54,269,129.03,77.92,235.05,86.03,53.92,0.00,2,12,0,10,9.13,3.72,9.15
6,0.554587,0.684406,0.505538,0.00,0.00,0,0,43,24,inf,110,60,272,127.04,81.99,232.97,84.04,57.99,0.00,2,7,0,15,7.82,3.66,10.52
9,0.516591,0.693225,0.525433,0.00,0.00,0,0,43,24,inf,126,58,258,132.56,83.00,226.44,89.56,59.00,0.00,2,11,1,10,9.64,3.80,8.56
12,0.504146,0.679566,0.510567,0.00,0.00,0,0,43,24,inf,124,54,264,130.80,76.89,234.31,87.80,52.89,0.00,2,10,0,12,9.37,2.91,9.73
15,0.478525,0.687701,0.520513,0.00,0.00,0,0,43,24,inf,128,53,261,133.74,79.19,229.07,90.74,55.19,0.00,2,10,0,12,8.56,3.13,10.31
18,0.462374,0.688633,0.528938,0.00,0.00,0,0,43,24,inf,122,57,263,132.23,80.66,229.11,89.23,56.66,0.00,2,9,1,12,8.39,3.21,10.39
21,0.459922,0.689164,0.515239,0.00,0.00,0,0,43,24,inf,125,58,259,129.93,82.55,229.52,86.93,58.55,0.00,2,10,1,11,8.66,3.88,9.46
24,0.450146,0.689366,0.521965,0.00,0.00,0,0,43,24,inf,130,60,252,137.06,78.04,226.90,94.06,54.04,0.00,2,8,1,13,8.25,2.49,11.26
27,0.425336,0.687164,0.522908,0.00,0.00,0,0,43,24,inf,126,58,258,134.58,78.39,229.03,91.58,54.39,0.00,2,10,2,10,9.28,3.28,9.44
30,0.412856,0.680055,0.499286,0.00,0.00,0,0,43,24,inf,127,57,258,130.98,77.02,234.00,87.98,53.02,0.00,2,9,1,12,7.68,2.24,12.07
33,0.406559,0.653750,0.485796,0.00,0.00,0,0,43,24,inf,119,50,273,125.42,68.64,247.94,82.42,44.64,0.00,2,10,3,9,8.30,3.86,9.85
36,0.399069,0.668931,0.498214,0.00,0.00,0,0,43,24,inf,128,53,261,133.75,70.45,237.79,90.75,46.45,0.00,2,9,2,11,9.29,2.55,10.16
39,0.386092,0.681870,0.516577,0.00,0.00,0,0,43,24,inf,121,66,255,127.13,80.53,234.34,84.13,56.53,0.00,2,10,2,10,8.89,3.63,9.49
42,0.367028,0.683400,0.514218,0.00,0.00,0,0,43,24,inf,137,53,252,140.77,73.23,228.00,97.77,49.23,0.00,2,11,1,10,9.39,2.40,10.21
45,0.360455,0.678430,0.509347,0.00,0.00,0,0,43,24,inf,114,70,258,122.74,81.97,237.30,79.74,57.97,0.00,2,9,2,11,9.41,2.12,10.47
48,0.359653,0.675385,0.509289,0.00,0.00,0,0,43,24,inf,118,68,256,120.53,82.06,239.41,77.53,58.06,0.00,2,10,3,9,8.44,3.23,10.33
51,0.353014,0.697442,0.542308,0.00,0.00,0,0,43,24,inf,117,78,247,127.44,89.65,224.91,84.44,65.65,0.00,2,8,2,12,8.68,2.65,10.67
54,0.351269,0.675593,0.523835,0.00,0.00,0,0,43,24,inf,129,57,256,134.00,73.19,234.81,91.00,49.19,0.00,2,9,2,11,8.96,2.71,10.33
57,0.352536,0.686827,0.528140,0.00,0.00,0,0,43,24,inf,125,68,249,127.39,83.10,231.51,84.39,59.10,0.00,2,12,2,8,9.39,2.97,9.63
