Epoch,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
3,0.659476,0.678490,0.498601,0.00,0.00,0,0,43,24,inf,130,34,278,133.02,75.06,233.93,90.02,51.06,0.00,2,12,0,10,9.71,3.48,8.81
6,0.601129,0.674787,0.487597,0.00,0.00,0,0,43,24,inf,130,38,274,133.40,73.15,235.45,90.40,49.15,0.00,2,10,0,12,9.33,3.14,9.53
9,0.599545,0.680395,0.500526,0.00,0.00,0,0,43,24,inf,122,44,276,132.90,76.03,233.07,89.90,52.03,0.00,2,9,0,13,8.53,3.37,10.09
12,0.572045,0.672113,0.472512,0.00,0.00,0,0,43,24,inf,124,40,278,128.86,74.51,238.62,85.86,50.51,0.00,2,7,1,14,8.29,3.84,9.87
15,0.568160,0.686951,0.515640,0.00,0.00,0,0,43,24,inf,127,46,269,141.13,74.67,226.20,98.13,50.67,0.00,2,7,1,14,9.45,3.14,9.42
18,0.549095,0.677994,0.488749,0.00,0.00,0,0,43,24,inf,123,47,272,132.92,74.88,234.20,89.92,50.88,0.00,2,7,0,15,8.12,3.75,10.13
21,0.545424,0.686688,0.485424,0.00,0.00,0,0,43,24,inf,124,48,270,136.97,76.76,228.28,93.97,52.76,0.00,2,6,1,15,8.77,3.31,9.92
24,0.541184,0.678483,0.484592,0.00,0.00,0,0,43,24,inf,119,48,275,129.82,76.97,235.21,86.82,52.97,0.00,2,7,0,15,7.91,4.09,9.99
27,0.559300,0.684299,0.470923,0.00,0.00,0,0,43,24,inf,126,48,268,134.93,76.75,230.32,91.93,52.75,0.00,2,6,2,14,8.10,3.92,9.98
30,0.520355,0.682504,0.497506,0.00,0.00,0,0,43,24,inf,121,51,270,129.24,79.40,233.36,86.24,55.40,0.00,2,6,1,15,7.34,3.83,10.84
33,0.525357,0.662277,0.475187,0.00,0.00,0,0,43,24,inf,116,49,277,123.57,73.29,245.14,80.57,49.29,0.00,2,6,1,15,7.76,3.54,10.69
36,0.506007,0.682223,0.481990,0.00,0.00,0,0,43,24,inf,122,53,267,131.39,77.85,232.76,88.39,53.85,0.00,2,8,1,13,8.44,3.86,9.70
39,0.514867,0.679603,0.519038,0.00,0.00,0,0,43,24,inf,119,55,268,128.64,78.30,235.06,85.64,54.30,0.00,2,7,1,14,7.89,3.43,10.69
42,0.499177,0.684713,0.501537,0.00,0.00,0,0,43,24,inf,128,50,264,134.89,76.97,230.14,91.89,52.97,0.00,2,10,1,11,8.62,3.69,9.69
45,0.490252,0.685326,0.496882,0.00,0.00,0,0,43,24,inf,125,54,263,134.85,77.30,229.85,91.85,53.30,0.00,2,9,1,12,8.47,4.05,9.48
48,0.497639,0.673791,0.489191,0.00,0.00,0,0,43,24,inf,117,63,262,125.83,77.25,238.92,82.83,53.25,0.00,2,8,2,12,6.94,4.32,10.74
51,0.492685,0.676691,0.489665,0.00,0.00,0,0,43,24,inf,126,50,266,134.97,73.17,233.87,91.97,49.17,0.00,2,9,1,12,8.59,3.56,9.85
54,0.477341,0.678533,0.509806,0.00,0.00,0,0,43,24,inf,112,67,263,128.50,77.85,235.66,85.50,53.85,0.00,2,8,1,13,8.59,3.58,9.83
57,0.472155,0.676895,0.512676,0.00,0.00,0,0,43,24,inf,115,60,267,127.90,77.42,236.68,84.90,53.42,0.00,2,6,1,15,7.15,3.83,11.02
60,0.488162,0.676329,0.504633,0.00,0.00,0,0,43,24,inf,116,60,266,128.74,76.59,236.66,85.74,52.59,0.00,2,6,1,15,6.72,3.79,11.49
