Epoch,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
3,0.658129,0.684932,0.537273,0.00,0.00,0,0,43,24,inf,128,38,276,135.22,76.89,229.89,92.22,52.89,0.00,2,11,0,11,8.76,4.50,8.74
6,0.618431,0.668962,0.511103,0.00,0.00,0,0,43,24,inf,117,45,280,129.22,72.88,239.90,86.22,48.88,0.00,2,12,0,10,9.16,3.67,9.17
9,0.592171,0.685877,0.526761,0.00,0.00,0,0,43,24,inf,115,59,268,128.35,81.85,231.80,85.35,57.85,0.00,2,8,0,14,8.26,3.81,9.93
12,0.569300,0.674636,0.480081,0.00,0.00,0,0,43,24,inf,119,49,274,128.09,76.18,237.73,85.09,52.18,0.00,2,7,0,15,7.81,3.75,10.44
15,0.568702,0.687877,0.514079,0.00,0.00,0,0,43,24,inf,128,52,262,135.11,78.43,228.45,92.11,54.43,0.00,2,12,0,10,9.18,3.60,9.22
18,0.556612,0.672259,0.479480,0.00,0.00,0,0,43,24,inf,110,55,277,123.83,77.86,240.31,80.83,53.86,0.00,2,6,1,15,7.50,4.18,10.32
21,0.546564,0.683015,0.507671,0.00,0.00,0,0,43,24,inf,125,47,270,132.67,77.46,231.88,89.67,53.46,0.00,2,6,1,15,7.91,3.83,10.26
24,0.549161,0.678756,0.509913,0.00,0.00,0,0,43,24,inf,130,46,266,137.33,72.86,231.80,94.33,48.86,0.00,2,8,0,14,7.93,3.75,10.32
27,0.545318,0.672907,0.492036,0.00,0.00,0,0,43,24,inf,121,49,272,134.61,71.70,235.69,91.61,47.70,0.00,2,6,1,15,7.80,3.53,10.67
30,0.517547,0.678058,0.515365,0.00,0.00,0,0,43,24,inf,121,55,266,131.29,75.86,234.85,88.29,51.86,0.00,2,10,1,11,8.81,3.52,9.67
33,0.516597,0.685446,0.510177,0.00,0.00,0,0,43,24,inf,120,59,263,131.87,79.20,230.93,88.87,55.20,0.00,2,8,1,13,7.56,3.99,10.45
36,0.506325,0.690818,0.532098,0.00,0.00,0,0,43,24,inf,117,62,263,135.21,79.91,226.88,92.21,55.91,0.00,2,6,1,15,8.30,3.78,9.92
39,0.511756,0.689482,0.522884,0.00,0.00,0,0,43,24,inf,117,63,262,132.18,81.16,228.66,89.18,57.16,0.00,2,6,1,15,7.30,3.87,10.82
