Epoch,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
3,0.652745,0.676349,0.500482,0.00,0.00,0,0,43,24,inf,128,33,281,126.45,78.11,237.44,83.45,54.11,0.00,2,12,0,10,8.67,4.20,9.13
6,0.605953,0.680352,0.500318,0.00,0.00,0,0,43,24,inf,114,51,277,128.91,78.50,234.59,85.91,54.50,0.00,2,7,0,15,7.68,3.81,10.51
9,0.595807,0.679711,0.485737,0.00,0.00,0,0,43,24,inf,116,46,280,129.78,77.61,234.61,86.78,53.61,0.00,2,8,0,14,7.79,3.93,10.27
12,0.573156,0.688612,0.494631,0.00,0.00,0,0,43,24,inf,124,50,268,136.15,78.19,227.66,93.15,54.19,0.00,2,8,0,14,8.12,4.05,9.82
15,0.555002,0.675387,0.473039,0.00,0.00,0,0,43,24,inf,113,53,276,126.50,77.60,237.91,83.50,53.60,0.00,2,6,0,16,7.12,3.47,11.41
18,0.540151,0.677516,0.467112,0.00,0.00,0,0,43,24,inf,119,55,268,130.30,76.20,235.50,87.30,52.20,0.00,2,10,1,11,9.33,3.29,9.38
21,0.545122,0.675397,0.469786,0.00,0.00,0,0,43,24,inf,117,57,268,128.38,76.37,237.25,85.38,52.37,0.00,2,9,0,13,7.99,3.83,10.18
24,0.546279,0.686136,0.473040,0.00,0.00,0,0,43,24,inf,132,43,267,136.18,76.93,228.89,93.18,52.93,0.00,2,9,0,13,8.61,3.70,9.69
27,0.513756,0.679342,0.474869,0.00,0.00,0,0,43,24,inf,116,58,268,125.83,80.11,236.06,82.83,56.11,0.00,2,8,1,13,7.31,4.42,10.28
30,0.533525,0.679840,0.493641,0.00,0.00,0,0,43,24,inf,120,55,267,129.28,77.99,234.72,86.28,53.99,0.00,2,8,1,13,8.44,3.81,9.75
33,0.514676,0.668043,0.472028,0.00,0.00,0,0,43,24,inf,125,48,269,131.84,71.06,239.10,88.84,47.06,0.00,2,9,1,12,8.65,3.51,9.84
36,0.511022,0.682807,0.487336,0.00,0.00,0,0,43,24,inf,117,57,268,130.64,78.63,232.73,87.64,54.63,0.00,2,8,1,13,8.15,4.00,9.85
39,0.509082,0.672647,0.486875,0.00,0.00,0,0,43,24,inf,110,61,271,123.69,78.16,240.15,80.69,54.16,0.00,2,9,1,12,7.93,4.10,9.97
