Epoch,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
3,0.650955,0.671423,0.515647,0.00,0.00,0,0,43,24,inf,123,34,285,129.30,73.94,238.76,86.30,49.94,0.00,2,10,0,12,8.96,4.11,8.93
6,0.612729,0.685063,0.496491,0.00,0.00,0,0,43,24,inf,118,49,275,127.05,82.35,232.60,84.05,58.35,0.00,2,8,0,14,7.77,4.57,9.66
9,0.589986,0.691229,0.515796,0.00,0.00,0,0,43,24,inf,117,59,266,129.16,84.32,228.52,86.16,60.32,0.00,2,7,1,14,7.74,3.99,10.26
12,0.564952,0.689319,0.528376,0.00,0.00,0,0,43,24,inf,118,60,264,128.35,83.81,229.83,85.35,59.81,0.00,2,10,1,11,9.16,3.50,9.34
15,0.567024,0.684713,0.495725,0.00,0.00,0,0,43,24,inf,118,52,272,129.44,80.43,232.12,86.44,56.43,0.00,2,8,1,13,8.65,3.50,9.85
18,0.546049,0.689175,0.516889,0.00,0.00,0,0,43,24,inf,124,55,263,136.34,78.36,227.30,93.34,54.36,0.00,2,12,0,10,9.51,3.43,9.05
21,0.541666,0.702618,0.519422,0.00,0.00,0,0,43,24,inf,124,57,261,135.51,86.50,219.98,92.51,62.50,0.00,2,10,0,12,9.34,3.64,9.02
24,0.536149,0.678422,0.511117,0.00,0.00,0,0,43,24,inf,118,56,268,129.87,76.91,235.22,86.87,52.91,0.00,2,10,1,11,9.54,3.22,9.24
27,0.539834,0.688074,0.516042,0.00,0.00,0,0,43,24,inf,126,52,264,135.77,78.14,228.09,92.77,54.14,0.00,2,8,1,13,8.75,3.51,9.75
30,0.521573,0.697180,0.507955,0.00,0.00,0,0,43,24,inf,123,62,257,133.38,84.73,223.89,90.38,60.73,0.00,2,11,1,10,9.20,3.16,9.64
33,0.515241,0.687773,0.508356,0.00,0.00,0,0,43,24,inf,120,63,259,130.19,81.59,230.22,87.19,57.59,0.00,2,13,1,8,9.76,3.35,8.89
36,0.509828,0.671023,0.478347,0.00,0.00,0,0,43,24,inf,124,49,269,130.14,73.27,238.59,87.14,49.27,0.00,2,12,1,9,9.41,3.20,9.38
39,0.507656,0.675923,0.486944,0.00,0.00,0,0,43,24,inf,125,50,267,136.23,72.18,233.59,93.23,48.18,0.00,2,8,1,13,9.48,2.75,9.77
42,0.501723,0.671833,0.491609,0.00,0.00,0,0,43,24,inf,115,53,274,125.81,76.30,239.89,82.81,52.30,0.00,2,8,1,13,8.12,3.98,9.90
45,0.508713,0.684747,0.488515,0.00,0.00,0,0,43,24,inf,117,59,266,130.65,79.63,231.72,87.65,55.63,0.00,2,8,1,13,9.22,3.19,9.59
48,0.495151,0.669266,0.490686,0.00,0.00,0,0,43,24,inf,114,58,270,126.16,74.85,240.99,83.16,50.85,0.00,2,9,1,12,8.98,2.84,10.18
51,0.488403,0.691831,0.519478,0.00,0.00,0,0,43,24,inf,120,64,258,132.17,82.47,227.35,89.17,58.47,0.00,2,10,1,11,8.99,3.16,9.85
54,0.492675,0.678099,0.498633,0.00,0.00,0,0,43,24,inf,112,64,266,125.29,79.84,236.87,82.29,55.84,0.00,2,7,1,14,8.39,3.40,10.21
57,0.484360,0.681615,0.492801,0.00,0.00,0,0,43,24,inf,118,63,261,130.04,78.41,233.56,87.04,54.41,0.00,2,7,1,14,8.01,3.26,10.72
60,0.472137,0.679557,0.520473,0.00,0.00,0,0,43,24,inf,115,62,265,129.43,77.76,234.81,86.43,53.76,0.00,2,8,1,13,8.76,3.32,9.92
63,0.477572,0.685795,0.502946,0.00,0.00,0,0,43,24,inf,117,65,260,132.51,78.97,230.52,89.51,54.97,0.00,2,7,1,14,8.47,3.34,10.19
66,0.464225,0.662149,0.517090,0.00,0.00,0,0,43,24,inf,116,53,273,126.92,71.24,243.85,83.92,47.24,0.00,2,8,1,13,8.41,2.63,10.96
69,0.467411,0.690227,0.500229,0.00,0.00,0,0,43,24,inf,124,61,257,134.23,80.22,227.56,91.23,56.22,0.00,2,8,0,14,8.80,3.00,10.20
72,0.467039,0.662456,0.507809,0.00,0.00,0,0,43,24,inf,108,59,275,120.26,75.58,246.15,77.26,51.58,0.00,2,6,1,15,7.61,3.64,10.75
75,0.470509,0.684477,0.493671,0.00,0.00,0,0,43,24,inf,121,65,256,133.66,77.59,230.76,90.66,53.59,0.00,2,6,1,15,8.61,2.89,10.50
78,0.470094,0.685994,0.526475,0.00,0.00,0,0,43,24,inf,114,69,259,130.17,80.62,231.20,87.17,56.62,0.00,2,8,1,13,8.00,3.90,10.10
81,0.469009,0.669487,0.518940,0.00,0.00,0,0,43,24,inf,116,53,273,128.06,73.79,240.15,85.06,49.79,0.00,2,8,1,13,7.99,3.55,10.46
84,0.472977,0.670118,0.524318,0.00,0.00,0,0,43,24,inf,116,57,269,128.68,73.71,239.61,85.68,49.71,0.00,2,9,1,12,8.75,2.79,10.45
87,0.461273,0.699822,0.518545,0.00,0.00,0,0,43,24,inf,119,78,245,138.27,82.94,220.79,95.27,58.94,0.00,2,8,1,13,9.11,2.84,10.05
90,0.445347,0.679708,0.504108,0.00,0.00,0,0,43,24,inf,118,66,258,128.46,78.47,235.07,85.46,54.47,0.00,2,7,1,14,7.81,2.91,11.28
93,0.440942,0.677544,0.495993,0.00,0.00,0,0,43,24,inf,117,62,263,129.40,76.77,235.83,86.40,52.77,0.00,2,8,1,13,8.04,2.98,10.98
96,0.438409,0.684194,0.503399,0.00,0.00,0,0,43,24,inf,117,68,257,129.39,80.19,232.42,86.39,56.19,0.00,2,7,1,14,7.04,3.92,11.05
99,0.439239,0.691480,0.516497,0.00,0.00,0,0,43,24,inf,122,73,247,131.44,82.79,227.77,88.44,58.79,0.00,2,12,1,9,8.75,2.57,10.68
102,0.434565,0.699051,0.518599,0.00,0.00,0,0,43,24,inf,119,79,244,134.31,85.18,222.51,91.31,61.18,0.00,2,7,1,14,7.78,3.47,10.75
105,0.426519,0.685194,0.492958,0.00,0.00,0,0,43,24,inf,112,73,257,124.50,84.44,233.06,81.50,60.44,0.00,2,6,1,15,7.00,4.28,10.72
108,0.439027,0.679173,0.493775,0.00,0.00,0,0,43,24,inf,119,64,259,128.23,78.35,235.42,85.23,54.35,0.00,2,8,1,13,8.50,3.13,10.37
111,0.438121,0.680868,0.504199,0.00,0.00,0,0,43,24,inf,114,73,255,125.03,81.54,235.43,82.03,57.54,0.00,2,7,1,14,8.01,3.74,10.25
114,0.428282,0.660709,0.504350,0.00,0.00,0,0,43,24,inf,110,56,276,121.65,73.82,246.53,78.65,49.82,0.00,2,6,1,15,7.67,3.29,11.04
117,0.438301,0.671108,0.518201,0.00,0.00,0,0,43,24,inf,115,66,261,125.81,75.95,240.24,82.81,51.95,0.00,2,9,1,12,8.40,3.47,10.12
120,0.428524,0.668424,0.499132,0.00,0.00,0,0,43,24,inf,116,55,271,126.98,73.96,241.06,83.98,49.96,0.00,2,6,1,15,8.13,3.13,10.74
123,0.413725,0.665231,0.497057,0.00,0.00,0,0,43,24,inf,113,63,266,123.52,74.67,243.81,80.52,50.67,0.00,2,7,1,14,7.95,2.97,11.08
126,0.423311,0.695608,0.515223,0.00,0.00,0,0,43,24,inf,120,79,243,133.93,83.41,224.66,90.93,59.41,0.00,2,8,1,13,8.92,3.24,9.84
129,0.414473,0.672206,0.500061,0.00,0.00,0,0,43,24,inf,115,60,267,124.70,77.23,240.07,81.70,53.23,0.00,2,9,1,12,8.64,3.31,10.05
132,0.411076,0.668817,0.514104,0.00,0.00,0,0,43,24,inf,111,63,268,122.63,76.99,242.38,79.63,52.99,0.00,2,7,1,14,7.97,3.20,10.83
135,0.412441,0.689113,0.491117,0.00,0.00,0,0,43,24,inf,119,69,254,129.34,82.96,229.71,86.34,58.96,0.00,2,10,1,11,9.16,3.26,9.58
138,0.423615,0.699158,0.515749,0.00,0.00,0,0,43,24,inf,127,72,243,136.43,83.77,221.80,93.43,59.77,0.00,2,10,1,11,9.06,3.22,9.73
141,0.416198,0.681254,0.502485,0.00,0.00,0,0,43,24,inf,112,75,255,123.52,82.94,235.54,80.52,58.94,0.00,2,7,1,14,8.24,3.01,10.75
144,0.402453,0.682315,0.501966,0.00,0.00,0,0,43,24,inf,115,71,256,129.51,79.12,233.37,86.51,55.12,0.00,2,9,1,12,8.72,2.99,10.29
147,0.403027,0.681775,0.507234,0.00,0.00,0,0,43,24,inf,116,68,258,129.77,78.66,233.57,86.77,54.66,0.00,2,7,1,14,8.20,3.25,10.55
150,0.400028,0.686955,0.531862,0.00,0.00,0,0,43,24,inf,117,71,254,130.40,80.99,230.61,87.40,56.99,0.00,2,8,1,13,8.63,3.17,10.20
153,0.405554,0.668141,0.511564,0.00,0.00,0,0,43,24,inf,106,69,267,116.19,81.74,244.08,73.19,57.74,0.00,2,7,1,14,7.54,2.88,11.58
156,0.392096,0.668949,0.491269,0.00,0.00,0,0,43,24,inf,119,61,262,130.35,72.24,239.41,87.35,48.24,0.00,2,9,1,12,8.92,2.91,10.16
159,0.400089,0.680941,0.504365,0.00,0.00,0,0,43,24,inf,119,65,258,131.48,77.15,233.37,88.48,53.15,0.00,2,10,1,11,9.21,3.08,9.71
162,0.401154,0.687125,0.512061,0.00,0.00,0,0,43,24,inf,118,74,250,130.91,80.73,230.36,87.91,56.73,0.00,2,10,1,11,9.49,2.85,9.66
165,0.419850,0.684998,0.502107,0.00,0.00,0,0,43,24,inf,129,64,249,136.15,76.39,229.46,93.15,52.39,0.00,2,12,1,9,9.79,2.61,9.60
168,0.387601,0.678243,0.508265,0.00,0.00,0,0,43,24,inf,117,69,256,127.89,78.10,236.01,84.89,54.10,0.00,2,8,1,13,8.76,2.52,10.72
171,0.389521,0.681230,0.507307,0.00,0.00,0,0,43,24,inf,114,70,258,126.67,80.52,234.81,83.67,56.52,0.00,2,8,1,13,8.36,2.93,10.71
174,0.386154,0.685103,0.524358,0.00,0.00,0,0,43,24,inf,115,77,250,128.71,81.16,232.13,85.71,57.16,0.00,2,9,2,11,8.60,3.15,10.24
177,0.396621,0.680218,0.508074,0.00,0.00,0,0,43,24,inf,121,63,258,131.68,76.67,233.65,88.68,52.67,0.00,2,10,1,11,9.13,3.20,9.67
180,0.396725,0.684482,0.534932,0.00,0.00,0,0,43,24,inf,118,70,254,130.76,79.42,231.82,87.76,55.42,0.00,2,9,2,11,9.18,3.35,9.48
183,0.375305,0.667939,0.505627,0.00,0.00,0,0,43,24,inf,120,59,263,130.04,71.98,239.99,87.04,47.98,0.00,2,8,2,12,7.78,3.38,10.85
186,0.388338,0.685557,0.514681,0.00,0.00,0,0,43,24,inf,116,75,251,130.01,80.50,231.49,87.01,56.50,0.00,2,8,2,12,8.00,3.39,10.62
189,0.384922,0.674808,0.494898,0.00,0.00,0,0,43,24,inf,118,64,260,131.28,74.34,236.38,88.28,50.34,0.00,2,8,2,12,7.94,3.40,10.66
192,0.383149,0.678428,0.523187,0.00,0.00,0,0,43,24,inf,114,75,253,129.28,77.29,235.43,86.28,53.29,0.00,2,8,1,13,8.41,2.62,10.97
195,0.366574,0.686329,0.502659,0.00,0.00,0,0,43,24,inf,115,74,253,127.02,83.10,231.88,84.02,59.10,0.00,2,8,1,13,8.50,2.96,10.54
198,0.366272,0.682940,0.522441,0.00,0.00,0,0,43,24,inf,116,73,253,125.83,82.09,234.09,82.83,58.09,0.00,2,8,2,12,8.08,3.01,10.91
201,0.382029,0.671888,0.505868,0.00,0.00,0,0,43,24,inf,115,72,255,123.29,78.06,240.65,80.29,54.06,0.00,2,8,2,12,7.78,3.04,11.17
204,0.374384,0.674402,0.491809,0.00,0.00,0,0,43,24,inf,113,73,256,125.95,77.47,238.58,82.95,53.47,0.00,2,6,2,14,7.11,3.63,11.26
207,0.368854,0.661649,0.503499,0.00,0.00,0,0,43,24,inf,117,58,267,129.31,69.73,242.96,86.31,45.73,0.00,2,7,1,14,7.79,2.92,11.29
