Epoch,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
3,0.612435,0.690349,0.470599,0.00,0.00,0,0,43,24,inf,145,23,274,138.87,61.54,241.59,95.87,37.54,0.00,2,17,0,5,10.61,2.93,8.46
6,0.585444,0.726896,0.522064,0.00,0.00,0,0,43,24,inf,123,61,258,143.20,97.59,201.21,100.20,73.59,0.00,2,5,0,17,5.81,5.62,10.56
9,0.575635,0.680601,0.469170,0.00,0.00,0,0,43,24,inf,128,50,264,134.51,75.21,232.28,91.51,51.21,0.00,2,13,0,9,8.60,3.31,10.10
12,0.569277,0.683890,0.511055,0.00,0.00,0,0,43,24,inf,111,60,271,125.47,82.90,233.63,82.47,58.90,0.00,2,6,0,16,7.28,3.19,11.53
15,0.556501,0.652461,0.469668,0.00,0.00,0,0,43,24,inf,110,44,288,123.99,68.91,249.10,80.99,44.91,0.00,2,5,1,16,6.75,3.27,11.97
18,0.548488,0.690011,0.529889,0.00,0.00,0,0,43,24,inf,116,63,263,135.32,79.42,227.27,92.32,55.42,0.00,2,9,1,12,8.71,3.51,9.78
21,0.529233,0.685081,0.518437,0.00,0.00,0,0,43,24,inf,124,51,267,135.40,76.86,229.74,92.40,52.86,0.00,2,14,1,7,10.18,2.12,9.70
24,0.530289,0.705295,0.516424,0.00,0.00,0,0,43,24,inf,123,53,266,140.02,85.01,216.97,97.02,61.01,0.00,2,7,1,14,8.27,3.65,10.08
27,0.519964,0.684460,0.506748,0.00,0.00,0,0,43,24,inf,140,49,253,144.32,72.04,225.63,101.32,48.04,0.00,2,14,0,8,10.29,2.60,9.12
30,0.520603,0.684775,0.486735,0.00,0.00,0,0,43,24,inf,118,51,273,129.97,80.11,231.93,86.97,56.11,0.00,2,2,0,20,6.09,3.69,12.23
33,0.496343,0.675977,0.513637,0.00,0.00,0,0,43,24,inf,115,53,274,124.63,79.20,238.17,81.63,55.20,0.00,2,7,1,14,7.66,3.53,10.82
36,0.500061,0.700652,0.550949,0.00,0.00,0,0,43,24,inf,113,69,260,128.45,90.93,222.62,85.45,66.93,0.00,2,10,0,12,9.38,3.20,9.42
39,0.494122,0.694092,0.521297,0.00,0.00,0,0,43,24,inf,114,74,254,124.65,89.94,227.41,81.65,65.94,0.00,2,9,2,11,8.51,3.79,9.70
42,0.491636,0.659627,0.506970,0.00,0.00,0,0,43,24,inf,116,44,282,127.67,69.78,244.55,84.67,45.78,0.00,2,6,1,15,6.98,3.86,11.16
45,0.486131,0.671417,0.509482,0.00,0.00,0,0,43,24,inf,126,50,266,133.25,71.76,236.99,90.25,47.76,0.00,2,11,1,10,9.17,3.08,9.75
48,0.464246,0.669583,0.514025,0.00,0.00,0,0,43,24,inf,121,53,268,130.72,72.31,238.97,87.72,48.31,0.00,2,8,0,14,8.09,2.96,10.94
51,0.476412,0.686270,0.532439,0.00,0.00,0,0,43,24,inf,113,64,265,124.21,85.33,232.46,81.21,61.33,0.00,2,9,1,12,8.08,3.10,10.81
54,0.478080,0.693150,0.551017,0.00,0.00,0,0,43,24,inf,136,49,257,141.51,77.46,223.03,98.51,53.46,0.00,2,13,0,9,10.05,2.88,9.07
57,0.465679,0.698720,0.530659,0.00,0.00,0,0,43,24,inf,125,63,254,135.91,83.87,222.23,92.91,59.87,0.00,2,11,1,10,9.02,3.70,9.28
60,0.457978,0.687487,0.513372,0.00,0.00,0,0,43,24,inf,115,64,263,127.87,83.12,231.01,84.87,59.12,0.00,2,6,2,14,7.07,4.15,10.78
63,0.459498,0.691170,0.524260,0.00,0.00,0,0,43,24,inf,116,63,263,126.26,86.61,229.13,83.26,62.61,0.00,2,6,2,14,7.43,3.94,10.63
66,0.451317,0.693079,0.529754,0.00,0.00,0,0,43,24,inf,117,65,260,128.98,85.57,227.45,85.98,61.57,0.00,2,10,2,10,8.30,3.67,10.03
69,0.436212,0.685352,0.534555,0.00,0.00,0,0,43,24,inf,121,55,266,138.84,75.10,228.06,95.84,51.10,0.00,2,7,1,14,8.01,3.65,10.34
72,0.450037,0.677720,0.526086,0.00,0.00,0,0,43,24,inf,113,62,267,126.99,78.45,236.57,83.99,54.45,0.00,2,7,2,13,7.51,3.31,11.19
75,0.423120,0.691022,0.535663,0.00,0.00,0,0,43,24,inf,131,65,246,136.53,79.20,226.26,93.53,55.20,0.00,2,10,2,10,8.86,3.72,9.43
78,0.439373,0.686312,0.545307,0.00,0.00,0,0,43,24,inf,133,50,259,135.24,77.56,229.20,92.24,53.56,0.00,2,12,0,10,8.85,3.01,10.14
81,0.435426,0.693434,0.532551,0.00,0.00,0,0,43,24,inf,117,71,254,127.93,86.64,227.43,84.93,62.64,0.00,2,8,1,13,8.03,3.32,10.65
84,0.433246,0.680057,0.508754,0.00,0.00,0,0,43,24,inf,110,66,266,121.77,83.70,236.54,78.77,59.70,0.00,2,6,1,15,7.57,2.92,11.51
87,0.421012,0.689296,0.541074,0.00,0.00,0,0,43,24,inf,125,62,255,133.36,80.27,228.36,90.36,56.27,0.00,2,7,1,14,7.94,3.67,10.39
90,0.417526,0.686019,0.534030,0.00,0.00,0,0,43,24,inf,124,60,258,134.97,77.57,229.45,91.97,53.57,0.00,2,9,1,12,9.00,2.78,10.22
93,0.424470,0.697285,0.541559,0.00,0.00,0,0,43,24,inf,124,71,247,130.08,87.32,224.60,87.08,63.32,0.00,2,9,1,12,8.10,2.88,11.02
96,0.417462,0.679061,0.522948,0.00,0.00,0,0,43,24,inf,122,61,259,132.27,75.76,233.97,89.27,51.76,0.00,2,10,2,10,8.90,3.53,9.57
99,0.418271,0.665815,0.509171,0.00,0.00,0,0,43,24,inf,114,55,273,123.73,74.81,243.47,80.73,50.81,0.00,2,8,2,12,7.67,4.35,9.98
102,0.416405,0.688406,0.519716,0.00,0.00,0,0,43,24,inf,113,70,259,121.13,89.49,231.38,78.13,65.49,0.00,2,8,2,12,7.61,3.54,10.84
105,0.410505,0.704448,0.564231,0.00,0.00,0,0,43,24,inf,123,71,248,130.37,91.86,219.77,87.37,67.86,0.00,2,10,1,11,7.96,3.60,10.44
108,0.411148,0.673297,0.502208,0.00,0.00,0,0,43,24,inf,107,66,269,117.35,83.63,241.02,74.35,59.63,0.00,2,8,1,13,7.89,2.94,11.17
111,0.409299,0.690242,0.528052,0.00,0.00,0,0,43,24,inf,107,77,258,123.44,88.51,230.05,80.44,64.51,0.00,2,8,2,12,8.29,3.42,10.29
114,0.423773,0.691869,0.543847,0.00,0.00,0,0,43,24,inf,119,68,255,132.92,81.98,227.10,89.92,57.98,0.00,2,9,0,13,8.95,2.41,10.64
117,0.389668,0.673842,0.500267,0.00,0.00,0,0,43,24,inf,123,62,257,131.30,73.88,236.81,88.30,49.88,0.00,2,11,1,10,8.90,3.20,9.90
120,0.411380,0.697353,0.547932,0.00,0.00,0,0,43,24,inf,122,70,250,127.88,89.21,224.91,84.88,65.21,0.00,2,11,2,9,8.06,4.34,9.60
123,0.394653,0.673553,0.536741,0.00,0.00,0,0,43,24,inf,128,53,261,134.07,72.25,235.68,91.07,48.25,0.00,2,11,1,10,9.20,3.38,9.42
126,0.391190,0.674860,0.517718,0.00,0.00,0,0,43,24,inf,128,53,261,137.75,70.98,233.27,94.75,46.98,0.00,2,11,2,9,9.23,3.15,9.62
129,0.432097,0.693856,0.536039,0.00,0.00,0,0,43,24,inf,122,65,255,130.07,85.20,226.73,87.07,61.20,0.00,2,7,1,14,7.50,2.64,11.86
132,0.385337,0.665919,0.499808,0.00,0.00,0,0,43,24,inf,125,52,265,128.11,72.18,241.71,85.11,48.18,0.00,2,10,1,11,8.50,3.10,10.40
135,0.397985,0.679309,0.535528,0.00,0.00,0,0,43,24,inf,120,61,261,131.60,76.28,234.12,88.60,52.28,0.00,2,9,2,11,9.40,2.92,9.68
138,0.394170,0.681292,0.516571,0.00,0.00,0,0,43,24,inf,107,77,258,120.91,85.17,235.92,77.91,61.17,0.00,2,6,4,12,7.33,3.95,10.72
141,0.395605,0.675586,0.515702,0.00,0.00,0,0,43,24,inf,114,60,268,123.11,80.12,238.77,80.11,56.12,0.00,2,7,2,13,7.26,3.56,11.17
144,0.375739,0.685398,0.540668,0.00,0.00,0,0,43,24,inf,124,67,251,132.26,78.92,230.81,89.26,54.92,0.00,2,7,1,14,8.31,3.21,10.48
147,0.391362,0.687320,0.535780,0.00,0.00,0,0,43,24,inf,125,68,249,134.02,78.82,229.17,91.02,54.82,0.00,2,8,2,12,9.08,3.00,9.92
150,0.375381,0.697734,0.538841,0.00,0.00,0,0,43,24,inf,129,74,239,132.03,86.07,223.90,89.03,62.07,0.00,2,10,2,10,8.55,3.76,9.68
153,0.381356,0.670003,0.490135,0.00,0.00,0,0,43,24,inf,120,56,266,126.36,75.07,240.57,83.36,51.07,0.00,2,8,1,13,7.86,3.26,10.88
156,0.392357,0.686032,0.532315,0.00,0.00,0,0,43,24,inf,126,61,255,132.00,79.42,230.58,89.00,55.42,0.00,2,10,1,11,9.39,3.14,9.47
159,0.387193,0.674673,0.512670,0.00,0.00,0,0,43,24,inf,115,65,262,126.65,77.14,238.21,83.65,53.14,0.00,2,8,1,13,7.56,3.21,11.23
162,0.372658,0.702955,0.558334,0.00,0.00,0,0,43,24,inf,125,73,244,129.22,91.84,220.94,86.22,67.84,0.00,2,11,2,9,9.34,3.62,9.04
165,0.380601,0.687459,0.526647,0.00,0.00,0,0,43,24,inf,127,64,251,135.60,77.93,228.47,92.60,53.93,0.00,2,9,1,12,8.37,2.73,10.90
168,0.366683,0.675238,0.528816,0.00,0.00,0,0,43,24,inf,112,72,258,120.72,81.82,239.46,77.72,57.82,0.00,2,9,1,12,7.61,3.33,11.06
171,0.384785,0.693041,0.550250,0.00,0.00,0,0,43,24,inf,111,84,247,120.05,93.85,228.10,77.05,69.85,0.00,2,9,2,11,8.13,3.49,10.39
174,0.385299,0.685506,0.511810,0.00,0.00,0,0,43,24,inf,119,70,253,121.59,87.17,233.25,78.59,63.17,0.00,2,6,3,13,6.53,4.74,10.73
177,0.371586,0.669565,0.511575,0.00,0.00,0,0,43,24,inf,118,62,262,123.98,76.42,241.60,80.98,52.42,0.00,2,7,2,13,6.96,3.57,11.47
180,0.359989,0.679684,0.530584,0.00,0.00,0,0,43,24,inf,133,58,251,142.02,71.03,228.94,99.02,47.03,0.00,2,10,2,10,9.17,3.22,9.61
183,0.363180,0.699049,0.555833,0.00,0.00,0,0,43,24,inf,120,75,247,123.58,94.51,223.91,80.58,70.51,0.00,2,8,3,11,7.72,4.93,9.35
186,0.360111,0.684149,0.523842,0.00,0.00,0,0,43,24,inf,132,58,252,133.13,77.75,231.13,90.13,53.75,0.00,2,10,2,10,8.64,3.53,9.84
189,0.368424,0.672711,0.513422,0.00,0.00,0,0,43,24,inf,121,59,262,122.04,79.41,240.55,79.04,55.41,0.00,2,9,2,11,7.27,3.23,11.50
192,0.369387,0.695702,0.553046,0.00,0.00,0,0,43,24,inf,129,67,246,137.31,81.23,223.45,94.31,57.23,0.00,2,10,2,10,8.95,3.28,9.77
195,0.365262,0.673258,0.518451,0.00,0.00,0,0,43,24,inf,120,63,259,129.37,74.74,237.89,86.37,50.74,0.00,2,9,1,12,8.17,2.78,11.05
198,0.368189,0.684838,0.531056,0.00,0.00,0,0,43,24,inf,117,72,253,124.26,84.43,233.32,81.26,60.43,0.00,2,8,3,11,8.44,4.20,9.35
201,0.367170,0.708511,0.560765,0.00,0.00,0,0,43,24,inf,125,83,234,128.50,96.64,216.86,85.50,72.64,0.00,2,8,2,12,7.92,4.69,9.39
204,0.362339,0.688652,0.532178,0.00,0.00,0,0,43,24,inf,124,69,249,131.24,81.34,229.42,88.24,57.34,0.00,2,7,1,14,7.18,3.39,11.43
207,0.359135,0.680015,0.522956,0.00,0.00,0,0,43,24,inf,118,69,255,125.21,80.93,235.86,82.21,56.93,0.00,2,8,2,12,6.87,4.20,10.93
210,0.352032,0.696171,0.537832,0.00,0.00,0,0,43,24,inf,131,71,240,131.91,85.20,224.89,88.91,61.20,0.00,2,9,2,11,8.18,3.73,10.09
213,0.373509,0.686542,0.537524,0.00,0.00,0,0,43,24,inf,113,70,259,125.18,84.68,232.14,82.18,60.68,0.00,2,8,3,11,7.86,3.20,10.94
216,0.345462,0.688395,0.526628,0.00,0.00,0,0,43,24,inf,127,67,248,130.78,81.52,229.70,87.78,57.52,0.00,2,12,3,7,10.11,3.77,8.12
219,0.376505,0.699152,0.548083,0.00,0.00,0,0,43,24,inf,119,73,250,127.71,90.56,223.72,84.71,66.56,0.00,2,9,1,12,9.37,2.86,9.77
222,0.368321,0.679142,0.545870,0.00,0.00,0,0,43,24,inf,128,63,251,135.82,73.82,232.36,92.82,49.82,0.00,2,9,2,11,8.51,2.84,10.65
225,0.364064,0.695651,0.528303,0.00,0.00,0,0,43,24,inf,131,67,244,136.79,81.54,223.67,93.79,57.54,0.00,2,9,4,9,9.16,3.83,9.02
228,0.363013,0.675974,0.527564,0.00,0.00,0,0,43,24,inf,119,60,263,125.97,78.25,237.78,82.97,54.25,0.00,2,8,1,13,8.08,2.84,11.08
231,0.351263,0.690495,0.535134,0.00,0.00,0,0,43,24,inf,126,67,249,128.74,84.21,229.05,85.74,60.21,0.00,2,8,2,12,7.99,3.52,10.48
234,0.355557,0.694870,0.543261,0.00,0.00,0,0,43,24,inf,130,67,245,133.60,83.22,225.19,90.60,59.22,0.00,2,8,3,11,8.71,3.26,10.03
237,0.347742,0.670033,0.503295,0.00,0.00,0,0,43,24,inf,129,56,257,131.51,72.08,238.41,88.51,48.08,0.00,2,8,3,11,8.61,3.66,9.73
240,0.344339,0.683783,0.523151,0.00,0.00,0,0,43,24,inf,115,71,256,123.27,84.62,234.10,80.27,60.62,0.00,2,7,3,12,7.86,4.04,10.11
243,0.342317,0.679499,0.510997,0.00,0.00,0,0,43,24,inf,120,68,254,124.72,81.02,236.26,81.72,57.02,0.00,2,8,3,11,8.42,3.73,9.85
246,0.348429,0.690239,0.545594,0.00,0.00,0,0,43,24,inf,124,74,244,129.25,83.67,229.08,86.25,59.67,0.00,2,11,2,9,9.74,2.85,9.42
249,0.355143,0.689738,0.537048,0.00,0.00,0,0,43,24,inf,133,62,247,135.90,78.92,227.18,92.90,54.92,0.00,2,11,1,10,9.94,2.91,9.15
252,0.337670,0.572944,0.467892,0.02,0.02,0,0,43,24,inf,129,32,281,131.78,45.47,264.75,88.78,21.47,0.00,2,9,2,11,9.38,2.58,10.04
255,0.356730,0.571423,0.425975,0.05,0.05,0,0,43,24,inf,119,32,291,120.78,47.89,273.33,77.78,23.89,0.00,2,7,1,14,7.10,2.46,12.45
258,0.344043,0.619445,0.439682,0.08,0.08,0,0,43,24,inf,113,43,286,115.74,61.60,264.66,72.74,37.60,0.00,2,7,2,13,6.96,3.56,11.48
261,0.370635,0.589073,0.416607,0.11,0.11,0,0,43,24,inf,109,35,298,112.12,54.75,275.13,69.12,30.75,0.00,2,6,1,15,5.44,2.74,13.82
264,0.380080,0.578880,0.443720,0.14,0.14,0,0,43,24,inf,105,31,306,112.21,52.28,277.50,69.21,28.28,0.00,2,3,1,18,5.33,2.47,14.20
267,0.419868,0.541378,0.452340,0.17,0.17,0,0,43,24,inf,99,28,315,109.02,45.90,287.08,66.02,21.90,0.00,2,4,0,18,5.75,2.01,14.24
270,0.430243,0.578039,0.417402,0.20,0.20,0,0,43,24,inf,92,32,318,101.38,57.17,283.45,58.38,33.17,0.00,2,2,0,20,4.80,1.92,15.28
273,0.465651,0.536784,0.353113,0.23,0.23,0,0,43,24,inf,87,29,326,95.53,50.39,296.08,52.53,26.39,0.00,2,3,0,19,5.24,1.27,15.48
