Epoch,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
3,0.931339,0.635502,0.437108,0.00,0.00,0,0,43,24,inf,93,7,342,117.97,128.11,195.92,74.97,104.11,0.00,2,15,0,7,9.37,5.42,7.22
6,0.820774,0.648432,0.480298,0.00,0.00,0,0,43,24,inf,108,7,327,122.31,105.58,214.11,79.31,81.58,0.00,2,16,0,6,10.68,4.28,7.04
9,0.756558,0.663112,0.427310,0.00,0.00,0,0,43,24,inf,124,2,316,127.64,91.62,222.74,84.64,67.62,0.00,2,16,0,6,10.48,4.14,7.38
12,0.714295,0.660083,0.428630,0.00,0.00,0,0,43,24,inf,131,6,305,126.50,85.57,229.93,83.50,61.57,0.00,2,17,0,5,9.43,4.37,8.19
15,0.704073,0.669474,0.437130,0.00,0.00,0,0,43,24,inf,138,4,300,130.10,78.77,233.13,87.10,54.77,0.00,2,16,0,6,9.37,4.27,8.36
18,0.664576,0.677963,0.448240,0.00,0.00,0,0,43,24,inf,145,10,287,133.52,79.12,229.36,90.52,55.12,0.00,2,16,0,6,9.21,4.39,8.39
21,0.649504,0.676873,0.446965,0.00,0.00,0,0,43,24,inf,139,9,294,133.07,77.74,231.18,90.07,53.74,0.00,2,11,0,11,8.49,4.43,9.08
24,0.643048,0.672379,0.493815,0.00,0.00,0,0,43,24,inf,140,16,286,131.25,77.53,233.22,88.25,53.53,0.00,2,14,0,8,8.68,4.49,8.83
27,0.639254,0.675091,0.502639,0.00,0.00,0,0,43,24,inf,134,20,288,132.34,75.08,234.58,89.34,51.08,0.00,2,9,0,13,8.19,4.29,9.53
30,0.633342,0.685763,0.532084,0.00,0.00,0,0,43,24,inf,139,30,273,138.01,75.73,228.26,95.01,51.73,0.00,2,12,0,10,9.08,4.17,8.75
33,0.634068,0.681905,0.509031,0.00,0.00,0,0,43,24,inf,121,40,281,129.81,78.71,233.49,86.81,54.71,0.00,2,9,0,13,7.88,4.27,9.84
36,0.614700,0.682392,0.528983,0.00,0.00,0,0,43,24,inf,134,34,274,133.98,76.37,231.65,90.98,52.37,0.00,2,10,0,12,8.55,4.11,9.35
39,0.617965,0.682753,0.529180,0.00,0.00,0,0,43,24,inf,127,39,276,133.86,76.61,231.53,90.86,52.61,0.00,2,9,0,13,8.73,3.92,9.35
42,0.608304,0.676389,0.491686,0.00,0.00,0,0,43,24,inf,117,42,283,126.62,78.01,237.36,83.62,54.01,0.00,2,8,0,14,7.76,4.09,10.15
45,0.619521,0.668476,0.492287,0.00,0.00,0,0,43,24,inf,122,38,282,128.89,72.85,240.26,85.89,48.85,0.00,2,9,0,13,8.11,3.86,10.03
48,0.595852,0.678044,0.508610,0.00,0.00,0,0,43,24,inf,118,45,279,130.05,76.61,235.34,87.05,52.61,0.00,2,8,0,14,8.01,3.81,10.18
51,0.602802,0.694855,0.520532,0.00,0.00,0,0,43,24,inf,122,54,266,133.71,83.13,225.16,90.71,59.13,0.00,2,9,0,13,8.60,4.09,9.31
54,0.591380,0.678445,0.498482,0.00,0.00,0,0,43,24,inf,116,50,276,128.61,77.73,235.66,85.61,53.73,0.00,2,8,0,14,8.12,3.88,10.00
57,0.598143,0.682254,0.502623,0.00,0.00,0,0,43,24,inf,114,51,277,128.28,79.92,233.80,85.28,55.92,0.00,2,7,0,15,8.17,3.80,10.02
60,0.584664,0.681757,0.504108,0.00,0.00,0,0,43,24,inf,119,48,275,130.45,78.21,233.34,87.45,54.21,0.00,2,9,0,13,8.48,3.80,9.72
63,0.580840,0.685431,0.498370,0.00,0.00,0,0,43,24,inf,122,49,271,133.17,78.37,230.46,90.17,54.37,0.00,2,10,0,12,8.82,3.71,9.46
66,0.571867,0.681013,0.504255,0.00,0.00,0,0,43,24,inf,116,50,276,130.39,77.87,233.74,87.39,53.87,0.00,2,7,0,15,8.44,3.53,10.03
69,0.577427,0.673455,0.493228,0.00,0.00,0,0,43,24,inf,114,49,279,127.64,75.90,238.46,84.64,51.90,0.00,2,7,0,15,8.27,3.55,10.17
72,0.587510,0.676177,0.492981,0.00,0.00,0,0,43,24,inf,112,51,279,124.06,79.72,238.22,81.06,55.72,0.00,2,7,0,15,7.61,3.84,10.55
