Epoch,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
3,0.641338,0.656127,0.507118,0.00,0.00,0,0,43,24,inf,122,35,285,125.80,69.37,246.82,82.80,45.37,0.00,2,8,0,14,7.40,4.30,10.30
6,0.601790,0.691989,0.525210,0.00,0.00,0,0,43,24,inf,125,53,264,136.21,79.91,225.88,93.21,55.91,0.00,2,12,0,10,9.44,4.01,8.55
9,0.592510,0.690456,0.530257,0.00,0.00,0,0,43,24,inf,132,46,264,138.90,77.54,225.56,95.90,53.54,0.00,2,9,0,13,8.75,3.96,9.29
12,0.560785,0.686925,0.532634,0.00,0.00,0,0,43,24,inf,109,63,270,125.80,84.40,231.79,82.80,60.40,0.00,2,8,1,13,8.31,4.35,9.35
15,0.549338,0.678052,0.484801,0.00,0.00,0,0,43,24,inf,132,44,266,138.19,72.13,231.68,95.19,48.13,0.00,2,11,1,10,9.19,3.61,9.20
18,0.539661,0.689362,0.512610,0.00,0.00,0,0,43,24,inf,130,50,262,136.25,78.51,227.24,93.25,54.51,0.00,2,9,1,12,8.24,3.87,9.89
21,0.520639,0.689317,0.518237,0.00,0.00,0,0,43,24,inf,121,58,263,129.64,82.85,229.51,86.64,58.85,0.00,2,10,2,10,8.55,4.15,9.30
24,0.527859,0.688592,0.498819,0.00,0.00,0,0,43,24,inf,130,47,265,137.04,77.66,227.30,94.04,53.66,0.00,2,10,1,11,8.80,3.30,9.90
27,0.493687,0.671202,0.508491,0.00,0.00,0,0,43,24,inf,119,55,268,126.62,75.47,239.91,83.62,51.47,0.00,2,9,1,12,7.93,3.86,10.21
30,0.499538,0.669423,0.501757,0.00,0.00,0,0,43,24,inf,126,52,264,136.63,69.28,236.10,93.63,45.28,0.00,2,8,1,13,8.99,3.41,9.60
33,0.497386,0.682265,0.513338,0.00,0.00,0,0,43,24,inf,138,52,252,144.45,71.05,226.50,101.45,47.05,0.00,2,12,1,9,9.93,3.17,8.90
36,0.492700,0.645480,0.471337,0.00,0.00,0,0,43,24,inf,116,47,279,128.14,64.26,249.60,85.14,40.26,0.00,2,6,1,15,7.55,3.24,11.21
39,0.476904,0.675831,0.526917,0.00,0.00,0,0,43,24,inf,114,59,269,126.16,78.05,237.79,83.16,54.05,0.00,2,7,2,13,7.26,3.99,10.75
42,0.473503,0.667806,0.505938,0.00,0.00,0,0,43,24,inf,125,49,268,132.67,70.53,238.80,89.67,46.53,0.00,2,8,1,13,9.18,3.30,9.52
45,0.459767,0.673286,0.514798,0.00,0.00,0,0,43,24,inf,121,58,263,131.36,73.60,237.04,88.36,49.60,0.00,2,7,1,14,8.20,3.05,10.75
48,0.447441,0.675762,0.532208,0.00,0.00,0,0,43,24,inf,130,53,259,140.86,69.93,231.21,97.86,45.93,0.00,2,10,2,10,9.83,2.78,9.38
51,0.457760,0.670031,0.521041,0.00,0.00,0,0,43,24,inf,117,58,267,129.72,73.07,239.21,86.72,49.07,0.00,2,6,1,15,8.86,3.29,9.85
54,0.422115,0.657611,0.509776,0.00,0.00,0,0,43,24,inf,123,48,271,131.00,67.32,243.69,88.00,43.32,0.00,2,7,1,14,8.52,3.32,10.16
57,0.430620,0.680222,0.513906,0.00,0.00,0,0,43,24,inf,126,60,256,136.19,74.11,231.69,93.19,50.11,0.00,2,11,2,9,9.66,3.24,9.10
60,0.439494,0.654481,0.494386,0.00,0.00,0,0,43,24,inf,111,54,277,122.82,70.40,248.79,79.82,46.40,0.00,2,8,2,12,7.40,3.47,11.13
63,0.428001,0.652354,0.520228,0.00,0.00,0,0,43,24,inf,123,45,274,133.00,64.52,244.48,90.00,40.52,0.00,2,7,0,15,7.85,2.74,11.42
66,0.420161,0.660050,0.511420,0.00,0.00,0,0,43,24,inf,126,50,266,132.85,67.37,241.78,89.85,43.37,0.00,2,11,1,10,9.06,2.87,10.07
69,0.431690,0.658516,0.507644,0.00,0.00,0,0,43,24,inf,121,49,272,133.59,66.47,241.95,90.59,42.47,0.00,2,8,1,13,8.54,2.71,10.76
72,0.403156,0.678003,0.515297,0.00,0.00,0,0,43,24,inf,124,60,258,131.83,75.52,234.66,88.83,51.52,0.00,2,13,0,9,9.39,2.79,9.83
75,0.418589,0.679598,0.504751,0.00,0.00,0,0,43,24,inf,127,62,253,136.13,73.86,232.01,93.13,49.86,0.00,2,9,1,12,8.81,2.91,10.28
78,0.391057,0.674307,0.537233,0.00,0.00,0,0,43,24,inf,136,55,251,143.67,68.16,230.16,100.67,44.16,0.00,2,12,0,10,10.79,1.75,9.46
81,0.414139,0.684999,0.535372,0.00,0.00,0,0,43,24,inf,122,66,254,132.92,78.30,230.78,89.92,54.30,0.00,2,9,1,12,8.90,3.08,10.02
84,0.411021,0.680203,0.531029,0.00,0.00,0,0,43,24,inf,129,59,254,135.79,74.32,231.89,92.79,50.32,0.00,2,7,2,13,8.23,3.82,9.95
87,0.388991,0.692366,0.528350,0.00,0.00,0,0,43,24,inf,116,75,251,127.68,86.18,228.14,84.68,62.18,0.00,2,6,2,14,7.94,4.03,10.03
90,0.391496,0.692286,0.536713,0.00,0.00,0,0,43,24,inf,125,70,247,130.74,83.76,227.50,87.74,59.76,0.00,2,8,2,12,7.96,3.90,10.15
93,0.371828,0.667376,0.522697,0.00,0.00,0,0,43,24,inf,128,55,259,134.29,69.56,238.16,91.29,45.56,0.00,2,9,1,12,8.73,2.50,10.76
96,0.394591,0.672452,0.499121,0.00,0.00,0,0,43,24,inf,112,68,262,122.76,78.74,240.51,79.76,54.74,0.00,2,6,2,14,7.44,3.39,11.17
99,0.377963,0.652996,0.510785,0.00,0.00,0,0,43,24,inf,124,50,268,130.84,65.69,245.47,87.84,41.69,0.00,2,7,1,14,8.42,2.62,10.96
102,0.353241,0.658437,0.503282,0.00,0.00,0,0,43,24,inf,122,55,265,127.32,69.49,245.19,84.32,45.49,0.00,2,11,0,11,9.54,2.52,9.94
105,0.358184,0.642238,0.473588,0.00,0.00,0,0,43,24,inf,119,46,277,124.05,65.06,252.89,81.05,41.06,0.00,2,8,1,13,8.39,2.92,10.69
108,0.349640,0.680883,0.541633,0.00,0.00,0,0,43,24,inf,130,65,247,136.92,74.03,231.05,93.92,50.03,0.00,2,9,1,12,9.51,2.91,9.58
111,0.358879,0.656051,0.494210,0.00,0.00,0,0,43,24,inf,114,57,271,120.98,72.19,248.83,77.98,48.19,0.00,2,5,1,16,7.43,3.46,11.12
114,0.347504,0.662797,0.501727,0.00,0.00,0,0,43,24,inf,121,57,264,128.66,70.55,242.79,85.66,46.55,0.00,2,8,1,13,8.68,3.02,10.31
117,0.339417,0.680912,0.512704,0.00,0.00,0,0,43,24,inf,125,64,253,129.64,78.31,234.05,86.64,54.31,0.00,2,9,1,12,8.74,3.35,9.91
120,0.349341,0.690272,0.528134,0.00,0.00,0,0,43,24,inf,124,69,249,131.70,81.92,228.38,88.70,57.92,0.00,2,8,2,12,8.80,3.13,10.08
123,0.319750,0.662117,0.502867,0.00,0.00,0,0,43,24,inf,129,54,259,135.42,67.00,239.59,92.42,43.00,0.00,2,10,0,12,10.01,2.47,9.52
126,0.356388,0.676642,0.516203,0.00,0.00,0,0,43,24,inf,126,65,251,131.59,75.01,235.40,88.59,51.01,0.00,2,9,0,13,8.65,2.81,10.54
129,0.327712,0.651183,0.483150,0.00,0.00,0,0,43,24,inf,114,57,271,122.21,69.41,250.38,79.21,45.41,0.00,2,8,1,13,8.84,2.87,10.28
132,0.337342,0.668283,0.495495,0.00,0.00,0,0,43,24,inf,124,57,261,131.75,71.20,239.04,88.75,47.20,0.00,2,10,1,11,9.15,3.25,9.60
135,0.319929,0.658885,0.494842,0.00,0.00,0,0,43,24,inf,125,58,259,129.65,68.46,243.89,86.65,44.46,0.00,2,8,1,13,8.11,2.46,11.43
138,0.329826,0.673574,0.508746,0.00,0.00,0,0,43,24,inf,119,67,256,126.09,76.96,238.94,83.09,52.96,0.00,2,9,2,11,8.85,3.46,9.70
141,0.331241,0.643308,0.481692,0.00,0.00,0,0,43,24,inf,124,51,267,124.60,65.17,252.23,81.60,41.17,0.00,2,6,2,14,7.62,3.31,11.07
144,0.320735,0.677725,0.516273,0.00,0.00,0,0,43,24,inf,118,72,252,127.96,77.79,236.24,84.96,53.79,0.00,2,8,2,12,7.95,4.01,10.04
147,0.313126,0.664844,0.486688,0.00,0.00,0,0,43,24,inf,118,63,261,124.73,73.72,243.55,81.73,49.72,0.00,2,10,0,12,8.78,3.49,9.73
150,0.330539,0.704178,0.556872,0.00,0.00,0,0,43,24,inf,135,70,237,138.06,85.66,218.28,95.06,61.66,0.00,2,8,3,11,8.72,4.19,9.09
153,0.318658,0.639902,0.487192,0.00,0.00,0,0,43,24,inf,116,52,274,125.60,63.52,252.88,82.60,39.52,0.00,2,6,1,15,7.52,3.39,11.09
156,0.309468,0.676490,0.526315,0.00,0.00,0,0,43,24,inf,129,61,252,132.58,74.37,235.04,89.58,50.37,0.00,2,9,3,10,9.88,3.31,8.81
159,0.304277,0.665281,0.504169,0.00,0.00,0,0,43,24,inf,123,59,260,126.54,72.81,242.65,83.54,48.81,0.00,2,7,1,14,7.89,3.07,11.04
162,0.295779,0.659536,0.502515,0.00,0.00,0,0,43,24,inf,131,55,256,133.48,66.90,241.63,90.48,42.90,0.00,2,10,1,11,10.08,2.66,9.26
165,0.318118,0.662507,0.514559,0.00,0.00,0,0,43,24,inf,132,56,254,138.48,65.85,237.67,95.48,41.85,0.00,2,10,2,10,10.77,2.29,8.94
168,0.296939,0.689130,0.519678,0.00,0.00,0,0,43,24,inf,122,73,247,131.03,81.75,229.22,88.03,57.75,0.00,2,8,3,11,8.78,3.53,9.69
171,0.276138,0.692583,0.518715,0.00,0.00,0,0,43,24,inf,130,74,238,131.24,83.57,227.19,88.24,59.57,0.00,2,11,1,10,9.39,2.94,9.67
174,0.301107,0.687303,0.525392,0.00,0.00,0,0,43,24,inf,130,68,244,130.96,80.80,230.25,87.96,56.80,0.00,2,9,1,12,8.72,2.52,10.76
177,0.297331,0.661657,0.513396,0.00,0.00,0,0,43,24,inf,132,54,256,134.30,67.32,240.38,91.30,43.32,0.00,2,10,2,10,9.92,2.83,9.25
180,0.294535,0.678823,0.492189,0.00,0.00,0,0,43,24,inf,122,69,251,129.43,77.39,235.18,86.43,53.39,0.00,2,8,2,12,9.49,3.13,9.38
183,0.285559,0.665764,0.499942,0.00,0.00,0,0,43,24,inf,130,57,255,130.83,70.63,240.54,87.83,46.63,0.00,2,8,2,12,7.85,3.30,10.85
186,0.283127,0.655090,0.500632,0.00,0.00,0,0,43,24,inf,130,50,262,130.92,66.41,244.67,87.92,42.41,0.00,2,10,1,11,9.52,2.86,9.62
189,0.289176,0.687414,0.516312,0.00,0.00,0,0,43,24,inf,122,74,246,129.26,82.05,230.69,86.26,58.05,0.00,2,10,0,12,9.42,2.22,10.35
192,0.288924,0.658760,0.504333,0.00,0.00,0,0,43,24,inf,133,56,253,136.28,65.40,240.31,93.28,41.40,0.00,2,9,1,12,8.45,2.34,11.20
195,0.282359,0.680515,0.509653,0.00,0.00,0,0,43,24,inf,133,64,245,136.06,74.32,231.62,93.06,50.32,0.00,2,11,2,9,9.99,2.62,9.39
198,0.272631,0.671536,0.489163,0.00,0.00,0,0,43,24,inf,124,66,252,130.77,73.15,238.08,87.77,49.15,0.00,2,10,2,10,9.60,2.94,9.46
201,0.280254,0.656735,0.533088,0.00,0.00,0,0,43,24,inf,129,56,257,130.78,67.09,244.13,87.78,43.09,0.00,2,11,1,10,9.80,2.41,9.79
204,0.276329,0.678695,0.510856,0.00,0.00,0,0,43,24,inf,131,64,247,131.79,75.87,234.34,88.79,51.87,0.00,2,9,2,11,9.27,3.28,9.45
207,0.271415,0.654610,0.514408,0.00,0.00,0,0,43,24,inf,123,55,264,126.03,68.65,247.32,83.03,44.65,0.00,2,10,1,11,9.28,2.72,9.99
210,0.295473,0.663372,0.523179,0.00,0.00,0,0,43,24,inf,127,56,259,128.90,70.66,242.44,85.90,46.66,0.00,2,8,1,13,8.90,2.79,10.32
213,0.300352,0.706094,0.539202,0.00,0.00,0,0,43,24,inf,142,74,226,144.96,82.42,214.62,101.96,58.42,0.00,2,9,3,10,9.69,3.47,8.84
216,0.295103,0.689964,0.529319,0.00,0.00,0,0,43,24,inf,139,66,237,143.19,75.05,223.76,100.19,51.05,0.00,2,10,1,11,10.27,2.42,9.31
219,0.257405,0.660838,0.497717,0.00,0.00,0,0,43,24,inf,124,63,255,131.07,68.52,242.41,88.07,44.52,0.00,2,9,2,11,9.79,2.69,9.52
222,0.293554,0.704342,0.531699,0.00,0.00,0,0,43,24,inf,142,73,227,142.97,82.60,216.43,99.97,58.60,0.00,2,12,2,8,11.45,2.72,7.83
225,0.274979,0.685215,0.509961,0.00,0.00,0,0,43,24,inf,124,73,245,129.12,80.93,231.95,86.12,56.93,0.00,2,9,2,11,9.14,2.77,10.08
228,0.267616,0.665220,0.512519,0.00,0.00,0,0,43,24,inf,126,64,252,126.90,72.57,242.53,83.90,48.57,0.00,2,9,2,11,8.43,3.29,10.28
231,0.274714,0.687509,0.539386,0.00,0.00,0,0,43,24,inf,129,73,240,131.99,80.21,229.80,88.99,56.21,0.00,2,9,2,11,9.66,2.82,9.52
234,0.252709,0.672500,0.515831,0.00,0.00,0,0,43,24,inf,126,61,255,131.84,72.98,237.18,88.84,48.98,0.00,2,8,2,12,8.46,3.10,10.43
237,0.248794,0.659755,0.535195,0.00,0.00,0,0,43,24,inf,124,61,257,129.78,68.74,243.49,86.78,44.74,0.00,2,9,1,12,9.68,2.45,9.87
240,0.261724,0.670956,0.518207,0.00,0.00,0,0,43,24,inf,129,62,251,131.18,72.66,238.16,88.18,48.66,0.00,2,6,3,13,7.39,3.53,11.08
243,0.268987,0.666312,0.510786,0.00,0.00,0,0,43,24,inf,137,55,250,135.20,68.70,238.10,92.20,44.70,0.00,2,9,3,10,9.03,3.36,9.60
246,0.275190,0.681384,0.522870,0.00,0.00,0,0,43,24,inf,130,67,245,132.26,76.89,232.84,89.26,52.89,0.00,2,9,2,11,9.16,3.49,9.35
249,0.256277,0.658646,0.504364,0.00,0.00,0,0,43,24,inf,135,55,252,137.18,65.00,239.82,94.18,41.00,0.00,2,8,2,12,8.44,2.85,10.71
252,0.279054,0.516587,0.426416,0.02,0.02,0,0,43,24,inf,113,30,299,117.39,39.97,284.65,74.39,15.97,0.00,2,3,1,18,6.66,2.35,12.99
255,0.259417,0.525322,0.449629,0.05,0.05,0,0,43,24,inf,120,26,296,120.81,40.44,280.74,77.81,16.44,0.00,2,8,1,13,7.16,2.63,12.21
258,0.275413,0.514179,0.434805,0.08,0.08,0,0,43,24,inf,115,30,297,117.99,39.53,284.48,74.99,15.53,0.00,2,7,2,13,7.64,2.77,11.59
261,0.272903,0.499057,0.445016,0.11,0.11,0,0,43,24,inf,108,25,309,113.73,38.47,289.80,70.73,14.47,0.00,2,5,1,16,6.69,2.33,12.98
264,0.262139,0.504105,0.372460,0.14,0.14,0,0,43,24,inf,99,29,314,101.05,42.38,298.57,58.05,18.38,0.00,2,4,1,17,5.58,2.59,13.83
267,0.281785,0.591960,0.392685,0.17,0.17,0,0,43,24,inf,102,24,316,105.38,39.12,297.49,62.38,15.12,0.00,2,3,1,18,5.83,1.73,14.44
270,0.304403,0.591781,0.390348,0.20,0.20,0,0,43,24,inf,102,23,317,105.34,40.26,296.41,62.34,16.26,0.00,2,4,0,18,6.10,1.38,14.52
273,0.323389,0.471791,0.381565,0.23,0.23,0,0,43,24,inf,92,26,324,97.99,38.86,305.15,54.99,14.86,0.00,2,3,0,19,5.75,0.94,15.31
276,0.345639,0.427423,0.349294,0.26,0.26,0,0,43,24,inf,84,25,333,88.40,36.43,317.17,45.40,12.43,0.00,2,2,0,20,5.40,0.73,15.87
279,0.516869,0.168439,0.000000,0.29,0.28,0,0,43,24,inf,46,23,373,51.71,40.07,350.22,8.71,16.07,0.00,2,0,0,22,3.18,0.99,17.83
282,0.563552,0.364132,0.061615,0.32,0.31,0,0,43,24,inf,48,28,366,55.14,48.80,338.07,12.14,24.80,0.00,2,0,0,22,3.17,1.47,17.36
