Epoch,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
3,0.703056,0.701048,0.471496,0.00,0.00,0,0,43,24,inf,157,0,285,143.84,67.96,230.20,100.84,43.96,0.00,2,11,0,11,7.94,5.04,9.01
6,0.631702,0.647592,0.478601,0.00,0.00,0,0,43,24,inf,99,37,306,116.49,71.50,254.02,73.49,47.50,0.00,2,6,0,16,6.02,4.88,11.09
9,0.608743,0.664206,0.457599,0.00,0.00,0,0,43,24,inf,113,49,280,126.80,72.19,243.01,83.80,48.19,0.00,2,10,1,11,7.66,5.00,9.33
12,0.590643,0.674324,0.496812,0.00,0.00,0,0,43,24,inf,115,47,280,129.82,74.97,237.21,86.82,50.97,0.00,2,6,1,15,7.03,5.27,9.70
15,0.580085,0.674148,0.499701,0.00,0.00,0,0,43,24,inf,113,55,274,130.28,74.62,237.10,87.28,50.62,0.00,2,10,2,10,8.47,4.98,8.55
18,0.553067,0.681702,0.499667,0.00,0.00,0,0,43,24,inf,112,54,276,131.00,77.83,233.17,88.00,53.83,0.00,2,6,1,15,7.70,4.54,9.76
21,0.554656,0.680604,0.510855,0.00,0.00,0,0,43,24,inf,117,58,267,137.73,73.49,230.78,94.73,49.49,0.00,2,8,3,11,8.17,4.80,9.04
24,0.535622,0.663621,0.506719,0.00,0.00,0,0,43,24,inf,110,57,275,130.32,70.01,241.67,87.32,46.01,0.00,2,6,3,13,6.90,4.49,10.62
27,0.532232,0.697763,0.535872,0.00,0.00,0,0,43,24,inf,107,72,263,135.69,83.46,222.85,92.69,59.46,0.00,2,6,1,15,7.90,4.02,10.08
30,0.507755,0.690472,0.532470,0.00,0.00,0,0,43,24,inf,109,74,259,133.04,81.12,227.84,90.04,57.12,0.00,2,5,2,15,7.92,4.26,9.82
33,0.510664,0.692445,0.544490,0.00,0.00,0,0,43,24,inf,116,65,261,136.10,80.23,225.68,93.10,56.23,0.00,2,8,1,13,8.71,3.65,9.63
36,0.486849,0.674488,0.518116,0.00,0.00,0,0,43,24,inf,104,72,266,125.06,78.13,238.81,82.06,54.13,0.00,2,6,1,15,6.73,4.18,11.09
39,0.513262,0.666962,0.512253,0.00,0.00,0,0,43,24,inf,115,57,270,130.81,71.14,240.05,87.81,47.14,0.00,2,12,1,9,10.79,3.52,7.69
42,0.476764,0.651518,0.508200,0.00,0.00,0,0,43,24,inf,120,48,274,129.48,65.78,246.74,86.48,41.78,0.00,2,10,1,11,8.35,3.06,10.59
45,0.466559,0.680441,0.533487,0.00,0.00,0,0,43,24,inf,115,65,262,129.37,78.24,234.39,86.37,54.24,0.00,2,9,1,12,9.13,3.44,9.44
48,0.481638,0.680492,0.530420,0.00,0.00,0,0,43,24,inf,116,60,266,130.45,77.57,233.98,87.45,53.57,0.00,2,8,2,12,7.48,4.10,10.43
51,0.459457,0.684601,0.504989,0.00,0.00,0,0,43,24,inf,125,65,252,137.49,75.46,229.05,94.49,51.46,0.00,2,12,1,9,9.78,3.47,8.75
54,0.455962,0.661857,0.522936,0.00,0.00,0,0,43,24,inf,124,54,264,137.33,66.08,238.58,94.33,42.08,0.00,2,12,1,9,9.60,3.34,9.06
57,0.432709,0.687494,0.537549,0.00,0.00,0,0,43,24,inf,122,66,254,134.12,78.84,229.04,91.12,54.84,0.00,2,10,1,11,9.57,2.96,9.47
60,0.439410,0.684089,0.527899,0.00,0.00,0,0,43,24,inf,120,73,249,129.77,79.87,232.35,86.77,55.87,0.00,2,10,1,11,8.35,3.85,9.81
63,0.432335,0.680176,0.539764,0.00,0.00,0,0,43,24,inf,121,62,259,133.69,75.47,232.84,90.69,51.47,0.00,2,11,1,10,10.70,3.13,8.17
66,0.422290,0.687101,0.527133,0.00,0.00,0,0,43,24,inf,123,65,254,137.13,76.87,228.00,94.13,52.87,0.00,2,9,2,11,9.76,3.39,8.85
69,0.418382,0.672376,0.501177,0.00,0.00,0,0,43,24,inf,106,79,257,122.38,78.98,240.64,79.38,54.98,0.00,2,7,2,13,8.38,3.69,9.93
72,0.424924,0.678072,0.523387,0.00,0.00,0,0,43,24,inf,111,66,265,126.32,79.09,236.59,83.32,55.09,0.00,2,8,1,13,7.99,3.57,10.44
75,0.392808,0.680956,0.532901,0.00,0.00,0,0,43,24,inf,129,61,252,144.34,70.55,227.11,101.34,46.55,0.00,2,9,2,11,9.04,3.76,9.20
78,0.386054,0.676255,0.499446,0.00,0.00,0,0,43,24,inf,104,82,256,117.79,84.98,239.23,74.79,60.98,0.00,2,4,2,16,5.00,5.21,11.79
81,0.370198,0.664819,0.506052,0.00,0.00,0,0,43,24,inf,116,65,261,131.47,69.91,240.62,88.47,45.91,0.00,2,10,1,11,10.50,2.37,9.13
84,0.388744,0.676903,0.510938,0.00,0.00,0,0,43,24,inf,118,69,255,132.20,74.78,235.02,89.20,50.78,0.00,2,10,1,11,9.24,2.65,10.11
87,0.364651,0.685013,0.498434,0.00,0.00,0,0,43,24,inf,108,76,258,123.94,84.79,233.26,80.94,60.79,0.00,2,5,2,15,7.17,3.78,11.05
90,0.352547,0.664720,0.465961,0.00,0.00,0,0,43,24,inf,117,69,256,125.18,73.38,243.44,82.18,49.38,0.00,2,6,2,14,7.20,3.09,11.71
93,0.366042,0.672647,0.517479,0.00,0.00,0,0,43,24,inf,121,61,260,130.72,73.67,237.61,87.72,49.67,0.00,2,8,2,12,8.94,3.18,9.88
96,0.359204,0.659025,0.497356,0.00,0.00,0,0,43,24,inf,122,63,257,131.64,67.55,242.81,88.64,43.55,0.00,2,8,1,13,8.91,2.16,10.93
99,0.358925,0.681499,0.505702,0.00,0.00,0,0,43,24,inf,124,68,250,132.76,76.65,232.59,89.76,52.65,0.00,2,10,1,11,9.80,2.82,9.39
102,0.335305,0.671380,0.504367,0.00,0.00,0,0,43,24,inf,110,69,263,120.37,80.00,241.63,77.37,56.00,0.00,2,7,1,14,7.13,3.34,11.53
105,0.347537,0.685156,0.533403,0.00,0.00,0,0,43,24,inf,114,74,254,125.41,83.68,232.91,82.41,59.68,0.00,2,10,2,10,9.86,3.27,8.86
108,0.344658,0.681193,0.516803,0.00,0.00,0,0,43,24,inf,122,68,252,131.23,77.43,233.34,88.23,53.43,0.00,2,8,2,12,9.39,3.02,9.59
111,0.310274,0.663937,0.502211,0.00,0.00,0,0,43,24,inf,116,65,261,129.14,70.76,242.10,86.14,46.76,0.00,2,7,2,13,8.29,3.29,10.42
114,0.335247,0.681154,0.509741,0.00,0.00,0,0,43,24,inf,118,66,258,128.85,78.96,234.20,85.85,54.96,0.00,2,8,2,12,9.24,3.22,9.54
117,0.314460,0.672915,0.513472,0.00,0.00,0,0,43,24,inf,123,63,256,126.73,76.22,239.05,83.73,52.22,0.00,2,6,2,14,7.57,3.02,11.41
120,0.304849,0.670753,0.522611,0.00,0.00,0,0,43,24,inf,118,64,260,127.05,74.99,239.96,84.05,50.99,0.00,2,8,1,13,9.16,2.28,10.56
123,0.326570,0.690432,0.546853,0.00,0.00,0,0,43,24,inf,120,76,246,129.45,83.64,228.92,86.45,59.64,0.00,2,8,1,13,8.71,3.04,10.25
126,0.290986,0.682940,0.509963,0.00,0.00,0,0,43,24,inf,126,72,244,134.02,76.61,231.37,91.02,52.61,0.00,2,9,2,11,9.26,3.15,9.59
129,0.300021,0.662807,0.498549,0.00,0.00,0,0,43,24,inf,123,65,254,129.76,69.97,242.27,86.76,45.97,0.00,2,9,2,11,9.60,2.71,9.69
132,0.288834,0.679353,0.504848,0.00,0.00,0,0,43,24,inf,124,70,248,130.54,76.95,234.51,87.54,52.95,0.00,2,8,2,12,8.09,3.20,10.71
135,0.286659,0.664340,0.502709,0.00,0.00,0,0,43,24,inf,120,71,251,122.48,74.94,244.58,79.48,50.94,0.00,2,8,2,12,8.33,3.35,10.32
138,0.295982,0.684930,0.531027,0.00,0.00,0,0,43,24,inf,128,75,239,131.14,79.41,231.45,88.14,55.41,0.00,2,8,2,12,9.03,3.36,9.61
141,0.292082,0.690494,0.540616,0.00,0.00,0,0,43,24,inf,121,75,246,133.72,80.69,227.59,90.72,56.69,0.00,2,8,2,12,9.50,2.15,10.35
144,0.281390,0.673891,0.515818,0.00,0.00,0,0,43,24,inf,125,70,247,130.21,74.54,237.25,87.21,50.54,0.00,2,10,2,10,9.67,3.33,9.00
147,0.275496,0.659066,0.497822,0.00,0.00,0,0,43,24,inf,123,60,259,126.81,70.02,245.17,83.81,46.02,0.00,2,8,2,12,7.68,2.81,11.52
150,0.263650,0.663480,0.502169,0.00,0.00,0,0,43,24,inf,117,65,260,127.12,71.69,243.19,84.12,47.69,0.00,2,7,2,13,7.78,2.58,11.64
153,0.261581,0.671274,0.516662,0.00,0.00,0,0,43,24,inf,127,64,251,132.73,71.97,237.30,89.73,47.97,0.00,2,9,1,12,9.04,2.30,10.66
156,0.263729,0.662866,0.501007,0.00,0.00,0,0,43,24,inf,123,64,255,128.20,70.82,242.97,85.20,46.82,0.00,2,7,1,14,7.25,2.66,12.08
159,0.247892,0.678122,0.521771,0.00,0.00,0,0,43,24,inf,125,71,246,131.68,75.66,234.66,88.68,51.66,0.00,2,7,3,12,7.84,4.00,10.16
162,0.263073,0.649691,0.477521,0.00,0.00,0,0,43,24,inf,118,60,264,125.48,67.05,249.47,82.48,43.05,0.00,2,5,1,16,6.21,2.69,13.10
165,0.272109,0.685145,0.520951,0.00,0.00,0,0,43,24,inf,112,81,249,122.39,86.21,233.40,79.39,62.21,0.00,2,7,3,12,8.78,3.26,9.96
168,0.276119,0.661192,0.490911,0.00,0.00,0,0,43,24,inf,121,64,257,125.05,71.91,245.04,82.05,47.91,0.00,2,7,2,13,7.95,3.04,11.01
171,0.246070,0.667647,0.490901,0.00,0.00,0,0,43,24,inf,119,71,252,121.03,77.56,243.41,78.03,53.56,0.00,2,8,1,13,9.12,2.11,10.77
174,0.266667,0.664119,0.511745,0.00,0.00,0,0,43,24,inf,131,59,252,134.03,68.39,239.58,91.03,44.39,0.00,2,9,2,11,9.64,2.51,9.85
