Epoch,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
3,0.634740,0.698323,0.497213,0.00,0.00,0,0,43,24,inf,134,38,270,142.14,79.78,220.08,99.14,55.78,0.00,2,9,0,13,8.25,4.21,9.54
6,0.600502,0.690735,0.534321,0.00,0.00,0,0,43,24,inf,111,63,268,131.54,82.30,228.17,88.54,58.30,0.00,2,11,0,11,9.33,3.34,9.32
9,0.584915,0.697333,0.531002,0.00,0.00,0,0,43,24,inf,123,58,261,136.48,82.68,222.84,93.48,58.68,0.00,2,13,1,8,9.14,3.41,9.45
12,0.538960,0.684683,0.497024,0.00,0.00,0,0,43,24,inf,127,53,262,134.68,77.08,230.24,91.68,53.08,0.00,2,14,1,7,9.95,3.79,8.27
15,0.522591,0.688089,0.510244,0.00,0.00,0,0,43,24,inf,123,58,261,133.90,79.29,228.81,90.90,55.29,0.00,2,8,0,14,7.17,3.77,11.06
18,0.527108,0.694192,0.531345,0.00,0.00,0,0,43,24,inf,120,62,260,134.61,82.14,225.25,91.61,58.14,0.00,2,8,2,12,8.70,3.99,9.30
21,0.513070,0.696848,0.541693,0.00,0.00,0,0,43,24,inf,122,65,255,141.06,79.61,221.33,98.06,55.61,0.00,2,7,1,14,9.58,2.80,9.62
24,0.498054,0.683789,0.515913,0.00,0.00,0,0,43,24,inf,115,65,262,131.18,78.78,232.03,88.18,54.78,0.00,2,7,1,14,8.57,3.43,10.01
27,0.490000,0.684010,0.533030,0.00,0.00,0,0,43,24,inf,130,59,253,140.23,73.77,228.00,97.23,49.77,0.00,2,14,1,7,10.37,2.87,8.76
30,0.460056,0.686891,0.511609,0.00,0.00,0,0,43,24,inf,123,58,261,136.46,77.14,228.39,93.46,53.14,0.00,2,6,1,15,7.80,3.49,10.71
33,0.457612,0.691496,0.499897,0.00,0.00,0,0,43,24,inf,128,68,246,135.91,79.84,226.26,92.91,55.84,0.00,2,12,1,9,9.86,3.37,8.78
36,0.443181,0.680159,0.496403,0.00,0.00,0,0,43,24,inf,111,76,255,125.15,81.05,235.79,82.15,57.05,0.00,2,6,1,15,6.15,3.66,12.19
39,0.430516,0.668610,0.491421,0.00,0.00,0,0,43,24,inf,117,61,264,128.26,73.28,240.46,85.26,49.28,0.00,2,8,1,13,7.79,2.80,11.42
42,0.419810,0.669102,0.472990,0.00,0.00,0,0,43,24,inf,118,61,263,129.75,72.64,239.61,86.75,48.64,0.00,2,5,1,16,6.43,3.44,12.13
45,0.435392,0.679876,0.494229,0.00,0.00,0,0,43,24,inf,123,60,259,131.28,76.75,233.97,88.28,52.75,0.00,2,13,1,8,8.90,3.33,9.78
48,0.391028,0.681065,0.533713,0.00,0.00,0,0,43,24,inf,125,64,253,137.78,73.67,230.55,94.78,49.67,0.00,2,7,2,13,7.45,4.15,10.40
51,0.421738,0.663214,0.500080,0.00,0.00,0,0,43,24,inf,127,51,264,134.06,68.02,239.91,91.06,44.02,0.00,2,9,1,12,8.71,3.21,10.07
54,0.402833,0.664883,0.518542,0.00,0.00,0,0,43,24,inf,112,67,263,122.23,75.37,244.40,79.23,51.37,0.00,2,7,1,14,7.71,3.26,11.03
57,0.379915,0.673769,0.495460,0.00,0.00,0,0,43,24,inf,120,64,258,133.08,72.87,236.05,90.08,48.87,0.00,2,9,1,12,8.29,4.11,9.61
60,0.387925,0.682082,0.530139,0.00,0.00,0,0,43,24,inf,120,68,254,129.64,78.91,233.45,86.64,54.91,0.00,2,9,2,11,9.56,3.16,9.27
63,0.355401,0.692901,0.533225,0.00,0.00,0,0,43,24,inf,129,70,243,134.26,81.65,226.08,91.26,57.65,0.00,2,12,3,7,10.31,3.45,8.24
66,0.373983,0.682364,0.501013,0.00,0.00,0,0,43,24,inf,128,64,250,135.05,75.74,231.21,92.05,51.74,0.00,2,12,1,9,10.06,2.89,9.05
69,0.352621,0.660926,0.512152,0.00,0.00,0,0,43,24,inf,112,56,274,125.39,71.59,245.01,82.39,47.59,0.00,2,3,1,18,6.76,3.49,11.75
72,0.353296,0.666110,0.525912,0.00,0.00,0,0,43,24,inf,120,59,263,130.33,71.04,240.63,87.33,47.04,0.00,2,6,1,15,6.98,3.77,11.26
75,0.324109,0.675540,0.517547,0.00,0.00,0,0,43,24,inf,121,72,249,129.07,76.01,236.93,86.07,52.01,0.00,2,9,1,12,8.46,3.07,10.47
78,0.327636,0.671781,0.521819,0.00,0.00,0,0,43,24,inf,106,77,259,115.53,84.44,242.03,72.53,60.44,0.00,2,5,1,16,7.30,2.92,11.78
81,0.347082,0.663469,0.518919,0.00,0.00,0,0,43,24,inf,125,54,263,131.52,69.34,241.14,88.52,45.34,0.00,2,8,1,13,7.84,2.88,11.28
84,0.321322,0.665437,0.495409,0.00,0.00,0,0,43,24,inf,113,70,259,120.71,76.70,244.59,77.71,52.70,0.00,2,13,1,8,10.33,2.94,8.73
87,0.298054,0.675314,0.531645,0.00,0.00,0,0,43,24,inf,122,69,251,126.20,77.76,238.04,83.20,53.76,0.00,2,8,1,13,7.80,3.18,11.02
90,0.315066,0.655470,0.522021,0.00,0.00,0,0,43,24,inf,130,53,259,135.72,64.48,241.81,92.72,40.48,0.00,2,12,1,9,10.20,2.09,9.70
93,0.312252,0.674762,0.531436,0.00,0.00,0,0,43,24,inf,130,65,247,137.14,71.23,233.63,94.14,47.23,0.00,2,11,1,10,9.51,2.65,9.84
96,0.309688,0.670012,0.513403,0.00,0.00,0,0,43,24,inf,129,63,250,131.58,72.04,238.39,88.58,48.04,0.00,2,11,1,10,9.86,2.56,9.58
99,0.299899,0.665518,0.526732,0.00,0.00,0,0,43,24,inf,123,66,253,126.31,73.05,242.64,83.31,49.05,0.00,2,8,2,12,7.99,3.40,10.61
102,0.296870,0.665336,0.505430,0.00,0.00,0,0,43,24,inf,117,63,262,122.91,75.12,243.97,79.91,51.12,0.00,2,7,1,14,8.24,2.83,10.93
105,0.279199,0.682692,0.510970,0.00,0.00,0,0,43,24,inf,123,72,247,128.06,80.31,233.63,85.06,56.31,0.00,2,9,1,12,8.61,2.98,10.42
108,0.261572,0.670976,0.528855,0.00,0.00,0,0,43,24,inf,122,71,249,127.05,75.10,239.86,84.05,51.10,0.00,2,9,2,11,8.93,3.68,9.39
111,0.271788,0.632819,0.475286,0.00,0.00,0,0,43,24,inf,113,57,272,120.32,63.66,258.02,77.32,39.66,0.00,2,8,1,13,7.97,3.01,11.02
114,0.256799,0.677209,0.488607,0.00,0.00,0,0,43,24,inf,124,66,252,129.53,76.53,235.94,86.53,52.53,0.00,2,7,1,14,8.16,2.81,11.03
117,0.249793,0.677309,0.508710,0.00,0.00,0,0,43,24,inf,117,76,249,119.28,84.25,238.48,76.28,60.25,0.00,2,7,2,13,7.57,3.76,10.67
120,0.244360,0.655560,0.475646,0.00,0.00,0,0,43,24,inf,124,58,260,127.13,68.45,246.43,84.13,44.45,0.00,2,8,2,12,8.27,3.27,10.46
123,0.247745,0.660311,0.524282,0.00,0.00,0,0,43,24,inf,128,59,255,131.06,68.32,242.62,88.06,44.32,0.00,2,8,2,12,8.99,2.85,10.16
126,0.266910,0.643806,0.464731,0.00,0.00,0,0,43,24,inf,116,60,266,117.68,69.17,255.15,74.68,45.17,0.00,2,9,2,11,8.68,2.88,10.44
129,0.226802,0.667305,0.479910,0.00,0.00,0,0,43,24,inf,116,72,254,122.85,76.10,243.05,79.85,52.10,0.00,2,9,2,11,9.71,2.83,9.45
132,0.242332,0.674283,0.506342,0.00,0.00,0,0,43,24,inf,130,65,247,133.40,72.93,235.67,90.40,48.93,0.00,2,12,1,9,10.05,2.83,9.12
135,0.245966,0.659757,0.496869,0.00,0.00,0,0,43,24,inf,117,68,257,122.03,73.14,246.82,79.03,49.14,0.00,2,10,1,11,8.91,2.84,10.25
138,0.229031,0.676121,0.520124,0.00,0.00,0,0,43,24,inf,134,67,241,137.65,71.56,232.79,94.65,47.56,0.00,2,12,2,8,11.56,2.34,8.10
141,0.254370,0.649518,0.490962,0.00,0.00,0,0,43,24,inf,117,65,260,122.22,68.74,251.04,79.22,44.74,0.00,2,9,0,13,9.18,1.54,11.29
144,0.214108,0.679238,0.526098,0.00,0.00,0,0,43,24,inf,119,76,247,123.26,82.00,236.74,80.26,58.00,0.00,2,9,0,13,9.09,2.90,10.01
147,0.242997,0.646944,0.500952,0.00,0.00,0,0,43,24,inf,122,58,262,124.71,66.43,250.87,81.71,42.43,0.00,2,13,0,9,10.81,1.93,9.25
150,0.215828,0.686279,0.525224,0.00,0.00,0,0,43,24,inf,124,76,242,125.87,83.97,232.16,82.87,59.97,0.00,2,11,1,10,10.04,2.61,9.35
153,0.211116,0.676831,0.506892,0.00,0.00,0,0,43,24,inf,118,77,247,123.95,80.15,237.90,80.95,56.15,0.00,2,9,2,11,9.50,3.08,9.42
156,0.208029,0.648093,0.470200,0.00,0.00,0,0,43,24,inf,123,58,261,123.99,67.23,250.79,80.99,43.23,0.00,2,9,3,10,9.59,2.77,9.64
159,0.208653,0.671372,0.510323,0.00,0.00,0,0,43,24,inf,128,68,246,130.22,73.38,238.40,87.22,49.38,0.00,2,11,3,8,10.07,2.69,9.24
162,0.208563,0.657654,0.499963,0.00,0.00,0,0,43,24,inf,114,68,260,119.65,73.77,248.57,76.65,49.77,0.00,2,7,2,13,7.46,2.77,11.77
165,0.202471,0.661665,0.493636,0.00,0.00,0,0,43,24,inf,127,64,251,129.54,69.62,242.84,86.54,45.62,0.00,2,8,3,11,8.82,2.57,10.61
168,0.207105,0.640201,0.476263,0.00,0.00,0,0,43,24,inf,116,59,267,117.48,67.88,256.64,74.48,43.88,0.00,2,7,1,14,7.28,2.63,12.09
171,0.212801,0.654937,0.487075,0.00,0.00,0,0,43,24,inf,117,64,261,120.16,72.23,249.61,77.16,48.23,0.00,2,8,1,13,8.69,2.71,10.61
174,0.205325,0.661662,0.500157,0.00,0.00,0,0,43,24,inf,120,68,254,122.08,73.97,245.95,79.08,49.97,0.00,2,9,2,11,9.36,3.03,9.61
177,0.186743,0.663031,0.518816,0.00,0.00,0,0,43,24,inf,125,66,251,127.11,71.50,243.39,84.11,47.50,0.00,2,11,1,10,10.60,1.96,9.44
180,0.184950,0.663231,0.506498,0.00,0.00,0,0,43,24,inf,118,71,253,123.17,73.97,244.85,80.17,49.97,0.00,2,8,1,13,8.79,2.44,10.77
183,0.193436,0.659848,0.505454,0.00,0.00,0,0,43,24,inf,124,61,257,126.26,70.64,245.10,83.26,46.64,0.00,2,8,1,13,8.33,2.52,11.15
186,0.199532,0.664378,0.491238,0.00,0.00,0,0,43,24,inf,121,65,256,125.05,73.31,243.64,82.05,49.31,0.00,2,6,2,14,7.44,4.00,10.55
189,0.184649,0.645022,0.500041,0.00,0.00,0,0,43,24,inf,125,56,261,125.23,65.47,251.30,82.23,41.47,0.00,2,10,1,11,9.58,2.33,10.09
192,0.181353,0.661860,0.513093,0.00,0.00,0,0,43,24,inf,121,67,254,119.90,75.56,246.54,76.90,51.56,0.00,2,11,2,9,10.04,2.67,9.29
195,0.164634,0.645334,0.483472,0.00,0.00,0,0,43,24,inf,116,65,261,119.95,68.40,253.64,76.95,44.40,0.00,2,9,2,11,9.51,3.10,9.39
198,0.173293,0.670793,0.520650,0.00,0.00,0,0,43,24,inf,130,66,246,130.25,73.11,238.64,87.25,49.11,0.00,2,11,1,10,9.36,2.28,10.36
201,0.183551,0.665828,0.496483,0.00,0.00,0,0,43,24,inf,119,68,255,121.70,76.19,244.11,78.70,52.19,0.00,2,7,2,13,8.52,2.99,10.49
204,0.180371,0.669400,0.495673,0.00,0.00,0,0,43,24,inf,119,71,252,121.94,77.78,242.28,78.94,53.78,0.00,2,6,3,13,6.81,3.27,11.91
207,0.151592,0.658333,0.515384,0.00,0.00,0,0,43,24,inf,123,63,256,124.08,71.26,246.66,81.08,47.26,0.00,2,8,3,11,8.43,3.39,10.17
210,0.170218,0.665607,0.508448,0.00,0.00,0,0,43,24,inf,113,75,254,117.27,79.44,245.29,74.27,55.44,0.00,2,7,2,13,7.02,3.41,11.57
213,0.173670,0.637677,0.490969,0.00,0.00,0,0,43,24,inf,125,61,256,125.88,62.65,253.46,82.88,38.65,0.00,2,9,2,11,9.51,2.29,10.20
216,0.173185,0.666331,0.498819,0.00,0.00,0,0,43,24,inf,117,74,251,119.76,77.85,244.39,76.76,53.85,0.00,2,8,3,11,8.44,3.01,10.55
219,0.171639,0.658798,0.491006,0.00,0.00,0,0,43,24,inf,118,72,252,117.72,75.68,248.60,74.72,51.68,0.00,2,8,2,12,7.74,2.84,11.42
222,0.173033,0.671724,0.470698,0.00,0.00,0,0,43,24,inf,120,75,247,125.16,76.68,240.16,82.16,52.68,0.00,2,7,2,13,7.73,2.79,11.48
225,0.184823,0.673990,0.490580,0.00,0.00,0,0,43,24,inf,123,69,250,125.57,77.52,238.91,82.57,53.52,0.00,2,8,1,13,9.41,1.70,10.88
228,0.172390,0.659529,0.478261,0.00,0.00,0,0,43,24,inf,120,72,250,121.43,73.43,247.14,78.43,49.43,0.00,2,8,3,11,8.50,2.83,10.67
231,0.175744,0.665450,0.473590,0.00,0.00,0,0,43,24,inf,122,70,250,123.76,74.61,243.63,80.76,50.61,0.00,2,7,3,12,7.29,2.86,11.85
234,0.149265,0.670364,0.498737,0.00,0.00,0,0,43,24,inf,122,75,245,126.94,74.88,240.19,83.94,50.88,0.00,2,7,3,12,8.40,3.15,10.46
237,0.156079,0.648991,0.464161,0.00,0.00,0,0,43,24,inf,115,69,258,122.90,68.15,250.94,79.90,44.15,0.00,2,7,3,12,8.74,2.71,10.55
240,0.147238,0.660261,0.501989,0.00,0.00,0,0,43,24,inf,118,73,251,119.37,75.18,247.46,76.37,51.18,0.00,2,8,3,11,8.14,2.74,11.12
243,0.142966,0.660321,0.493406,0.00,0.00,0,0,43,24,inf,113,76,253,119.05,75.43,247.52,76.05,51.43,0.00,2,7,3,12,7.00,3.41,11.60
246,0.157156,0.654953,0.457772,0.00,0.00,0,0,43,24,inf,113,71,258,118.41,73.41,250.18,75.41,49.41,0.00,2,8,3,11,9.12,2.31,10.57
249,0.143969,0.641845,0.484354,0.00,0.00,0,0,43,24,inf,115,61,266,117.02,68.80,256.18,74.02,44.80,0.00,2,7,3,12,8.01,3.25,10.74
252,0.173245,0.547903,0.483806,0.02,0.02,0,0,43,24,inf,123,38,281,123.66,43.13,275.21,80.66,19.13,0.00,2,8,2,12,8.94,2.11,10.94
255,0.152232,0.463110,0.439358,0.05,0.05,0,0,43,24,inf,119,29,294,120.36,33.50,288.15,77.36,9.50,0.00,2,10,1,11,9.11,0.98,11.91
258,0.161333,0.626927,0.434755,0.08,0.08,0,0,43,24,inf,111,23,308,115.26,27.76,298.98,72.26,3.76,0.00,2,4,1,17,5.31,1.58,15.10
261,0.173266,0.460145,0.372807,0.11,0.11,0,0,43,24,inf,102,26,314,103.63,36.10,302.26,60.63,12.10,0.00,2,2,1,19,4.79,1.66,15.56
264,0.164311,0.403776,0.361456,0.14,0.14,0,0,43,24,inf,100,25,317,102.22,31.10,308.68,59.22,7.10,0.00,2,3,0,19,4.45,1.08,16.46
267,0.178092,0.577776,0.335052,0.17,0.17,0,0,43,24,inf,101,22,319,101.84,31.39,308.77,58.84,7.39,0.00,2,3,0,19,4.28,0.70,17.03
270,0.178995,0.433643,0.369462,0.20,0.20,0,0,43,24,inf,95,26,321,96.91,34.83,310.26,53.91,10.83,0.00,2,3,0,19,3.83,1.12,17.05
273,0.202314,0.459960,0.398190,0.23,0.23,0,0,43,24,inf,91,28,323,94.16,38.50,309.34,51.16,14.50,0.00,2,3,0,19,4.68,0.64,16.69
276,0.198542,0.538037,0.359250,0.26,0.26,0,0,43,24,inf,92,21,329,93.08,29.84,319.08,50.08,5.84,0.00,2,3,0,19,3.06,0.49,18.45
279,0.246440,0.370707,0.394710,0.29,0.29,0,0,43,24,inf,78,26,338,81.75,32.76,327.49,38.75,8.76,0.00,2,0,1,21,0.99,1.47,19.54
