Course_ID,Class,Constraint,Predicted,Overprediction,Status
1,Dropout,Unlimited,0,0,N/A
1,Enrolled,Unlimited,1,0,N/A
1,Graduate,Unlimited,0,0,N/A
2,Dropout,4.0,0,0,OK
2,Enrolled,2.0,0,0,OK
2,Graduate,Unlimited,22,0,N/A
3,Dropout,4.0,1,0,OK
3,Enrolled,1.0,0,0,OK
3,Graduate,Unlimited,21,0,N/A
4,Dropout,4.0,3,0,OK
4,Enrolled,2.0,1,0,OK
4,Graduate,Unlimited,9,0,N/A
5,Dropout,3.0,0,0,OK
5,Enrolled,2.0,1,0,OK
5,Graduate,Unlimited,20,0,N/A
6,Dropout,4.0,1,0,OK
6,Enrolled,4.0,4,0,OK
6,Graduate,Unlimited,38,0,N/A
7,Dropout,5.0,3,0,OK
7,Enrolled,3.0,1,0,OK
7,Graduate,Unlimited,3,0,N/A
8,Dropout,4.0,1,0,OK
8,Enrolled,1.0,1,0,OK
8,Graduate,Unlimited,8,0,N/A
9,Dropout,7.0,3,0,OK
9,Enrolled,5.0,3,0,OK
9,Graduate,Unlimited,24,0,N/A
10,Dropout,3.0,1,0,OK
10,Enrolled,2.0,1,0,OK
10,Graduate,Unlimited,43,0,N/A
11,Dropout,5.0,3,0,OK
11,Enrolled,2.0,0,0,OK
11,Graduate,Unlimited,25,0,N/A
12,Dropout,6.0,1,0,OK
12,Enrolled,5.0,1,0,OK
12,Graduate,Unlimited,79,0,N/A
13,Dropout,2.0,1,0,OK
13,Enrolled,1.0,1,0,OK
13,Graduate,Unlimited,10,0,N/A
14,Dropout,5.0,0,0,OK
14,Enrolled,2.0,0,0,OK
14,Graduate,Unlimited,16,0,N/A
15,Dropout,5.0,2,0,OK
15,Enrolled,2.0,0,0,OK
15,Graduate,Unlimited,32,0,N/A
16,Dropout,4.0,4,0,OK
16,Enrolled,2.0,0,0,OK
16,Graduate,Unlimited,19,0,N/A
17,Dropout,7.0,3,0,OK
17,Enrolled,3.0,1,0,OK
17,Graduate,Unlimited,30,0,N/A
