Epoch,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
3,0.649994,0.710203,0.514980,0.00,0.00,0,0,43,24,inf,142,40,260,143.10,85.99,212.91,100.10,61.99,0.00,2,12,0,10,8.39,4.77,8.84
6,0.590786,0.690211,0.518734,0.00,0.00,0,0,43,24,inf,111,54,277,131.57,81.98,228.45,88.57,57.98,0.00,2,8,0,14,7.83,4.28,9.89
9,0.567947,0.712890,0.551407,0.00,0.00,0,0,43,24,inf,128,71,243,147.49,84.90,209.61,104.49,60.90,0.00,2,13,1,8,9.62,3.45,8.93
12,0.549258,0.692793,0.523854,0.00,0.00,0,0,43,24,inf,112,66,264,129.45,85.03,227.52,86.45,61.03,0.00,2,7,1,14,7.68,4.06,10.26
15,0.534493,0.702353,0.534656,0.00,0.00,0,0,43,24,inf,129,58,255,139.41,83.66,218.92,96.41,59.66,0.00,2,14,1,7,10.13,3.17,8.70
18,0.518543,0.681653,0.508731,0.00,0.00,0,0,43,24,inf,126,53,263,134.13,75.92,231.95,91.13,51.92,0.00,2,12,1,9,9.19,2.72,10.09
21,0.499149,0.690835,0.544342,0.00,0.00,0,0,43,24,inf,116,62,264,131.54,82.35,228.11,88.54,58.35,0.00,2,11,1,10,8.55,3.44,10.01
24,0.488755,0.702984,0.548972,0.00,0.00,0,0,43,24,inf,115,85,242,134.63,87.39,219.98,91.63,63.39,0.00,2,12,1,9,8.61,3.14,10.26
27,0.479578,0.692985,0.528059,0.00,0.00,0,0,43,24,inf,116,71,255,134.37,81.63,226.00,91.37,57.63,0.00,2,7,2,13,8.31,3.27,10.42
30,0.464742,0.686559,0.519140,0.00,0.00,0,0,43,24,inf,114,67,261,132.83,79.17,230.00,89.83,55.17,0.00,2,7,1,14,8.09,3.30,10.61
33,0.464722,0.685342,0.510737,0.00,0.00,0,0,43,24,inf,123,60,259,135.60,76.87,229.53,92.60,52.87,0.00,2,6,1,15,7.98,2.80,11.23
36,0.458191,0.663832,0.509884,0.00,0.00,0,0,43,24,inf,113,58,271,123.44,74.08,244.48,80.44,50.08,0.00,2,7,1,14,7.93,2.46,11.61
39,0.445936,0.649242,0.501082,0.00,0.00,0,0,43,24,inf,114,50,278,126.44,66.40,249.16,83.44,42.40,0.00,2,6,1,15,8.12,2.83,11.05
42,0.436128,0.680327,0.539968,0.00,0.00,0,0,43,24,inf,114,57,271,131.09,77.09,233.82,88.09,53.09,0.00,2,9,1,12,9.51,2.95,9.54
45,0.427824,0.671298,0.540621,0.00,0.00,0,0,43,24,inf,102,68,272,119.61,80.56,241.83,76.61,56.56,0.00,2,6,1,15,6.86,2.89,12.26
48,0.406924,0.683597,0.520655,0.00,0.00,0,0,43,24,inf,102,80,260,120.65,86.83,234.52,77.65,62.83,0.00,2,6,2,14,7.59,3.74,10.67
51,0.401281,0.656098,0.507452,0.00,0.00,0,0,43,24,inf,116,50,276,124.16,70.28,247.56,81.16,46.28,0.00,2,8,1,13,8.43,2.77,10.80
54,0.394583,0.674220,0.508195,0.00,0.00,0,0,43,24,inf,101,75,266,115.95,85.50,240.55,72.95,61.50,0.00,2,4,1,17,5.84,3.33,12.83
57,0.377678,0.676540,0.533800,0.00,0.00,0,0,43,24,inf,130,53,259,141.47,69.98,230.55,98.47,45.98,0.00,2,9,1,12,9.27,3.18,9.56
60,0.372804,0.659825,0.503457,0.00,0.00,0,0,43,24,inf,103,67,272,113.82,79.32,248.86,70.82,55.32,0.00,2,7,1,14,7.96,3.38,10.66
63,0.363917,0.671855,0.510249,0.00,0.00,0,0,43,24,inf,116,62,264,127.41,75.28,239.31,84.41,51.28,0.00,2,10,1,11,9.01,3.35,9.64
66,0.358662,0.682121,0.532149,0.00,0.00,0,0,43,24,inf,118,68,256,126.72,80.96,234.31,83.72,56.96,0.00,2,7,1,14,8.06,3.29,10.65
69,0.346115,0.679929,0.541521,0.00,0.00,0,0,43,24,inf,121,68,253,135.03,74.60,232.36,92.03,50.60,0.00,2,10,1,11,9.92,2.58,9.50
72,0.346186,0.651308,0.521014,0.00,0.00,0,0,43,24,inf,113,55,274,127.00,66.89,248.11,84.00,42.89,0.00,2,7,1,14,8.93,2.98,10.09
75,0.340627,0.680657,0.554934,0.00,0.00,0,0,43,24,inf,125,59,258,136.84,73.97,231.19,93.84,49.97,0.00,2,12,1,9,10.47,2.65,8.88
78,0.321806,0.657011,0.508925,0.00,0.00,0,0,43,24,inf,107,61,274,119.29,73.73,248.98,76.29,49.73,0.00,2,7,1,14,7.83,3.18,10.99
81,0.317084,0.682264,0.509496,0.00,0.00,0,0,43,24,inf,116,70,256,124.63,82.63,234.74,81.63,58.63,0.00,2,6,1,15,7.93,3.93,10.14
84,0.333122,0.673692,0.513836,0.00,0.00,0,0,43,24,inf,112,68,262,121.49,80.36,240.16,78.49,56.36,0.00,2,6,1,15,7.22,3.59,11.19
87,0.292651,0.671712,0.501844,0.00,0.00,0,0,43,24,inf,124,62,256,131.38,72.89,237.74,88.38,48.89,0.00,2,8,1,13,9.60,2.98,9.42
90,0.307325,0.674240,0.521629,0.00,0.00,0,0,43,24,inf,115,63,264,121.87,80.35,239.78,78.87,56.35,0.00,2,7,1,14,7.51,3.51,10.98
93,0.314538,0.664782,0.496825,0.00,0.00,0,0,43,24,inf,111,66,265,118.65,77.92,245.43,75.65,53.92,0.00,2,7,1,14,8.15,2.88,10.97
96,0.292649,0.651848,0.481355,0.00,0.00,0,0,43,24,inf,115,59,268,120.61,70.63,250.76,77.61,46.63,0.00,2,9,1,12,8.39,3.25,10.35
99,0.307478,0.658569,0.494003,0.00,0.00,0,0,43,24,inf,110,69,263,116.71,76.33,248.96,73.71,52.33,0.00,2,7,1,14,8.01,2.62,11.37
102,0.284142,0.680955,0.542080,0.00,0.00,0,0,43,24,inf,114,79,249,121.54,84.42,236.04,78.54,60.42,0.00,2,10,1,11,9.96,2.71,9.32
105,0.299926,0.679769,0.524320,0.00,0.00,0,0,43,24,inf,133,65,244,135.50,74.28,232.23,92.50,50.28,0.00,2,12,2,8,10.33,2.96,8.71
108,0.273067,0.660250,0.504514,0.00,0.00,0,0,43,24,inf,120,65,257,122.24,73.23,246.53,79.24,49.23,0.00,2,7,0,15,7.98,2.63,11.40
111,0.271323,0.686997,0.500436,0.00,0.00,0,0,43,24,inf,118,83,241,126.84,83.63,231.54,83.84,59.63,0.00,2,8,2,12,8.58,3.51,9.91
114,0.264500,0.670678,0.522696,0.00,0.00,0,0,43,24,inf,118,70,254,128.65,73.98,239.37,85.65,49.98,0.00,2,8,2,12,9.55,2.86,9.59
117,0.254386,0.663512,0.515947,0.00,0.00,0,0,43,24,inf,121,68,253,126.79,71.89,243.32,83.79,47.89,0.00,2,9,2,11,8.85,3.10,10.05
120,0.258632,0.656892,0.492760,0.00,0.00,0,0,43,24,inf,116,67,259,119.99,73.21,248.81,76.99,49.21,0.00,2,8,2,12,8.89,3.04,10.07
123,0.247202,0.668150,0.505608,0.00,0.00,0,0,43,24,inf,120,66,256,123.19,76.27,242.53,80.19,52.27,0.00,2,9,2,11,9.13,4.01,8.86
126,0.231801,0.669468,0.504001,0.00,0.00,0,0,43,24,inf,119,69,254,122.70,77.27,242.03,79.70,53.27,0.00,2,9,2,11,9.86,2.84,9.30
129,0.243405,0.664698,0.503792,0.00,0.00,0,0,43,24,inf,122,63,257,123.78,74.25,243.96,80.78,50.25,0.00,2,10,0,12,9.95,2.21,9.85
132,0.244737,0.685997,0.517685,0.00,0.00,0,0,43,24,inf,122,80,240,125.37,84.20,232.43,82.37,60.20,0.00,2,8,3,11,7.44,4.46,10.10
135,0.254058,0.667982,0.503669,0.00,0.00,0,0,43,24,inf,115,71,256,119.37,79.00,243.63,76.37,55.00,0.00,2,7,1,14,7.58,2.75,11.67
138,0.229738,0.685640,0.532045,0.00,0.00,0,0,43,24,inf,112,81,249,118.09,90.70,233.20,75.09,66.70,0.00,2,10,2,10,8.79,3.31,9.89
141,0.237109,0.670447,0.491810,0.00,0.00,0,0,43,24,inf,110,81,251,114.28,84.85,242.87,71.28,60.85,0.00,2,7,2,13,8.79,2.75,10.46
144,0.226996,0.699354,0.539009,0.00,0.00,0,0,43,24,inf,121,83,238,128.96,89.60,223.44,85.96,65.60,0.00,2,7,1,14,8.16,2.53,11.31
147,0.223606,0.695025,0.530268,0.00,0.00,0,0,43,24,inf,121,85,236,125.70,89.60,226.70,82.70,65.60,0.00,2,9,2,11,9.02,3.15,9.83
150,0.227582,0.673653,0.505073,0.00,0.00,0,0,43,24,inf,115,78,249,119.11,82.28,240.61,76.11,58.28,0.00,2,7,2,13,7.57,3.61,10.83
153,0.224865,0.680320,0.508974,0.00,0.00,0,0,43,24,inf,126,73,243,130.76,77.29,233.95,87.76,53.29,0.00,2,6,1,15,8.14,2.95,10.90
156,0.206729,0.679557,0.521247,0.00,0.00,0,0,43,24,inf,113,80,249,117.13,87.66,237.21,74.13,63.66,0.00,2,7,1,14,7.92,2.96,11.11
159,0.230309,0.689512,0.533184,0.00,0.00,0,0,43,24,inf,127,74,241,132.39,81.03,228.58,89.39,57.03,0.00,2,9,1,12,9.75,2.22,10.02
162,0.215116,0.677534,0.507656,0.00,0.00,0,0,43,24,inf,111,82,249,118.35,85.22,238.42,75.35,61.22,0.00,2,8,2,12,7.19,2.92,11.89
165,0.205048,0.660541,0.492047,0.00,0.00,0,0,43,24,inf,121,66,255,127.22,70.40,244.38,84.22,46.40,0.00,2,8,1,13,9.62,2.03,10.35
168,0.190896,0.633610,0.471028,0.00,0.00,0,0,43,24,inf,111,61,270,113.48,67.82,260.70,70.48,43.82,0.00,2,7,2,13,6.59,3.32,12.08
171,0.195600,0.691214,0.547491,0.00,0.00,0,0,43,24,inf,128,80,234,128.57,84.77,228.66,85.57,60.77,0.00,2,11,2,9,10.53,2.64,8.83
174,0.223670,0.681895,0.522918,0.00,0.00,0,0,43,24,inf,128,67,247,130.35,78.35,233.30,87.35,54.35,0.00,2,9,2,11,9.63,2.90,9.46
177,0.211685,0.659505,0.485100,0.00,0.00,0,0,43,24,inf,119,68,255,124.68,71.41,245.92,81.68,47.41,0.00,2,7,2,13,8.32,3.17,10.51
180,0.196629,0.671803,0.517222,0.00,0.00,0,0,43,24,inf,123,67,252,129.12,74.22,238.66,86.12,50.22,0.00,2,7,1,14,7.38,3.42,11.21
183,0.179686,0.676059,0.502391,0.00,0.00,0,0,43,24,inf,118,74,250,122.10,81.16,238.74,79.10,57.16,0.00,2,9,1,12,9.61,3.16,9.23
186,0.182643,0.673353,0.504288,0.00,0.00,0,0,43,24,inf,117,77,248,121.92,79.84,240.24,78.92,55.84,0.00,2,8,3,11,8.40,3.95,9.65
189,0.192586,0.688164,0.535831,0.00,0.00,0,0,43,24,inf,118,81,243,122.32,88.19,231.49,79.32,64.19,0.00,2,10,2,10,10.59,3.05,8.36
192,0.198251,0.665020,0.495794,0.00,0.00,0,0,43,24,inf,113,73,256,119.04,77.74,245.22,76.04,53.74,0.00,2,8,2,12,8.51,3.47,10.02
195,0.172819,0.665854,0.491512,0.00,0.00,0,0,43,24,inf,113,76,253,120.24,77.25,244.51,77.24,53.25,0.00,2,7,2,13,7.79,3.52,10.70
