Epoch,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
3,0.672024,0.690190,0.522023,0.00,0.00,0,0,43,24,inf,135,40,267,136.71,78.67,226.62,93.71,54.67,0.00,2,9,0,13,7.92,4.81,9.27
6,0.636172,0.687028,0.489447,0.00,0.00,0,0,43,24,inf,124,47,271,133.49,78.99,229.51,90.49,54.99,0.00,2,7,0,15,7.02,4.86,10.12
9,0.600820,0.673713,0.467867,0.00,0.00,0,0,43,24,inf,116,43,283,125.96,77.12,238.92,82.96,53.12,0.00,2,7,0,15,7.46,4.56,9.98
12,0.586545,0.687803,0.488829,0.00,0.00,0,0,43,24,inf,126,62,254,134.52,78.76,228.73,91.52,54.76,0.00,2,13,0,9,9.55,4.22,8.24
15,0.584291,0.678477,0.460861,0.00,0.00,0,0,43,24,inf,123,43,276,130.27,76.69,235.04,87.27,52.69,0.00,2,7,0,15,8.02,3.85,10.12
18,0.562863,0.688755,0.481880,0.00,0.00,0,0,43,24,inf,126,56,260,131.71,81.08,229.21,88.71,57.08,0.00,2,13,1,8,8.95,3.56,9.48
21,0.542639,0.686827,0.512785,0.00,0.00,0,0,43,24,inf,124,54,264,132.02,79.83,230.15,89.02,55.83,0.00,2,8,1,13,8.05,4.29,9.67
24,0.532774,0.682342,0.484357,0.00,0.00,0,0,43,24,inf,126,55,261,136.65,74.85,230.50,93.65,50.85,0.00,2,7,0,15,8.20,3.00,10.80
27,0.535654,0.687015,0.503018,0.00,0.00,0,0,43,24,inf,117,63,262,131.29,80.42,230.29,88.29,56.42,0.00,2,7,1,14,8.61,3.02,10.37
30,0.539417,0.680972,0.483422,0.00,0.00,0,0,43,24,inf,121,57,264,131.71,77.03,233.27,88.71,53.03,0.00,2,8,1,13,8.80,3.06,10.14
33,0.520941,0.681604,0.482058,0.00,0.00,0,0,43,24,inf,132,49,261,143.31,71.27,227.42,100.31,47.27,0.00,2,8,1,13,8.03,3.14,10.83
36,0.525529,0.673518,0.486624,0.00,0.00,0,0,43,24,inf,128,47,267,135.42,71.55,235.03,92.42,47.55,0.00,2,9,1,12,9.51,2.64,9.86
39,0.520412,0.687166,0.521533,0.00,0.00,0,0,43,24,inf,114,65,263,130.45,81.07,230.48,87.45,57.07,0.00,2,6,1,15,7.21,3.44,11.35
42,0.507372,0.676674,0.518581,0.00,0.00,0,0,43,24,inf,116,55,271,128.32,77.03,236.65,85.32,53.03,0.00,2,7,1,14,7.72,3.45,10.82
45,0.501388,0.667076,0.499820,0.00,0.00,0,0,43,24,inf,113,51,278,128.60,72.40,241.00,85.60,48.40,0.00,2,7,1,14,7.94,3.45,10.60
48,0.485524,0.673204,0.467988,0.00,0.00,0,0,43,24,inf,129,50,263,133.66,72.32,236.03,90.66,48.32,0.00,2,9,1,12,7.84,3.31,10.84
51,0.474669,0.671385,0.484099,0.00,0.00,0,0,43,24,inf,120,52,270,130.46,73.25,238.29,87.46,49.25,0.00,2,7,1,14,7.20,3.53,11.28
54,0.474138,0.689496,0.504896,0.00,0.00,0,0,43,24,inf,120,65,257,133.75,80.13,228.12,90.75,56.13,0.00,2,5,1,16,6.37,3.83,11.80
57,0.458154,0.683850,0.527400,0.00,0.00,0,0,43,24,inf,118,67,257,131.42,78.66,231.92,88.42,54.66,0.00,2,6,2,14,6.78,4.65,10.57
60,0.450904,0.682153,0.502851,0.00,0.00,0,0,43,24,inf,118,66,258,129.92,78.76,233.32,86.92,54.76,0.00,2,8,2,12,7.97,3.55,10.48
63,0.461393,0.657138,0.498496,0.00,0.00,0,0,43,24,inf,108,57,277,121.11,72.58,248.31,78.11,48.58,0.00,2,9,1,12,8.40,3.25,10.35
66,0.449546,0.669620,0.508882,0.00,0.00,0,0,43,24,inf,120,53,269,129.84,72.82,239.34,86.84,48.82,0.00,2,10,1,11,8.65,2.90,10.45
69,0.441346,0.674909,0.538787,0.00,0.00,0,0,43,24,inf,125,54,263,133.60,73.10,235.30,90.60,49.10,0.00,2,12,1,9,10.27,2.71,9.01
72,0.428542,0.689271,0.537424,0.00,0.00,0,0,43,24,inf,128,59,255,136.93,78.07,227.00,93.93,54.07,0.00,2,9,1,12,8.66,3.55,9.79
75,0.429885,0.673121,0.495221,0.00,0.00,0,0,43,24,inf,111,63,268,126.98,76.16,238.86,83.98,52.16,0.00,2,6,1,15,7.84,3.09,11.07
78,0.414849,0.661409,0.497418,0.00,0.00,0,0,43,24,inf,111,62,269,124.96,72.06,244.98,81.96,48.06,0.00,2,5,1,16,7.06,2.95,12.00
