Epoch,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
3,0.628785,0.664448,0.494491,0.00,0.00,0,0,43,24,inf,122,53,267,132.61,69.19,240.19,89.61,45.19,0.00,2,14,0,8,9.58,3.46,8.96
6,0.586330,0.673621,0.493735,0.00,0.00,0,0,43,24,inf,122,53,267,130.49,74.25,237.26,87.49,50.25,0.00,2,14,0,8,9.09,3.64,9.27
9,0.560643,0.661560,0.492066,0.00,0.00,0,0,43,24,inf,125,44,273,133.59,67.60,240.80,90.59,43.60,0.00,2,7,0,15,7.25,3.59,11.16
12,0.534877,0.693386,0.522827,0.00,0.00,0,0,43,24,inf,124,65,253,133.03,82.76,226.21,90.03,58.76,0.00,2,16,1,5,11.13,2.99,7.88
15,0.530792,0.692869,0.524396,0.00,0.00,0,0,43,24,inf,121,65,256,136.01,80.51,225.48,93.01,56.51,0.00,2,9,1,12,9.11,3.04,9.85
18,0.509249,0.651762,0.472635,0.00,0.00,0,0,43,24,inf,114,50,278,124.86,68.16,248.97,81.86,44.16,0.00,2,6,1,15,7.25,3.23,11.51
21,0.502617,0.664210,0.494411,0.00,0.00,0,0,43,24,inf,117,53,272,129.59,70.64,241.77,86.59,46.64,0.00,2,8,1,13,8.78,3.52,9.70
24,0.465997,0.688123,0.537308,0.00,0.00,0,0,43,24,inf,115,70,257,126.59,84.49,230.93,83.59,60.49,0.00,2,6,1,15,6.46,3.43,12.10
27,0.479895,0.684696,0.533771,0.00,0.00,0,0,43,24,inf,121,66,255,129.89,80.11,231.99,86.89,56.11,0.00,2,14,1,7,9.06,3.65,9.29
30,0.464653,0.665733,0.513999,0.00,0.00,0,0,43,24,inf,115,60,267,123.65,74.82,243.53,80.65,50.82,0.00,2,9,1,12,8.39,3.65,9.97
33,0.439950,0.684977,0.538915,0.00,0.00,0,0,43,24,inf,121,66,255,134.34,77.43,230.23,91.34,53.43,0.00,2,11,2,9,9.17,3.97,8.86
36,0.455932,0.683773,0.514994,0.00,0.00,0,0,43,24,inf,112,70,260,121.77,85.92,234.31,78.77,61.92,0.00,2,5,1,16,6.17,4.24,11.59
39,0.429986,0.678688,0.510354,0.00,0.00,0,0,43,24,inf,117,69,256,128.95,77.63,235.42,85.95,53.63,0.00,2,8,2,12,7.67,3.79,10.55
42,0.423773,0.678893,0.503296,0.00,0.00,0,0,43,24,inf,129,50,263,132.71,75.42,233.86,89.71,51.42,0.00,2,12,1,9,9.19,3.05,9.77
45,0.418747,0.677316,0.499786,0.00,0.00,0,0,43,24,inf,126,60,256,133.63,74.17,234.20,90.63,50.17,0.00,2,14,1,7,10.05,2.68,9.27
48,0.394236,0.684188,0.533481,0.00,0.00,0,0,43,24,inf,114,67,261,125.01,83.43,233.56,82.01,59.43,0.00,2,10,1,11,8.71,3.53,9.76
51,0.406704,0.678273,0.534815,0.00,0.00,0,0,43,24,inf,122,64,256,130.48,76.45,235.06,87.48,52.45,0.00,2,4,0,18,6.26,3.62,12.12
54,0.410052,0.670143,0.507246,0.00,0.00,0,0,43,24,inf,109,69,264,118.45,80.89,242.66,75.45,56.89,0.00,2,5,1,16,7.05,2.82,12.13
57,0.371814,0.686904,0.530559,0.00,0.00,0,0,43,24,inf,119,69,254,132.69,79.44,229.87,89.69,55.44,0.00,2,7,1,14,8.26,2.83,10.91
60,0.357430,0.692383,0.532792,0.00,0.00,0,0,43,24,inf,110,81,251,124.23,89.18,228.58,81.23,65.18,0.00,2,7,1,14,7.95,3.23,10.83
63,0.365231,0.669181,0.502942,0.00,0.00,0,0,43,24,inf,118,63,261,127.11,74.22,240.67,84.11,50.22,0.00,2,6,1,15,7.77,2.66,11.57
66,0.355518,0.681580,0.506787,0.00,0.00,0,0,43,24,inf,106,74,262,115.92,90.26,235.82,72.92,66.26,0.00,2,6,1,15,6.69,3.74,11.57
69,0.337784,0.696771,0.521241,0.00,0.00,0,0,43,24,inf,123,74,245,132.18,85.36,224.45,89.18,61.36,0.00,2,7,2,13,8.35,3.83,9.83
72,0.332753,0.682557,0.503003,0.00,0.00,0,0,43,24,inf,124,69,249,130.46,78.62,232.92,87.46,54.62,0.00,2,8,2,12,8.65,3.09,10.27
75,0.351328,0.670344,0.521522,0.00,0.00,0,0,43,24,inf,136,54,252,141.69,67.45,232.86,98.69,43.45,0.00,2,11,1,10,10.35,2.41,9.24
78,0.316840,0.656644,0.477826,0.00,0.00,0,0,43,24,inf,114,58,270,121.22,72.29,248.49,78.22,48.29,0.00,2,5,1,16,6.95,3.45,11.59
81,0.312403,0.683283,0.509943,0.00,0.00,0,0,43,24,inf,111,78,253,121.09,86.23,234.68,78.09,62.23,0.00,2,10,1,11,8.79,2.50,10.71
84,0.318213,0.688610,0.529461,0.00,0.00,0,0,43,24,inf,117,77,248,126.70,84.68,230.61,83.70,60.68,0.00,2,9,1,12,8.59,2.36,11.04
87,0.303979,0.673071,0.500035,0.00,0.00,0,0,43,24,inf,121,67,254,123.41,78.58,240.01,80.41,54.58,0.00,2,12,1,9,9.68,2.30,10.02
90,0.296547,0.698483,0.514826,0.00,0.00,0,0,43,24,inf,123,83,236,130.88,87.43,223.68,87.88,63.43,0.00,2,13,1,8,10.70,2.41,8.90
93,0.306056,0.665463,0.510086,0.00,0.00,0,0,43,24,inf,112,65,265,121.26,76.32,244.42,78.26,52.32,0.00,2,7,1,14,7.92,2.82,11.26
96,0.289746,0.670693,0.497543,0.00,0.00,0,0,43,24,inf,113,69,260,121.87,78.49,241.64,78.87,54.49,0.00,2,4,1,17,6.30,2.87,12.83
99,0.275643,0.667123,0.489551,0.00,0.00,0,0,43,24,inf,124,66,252,125.86,74.05,242.09,82.86,50.05,0.00,2,12,1,9,9.46,2.90,9.64
102,0.278219,0.676348,0.492040,0.00,0.00,0,0,43,24,inf,126,68,248,129.11,76.37,236.52,86.11,52.37,0.00,2,8,2,12,8.31,3.11,10.58
105,0.267270,0.672633,0.491559,0.00,0.00,0,0,43,24,inf,117,72,253,121.21,80.00,240.78,78.21,56.00,0.00,2,8,1,13,8.66,2.90,10.44
108,0.288249,0.650151,0.452651,0.00,0.00,0,0,43,24,inf,123,55,264,127.63,66.15,248.21,84.63,42.15,0.00,2,9,0,13,9.02,2.07,10.91
111,0.264749,0.676229,0.500473,0.00,0.00,0,0,43,24,inf,121,73,248,122.11,81.24,238.64,79.11,57.24,0.00,2,9,0,13,9.32,2.14,10.54
114,0.274189,0.656140,0.496583,0.00,0.00,0,0,43,24,inf,122,64,256,126.38,69.07,246.55,83.38,45.07,0.00,2,10,1,11,9.44,2.41,10.15
117,0.253173,0.683892,0.500017,0.00,0.00,0,0,43,24,inf,121,78,243,127.04,81.70,233.26,84.04,57.70,0.00,2,11,2,9,9.58,2.76,9.66
120,0.258140,0.675340,0.504341,0.00,0.00,0,0,43,24,inf,126,64,252,128.29,76.40,237.31,85.29,52.40,0.00,2,12,1,9,9.69,2.58,9.73
123,0.249817,0.666567,0.494137,0.00,0.00,0,0,43,24,inf,123,66,253,128.96,71.98,241.06,85.96,47.98,0.00,2,7,1,14,8.84,2.19,10.97
126,0.246299,0.680925,0.502051,0.00,0.00,0,0,43,24,inf,121,76,245,124.44,82.02,235.54,81.44,58.02,0.00,2,9,1,12,8.85,2.41,10.74
129,0.251786,0.665397,0.484043,0.00,0.00,0,0,43,24,inf,123,65,254,124.47,74.13,243.40,81.47,50.13,0.00,2,7,2,13,7.66,2.92,11.42
132,0.236478,0.651725,0.469696,0.00,0.00,0,0,43,24,inf,127,61,254,127.72,66.69,247.59,84.72,42.69,0.00,2,11,2,9,10.12,2.04,9.84
135,0.225663,0.662267,0.503348,0.00,0.00,0,0,43,24,inf,120,70,252,123.31,73.45,245.24,80.31,49.45,0.00,2,10,2,10,8.64,2.92,10.44
138,0.232816,0.663178,0.495069,0.00,0.00,0,0,43,24,inf,117,72,253,122.88,74.14,244.98,79.88,50.14,0.00,2,7,2,13,8.69,2.58,10.73
141,0.233385,0.667265,0.470660,0.00,0.00,0,0,43,24,inf,124,66,252,126.37,73.80,241.83,83.37,49.80,0.00,2,10,2,10,9.22,2.49,10.29
144,0.237308,0.679515,0.505680,0.00,0.00,0,0,43,24,inf,120,74,248,122.28,82.96,236.77,79.28,58.96,0.00,2,9,2,11,7.82,3.81,10.37
147,0.234405,0.667335,0.484381,0.00,0.00,0,0,43,24,inf,122,68,252,124.73,74.86,242.41,81.73,50.86,0.00,2,6,4,12,7.19,3.59,11.22
150,0.199491,0.688923,0.501808,0.00,0.00,0,0,43,24,inf,119,86,237,123.60,87.51,230.89,80.60,63.51,0.00,2,8,2,12,8.32,3.48,10.20
153,0.205993,0.685315,0.509799,0.00,0.00,0,0,43,24,inf,128,77,237,131.10,79.64,231.27,88.10,55.64,0.00,2,8,3,11,8.40,3.22,10.37
