Epoch,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
3,0.600765,0.685778,0.482129,0.00,0.00,0,0,43,24,inf,132,49,261,137.89,75.81,228.30,94.89,51.81,0.00,2,8,0,14,8.41,4.23,9.36
6,0.555868,0.688869,0.507381,0.00,0.00,0,0,43,24,inf,110,65,267,128.45,83.48,230.07,85.45,59.48,0.00,2,7,0,15,7.69,3.36,10.95
9,0.533255,0.685126,0.494569,0.00,0.00,0,0,43,24,inf,118,58,266,130.05,80.24,231.71,87.05,56.24,0.00,2,8,1,13,8.28,4.36,9.35
12,0.514331,0.655859,0.479633,0.00,0.00,0,0,43,24,inf,104,54,284,118.98,73.42,249.60,75.98,49.42,0.00,2,4,1,17,6.61,3.57,11.83
15,0.495924,0.675360,0.522566,0.00,0.00,0,0,43,24,inf,113,54,275,129.41,75.71,236.88,86.41,51.71,0.00,2,8,1,13,8.58,3.56,9.86
18,0.484053,0.677243,0.498914,0.00,0.00,0,0,43,24,inf,106,66,270,118.62,84.80,238.58,75.62,60.80,0.00,2,6,2,14,6.99,4.91,10.10
21,0.481321,0.656704,0.506888,0.00,0.00,0,0,43,24,inf,116,47,279,124.07,70.59,247.35,81.07,46.59,0.00,2,7,1,14,8.38,3.11,10.51
24,0.451659,0.688510,0.525550,0.00,0.00,0,0,43,24,inf,117,66,259,130.79,81.58,229.64,87.79,57.58,0.00,2,10,1,11,9.18,3.73,9.09
27,0.446845,0.670666,0.483709,0.00,0.00,0,0,43,24,inf,117,59,266,129.67,73.38,238.95,86.67,49.38,0.00,2,6,1,15,8.00,3.08,10.92
30,0.428809,0.682308,0.517462,0.00,0.00,0,0,43,24,inf,111,67,264,125.25,82.17,234.58,82.25,58.17,0.00,2,7,3,12,7.99,4.98,9.03
33,0.431804,0.686463,0.534191,0.00,0.00,0,0,43,24,inf,118,73,251,129.89,81.08,231.04,86.89,57.08,0.00,2,6,1,15,8.00,3.20,10.81
36,0.411234,0.667204,0.507929,0.00,0.00,0,0,43,24,inf,111,62,269,122.67,76.17,243.15,79.67,52.17,0.00,2,6,1,15,7.60,3.79,10.61
39,0.402602,0.662951,0.489377,0.00,0.00,0,0,43,24,inf,120,58,264,127.27,71.38,243.35,84.27,47.38,0.00,2,4,0,18,6.25,2.90,12.85
42,0.389363,0.658589,0.501328,0.00,0.00,0,0,43,24,inf,112,59,271,123.79,71.54,246.67,80.79,47.54,0.00,2,5,1,16,7.88,2.82,11.31
45,0.380349,0.664959,0.504893,0.00,0.00,0,0,43,24,inf,123,55,264,129.86,70.81,241.34,86.86,46.81,0.00,2,5,1,16,6.77,3.49,11.74
48,0.372048,0.668539,0.506780,0.00,0.00,0,0,43,24,inf,116,58,268,127.54,73.67,240.79,84.54,49.67,0.00,2,7,1,14,8.11,3.68,10.21
51,0.362058,0.669889,0.501594,0.00,0.00,0,0,43,24,inf,113,66,263,124.30,76.36,241.33,81.30,52.36,0.00,2,6,1,15,7.98,2.98,11.04
54,0.356140,0.670554,0.538136,0.00,0.00,0,0,43,24,inf,138,55,249,138.48,68.89,234.63,95.48,44.89,0.00,2,13,1,8,10.42,2.78,8.80
57,0.326462,0.663836,0.501718,0.00,0.00,0,0,43,24,inf,116,67,259,123.84,73.82,244.34,80.84,49.82,0.00,2,7,2,13,7.33,3.78,10.89
60,0.360515,0.676352,0.515579,0.00,0.00,0,0,43,24,inf,121,69,252,132.35,74.44,235.21,89.35,50.44,0.00,2,9,2,11,8.89,3.38,9.72
63,0.334580,0.683632,0.516929,0.00,0.00,0,0,43,24,inf,106,84,252,116.11,91.47,234.43,73.11,67.47,0.00,2,6,3,13,6.23,5.36,10.41
66,0.318847,0.686389,0.527411,0.00,0.00,0,0,43,24,inf,130,69,243,133.50,78.66,229.85,90.50,54.66,0.00,2,10,1,11,8.77,2.69,10.54
