Epoch,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
3,0.610796,0.676445,0.517395,0.00,0.00,0,0,43,24,inf,114,53,275,123.61,80.20,238.19,80.61,56.20,0.00,2,10,0,12,8.69,3.91,9.39
6,0.560534,0.679706,0.512709,0.00,0.00,0,0,43,24,inf,113,54,275,125.24,80.74,236.02,82.24,56.74,0.00,2,7,1,14,8.16,4.08,9.76
9,0.541867,0.673404,0.457328,0.00,0.00,0,0,43,24,inf,122,44,276,129.58,74.68,237.73,86.58,50.68,0.00,2,6,1,15,7.46,3.34,11.20
12,0.523294,0.689935,0.488550,0.00,0.00,0,0,43,24,inf,121,60,261,127.92,84.51,229.57,84.92,60.51,0.00,2,10,1,11,8.20,3.72,10.08
15,0.509521,0.692621,0.524826,0.00,0.00,0,0,43,24,inf,137,49,256,142.00,76.94,223.06,99.00,52.94,0.00,2,12,0,10,9.26,2.79,9.95
18,0.502840,0.672854,0.511532,0.00,0.00,0,0,43,24,inf,121,50,271,126.97,76.04,238.99,83.97,52.04,0.00,2,9,1,12,8.29,3.14,10.57
21,0.481435,0.678777,0.491072,0.00,0.00,0,0,43,24,inf,131,48,263,140.38,71.40,230.22,97.38,47.40,0.00,2,11,1,10,9.22,2.60,10.18
24,0.473648,0.663246,0.456247,0.00,0.00,0,0,43,24,inf,121,56,265,125.03,72.82,244.15,82.03,48.82,0.00,2,10,1,11,8.45,3.86,9.70
27,0.463608,0.666350,0.512834,0.00,0.00,0,0,43,24,inf,116,59,267,128.84,71.95,241.21,85.84,47.95,0.00,2,8,1,13,8.87,2.43,10.71
30,0.437101,0.674341,0.517989,0.00,0.00,0,0,43,24,inf,108,66,268,127.05,76.71,238.24,84.05,52.71,0.00,2,5,1,16,7.16,3.64,11.21
33,0.424294,0.659791,0.508003,0.00,0.00,0,0,43,24,inf,115,55,272,123.83,72.03,246.13,80.83,48.03,0.00,2,14,1,7,10.21,2.61,9.18
36,0.416848,0.673191,0.525109,0.00,0.00,0,0,43,24,inf,118,59,265,134.58,71.83,235.59,91.58,47.83,0.00,2,5,1,16,7.91,2.73,11.36
39,0.411414,0.672550,0.517066,0.00,0.00,0,0,43,24,inf,115,65,262,124.01,77.88,240.11,81.01,53.88,0.00,2,12,0,10,9.77,2.03,10.20
42,0.389070,0.681261,0.525059,0.00,0.00,0,0,43,24,inf,125,60,257,129.40,78.65,233.96,86.40,54.65,0.00,2,6,1,15,7.87,3.46,10.67
45,0.413606,0.663381,0.512919,0.00,0.00,0,0,43,24,inf,101,70,271,113.60,81.43,246.97,70.60,57.43,0.00,2,5,0,17,6.28,3.65,12.06
48,0.388232,0.670602,0.498688,0.00,0.00,0,0,43,24,inf,108,65,269,119.46,80.31,242.23,76.46,56.31,0.00,2,6,1,15,7.87,4.08,10.05
51,0.366604,0.676476,0.505376,0.00,0.00,0,0,43,24,inf,114,60,268,125.41,78.91,237.69,82.41,54.91,0.00,2,5,1,16,6.79,4.20,11.01
54,0.366672,0.665024,0.514566,0.00,0.00,0,0,43,24,inf,114,65,263,118.52,78.14,245.34,75.52,54.14,0.00,2,10,0,12,9.47,2.46,10.07
57,0.356732,0.676331,0.522046,0.00,0.00,0,0,43,24,inf,124,58,260,130.31,75.63,236.07,87.31,51.63,0.00,2,10,2,10,8.76,3.29,9.96
60,0.343412,0.688148,0.530306,0.00,0.00,0,0,43,24,inf,116,75,251,124.04,86.63,231.33,81.04,62.63,0.00,2,9,1,12,9.20,3.03,9.77
63,0.338259,0.661475,0.494709,0.00,0.00,0,0,43,24,inf,106,67,269,118.74,76.21,247.05,75.74,52.21,0.00,2,4,2,16,7.60,2.99,11.41
66,0.332616,0.692044,0.514597,0.00,0.00,0,0,43,24,inf,128,72,242,134.72,80.88,226.40,91.72,56.88,0.00,2,8,2,12,9.00,2.59,10.41
69,0.334305,0.689255,0.529999,0.00,0.00,0,0,43,24,inf,110,87,245,122.78,88.48,230.75,79.78,64.48,0.00,2,9,2,11,9.34,2.46,10.20
72,0.303876,0.669282,0.508467,0.00,0.00,0,0,43,24,inf,119,72,251,123.86,76.37,241.77,80.86,52.37,0.00,2,10,2,10,8.91,3.60,9.49
75,0.286631,0.654833,0.504267,0.00,0.00,0,0,43,24,inf,114,62,266,116.57,74.66,250.77,73.57,50.66,0.00,2,8,2,12,7.44,3.83,10.73
78,0.300676,0.668486,0.521130,0.00,0.00,0,0,43,24,inf,107,77,258,114.56,83.42,244.01,71.56,59.42,0.00,2,9,1,12,9.00,2.33,10.67
81,0.286806,0.652236,0.480753,0.00,0.00,0,0,43,24,inf,114,63,265,119.88,71.25,250.87,76.88,47.25,0.00,2,7,2,13,7.97,3.11,10.92
84,0.284569,0.660476,0.493369,0.00,0.00,0,0,43,24,inf,116,67,259,126.01,71.05,244.94,83.01,47.05,0.00,2,6,2,14,7.83,3.10,11.07
87,0.316413,0.680429,0.497184,0.00,0.00,0,0,43,24,inf,121,72,249,127.19,79.72,235.09,84.19,55.72,0.00,2,9,2,11,8.77,2.73,10.50
90,0.288496,0.683324,0.522094,0.00,0.00,0,0,43,24,inf,121,77,244,124.19,83.60,234.22,81.19,59.60,0.00,2,11,2,9,10.06,2.62,9.32
