Epoch,Train_Acc,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Class1,Hard_Class1,Soft_Class1,Limit_Class2,Hard_Class2,Soft_Class2,Limit_Class3,Hard_Class3,Soft_Class3,Limit_Class4,Hard_Class4,Soft_Class4,Limit_Class5,Hard_Class5,Soft_Class5
5,0.4851,1.261235,0.000000,0.000000,0.00,0.00,1,1,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00
10,0.5249,1.215565,0.000000,0.000000,0.00,0.00,1,1,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00
15,0.5436,1.173023,0.000000,0.000000,0.00,0.00,1,1,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00
20,0.5698,1.114865,0.000000,0.000000,0.00,0.00,1,1,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00
25,0.5811,1.050358,0.000000,0.000000,0.00,0.00,1,1,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00
30,0.5980,1.014349,0.000000,0.000000,0.00,0.00,1,1,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00
35,0.6047,0.986545,0.000000,0.000000,0.00,0.00,1,1,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00
40,0.6125,0.974560,0.000000,0.000000,0.00,0.00,1,1,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00
45,0.6172,0.956231,0.000000,0.000000,0.00,0.00,1,1,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00
50,0.6169,0.948429,0.000000,0.000000,0.00,0.00,1,1,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00,inf,0,0.00
51,0.6089,0.946934,0.694918,0.639095,0.11,0.11,0,0,129,429,406.30,132,278,407.63,500,1766,1593.84,490,0,0.00,469,0,0.00
54,0.6138,0.943218,0.694214,0.638865,0.12,0.12,0,0,129,430,410.89,132,285,416.44,500,1911,1669.32,490,0,0.00,469,0,0.00
57,0.6204,0.942607,0.694463,0.639066,0.14,0.14,0,0,129,489,426.44,132,233,389.66,500,1996,1708.97,490,0,0.00,469,0,0.00
60,0.6239,0.938132,0.694606,0.639781,0.15,0.15,0,0,129,446,407.74,132,238,389.83,500,2020,1719.80,490,0,0.00,469,0,0.00
63,0.6248,0.939111,0.693337,0.640151,0.17,0.17,0,0,129,470,417.91,132,221,380.02,500,2021,1706.93,490,0,0.00,469,0,0.00
66,0.6223,0.931341,0.693420,0.640151,0.18,0.18,0,0,129,423,391.35,132,267,398.37,500,1909,1658.48,490,0,0.00,469,0,0.00
69,0.6229,0.926145,0.693723,0.640627,0.20,0.20,0,0,129,438,407.20,132,232,383.47,500,1975,1706.83,490,0,0.00,469,0,0.00
72,0.6351,0.924198,0.693677,0.640902,0.21,0.21,0,0,129,430,401.46,132,281,405.70,500,1967,1681.15,490,0,0.00,469,0,0.00
75,0.6308,0.919840,0.693234,0.642107,0.23,0.23,0,0,129,481,431.27,132,214,377.36,500,2080,1779.33,490,0,0.00,469,0,0.00
78,0.6351,0.923168,0.691969,0.643540,0.24,0.24,0,0,129,451,408.62,132,245,389.78,500,2040,1760.41,490,0,0.00,469,0,0.00
81,0.6281,0.920768,0.691891,0.644210,0.26,0.26,0,0,129,479,425.51,132,229,384.74,500,2000,1766.53,490,0,0.00,469,0,0.00
84,0.6272,0.913427,0.692728,0.642809,0.27,0.27,0,0,129,479,419.23,132,214,373.46,500,1975,1696.14,490,0,0.00,469,0,0.00
87,0.6327,0.910277,0.692418,0.645296,0.29,0.29,0,0,129,482,422.74,132,239,385.69,500,1943,1672.02,490,0,0.00,469,0,0.00
90,0.6251,0.910494,0.692016,0.644963,0.30,0.30,0,0,129,434,402.12,132,240,384.40,500,1847,1659.12,490,0,0.00,469,0,0.00
93,0.6272,0.910221,0.691987,0.644939,0.32,0.32,0,0,129,455,401.51,132,254,389.29,500,1794,1627.01,490,0,0.00,469,0,0.00
96,0.6293,0.913545,0.691638,0.645385,0.33,0.33,0,0,129,407,379.55,132,274,390.83,500,1848,1654.43,490,0,0.00,469,0,0.00
