Epoch,Train_Acc,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
1,0.7413,0.837900,0.140214,0.630829,0.01,0.01,0,0,113,63,inf,151,10,281,141.98,67.70,232.31,28.98,4.70,0.00,1,0,0,0,0.00,0.00,0.00
3,0.7713,0.626517,0.165316,0.668538,0.01,0.01,0,0,113,63,inf,162,25,255,157.81,64.98,219.21,44.81,1.98,0.00,1,0,0,0,0.00,0.00,0.00
6,0.7899,0.611396,0.127915,0.651640,0.01,0.01,0,0,113,63,inf,133,39,270,137.80,67.86,236.34,24.80,4.86,0.00,1,0,0,0,0.00,0.00,0.00
9,0.7947,0.580999,0.178485,0.674104,0.01,0.01,0,0,113,63,inf,133,50,259,144.01,72.09,225.90,31.01,9.09,0.00,1,0,0,0,0.00,0.00,0.00
12,0.7997,0.570734,0.211248,0.663602,0.01,0.01,0,0,113,63,inf,144,52,246,151.17,74.78,216.05,38.17,11.78,0.00,1,0,0,0,0.00,0.00,0.00
15,0.8025,0.561129,0.164363,0.662754,0.01,0.01,0,0,113,63,inf,137,49,256,141.22,71.48,229.30,28.22,8.48,0.00,1,0,0,0,0.00,0.00,0.00
18,0.8015,0.566604,0.089888,0.636527,0.01,0.01,0,0,113,63,inf,125,42,275,135.84,64.19,241.97,22.84,1.19,0.00,1,0,0,0,0.00,0.00,0.00
21,0.7861,0.547307,0.080622,0.584814,0.01,0.01,0,0,113,63,inf,115,36,291,123.50,55.50,263.01,10.50,0.00,0.00,1,0,0,0,0.00,0.00,0.00
24,0.8128,0.524134,0.223914,0.689890,0.01,0.01,0,0,113,63,inf,142,57,243,156.17,75.66,210.17,43.17,12.66,0.00,1,0,0,0,0.00,0.00,0.00
27,0.8126,0.516749,0.125223,0.650725,0.01,0.01,0,0,113,63,inf,128,49,265,141.42,65.60,234.97,28.42,2.60,0.00,1,0,0,0,0.00,0.00,0.00
30,0.8214,0.525446,0.136679,0.652190,0.01,0.01,0,0,113,63,inf,130,50,262,144.28,67.23,230.50,31.28,4.23,0.00,1,0,0,0,0.00,0.00,0.00
