Epoch,Train_Acc,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Hard_Dropout,Soft_Dropout,Limit_Enrolled,Hard_Enrolled,Soft_Enrolled,Limit_Graduate,Hard_Graduate,Soft_Graduate
1,0.6637,0.810767,0.416326,0.038063,0.20,0.20,0,1,42,78,80.10,24,0,32.93,inf,364,328.96
3,0.7194,0.711612,0.566092,0.068967,0.20,0.20,0,0,42,97,98.27,24,15,51.71,inf,330,292.02
6,0.7239,0.718312,0.512293,0.000000,0.20,0.20,0,0,42,98,93.70,24,12,44.44,inf,332,303.86
9,0.7380,0.661566,0.599222,0.118797,0.20,0.20,0,0,42,110,107.92,24,14,57.36,inf,318,276.71
12,0.7599,0.663680,0.600340,0.123490,0.20,0.20,0,0,42,118,121.50,24,21,51.93,inf,303,268.56
15,0.7567,0.643735,0.612399,0.131933,0.20,0.20,0,0,42,124,124.22,24,14,54.12,inf,304,263.66
18,0.7317,0.680549,0.536240,0.111528,0.20,0.20,0,0,42,106,103.59,24,8,46.29,inf,328,292.12
21,0.7524,0.632150,0.626244,0.160452,0.20,0.20,0,0,42,105,108.68,24,27,65.63,inf,310,267.69
24,0.7645,0.634444,0.606289,0.131786,0.20,0.20,0,0,42,113,121.47,24,22,53.92,inf,307,266.61
27,0.7259,0.682899,0.515454,0.134864,0.20,0.20,0,0,42,96,97.68,24,11,44.74,inf,335,299.59
30,0.7154,0.642455,0.524222,0.089551,0.20,0.20,0,0,42,91,94.34,24,8,46.69,inf,343,300.98
33,0.7446,0.643808,0.593276,0.093838,0.20,0.20,0,0,42,102,108.62,24,22,55.40,inf,318,277.98
36,0.7252,0.676550,0.539032,0.159567,0.20,0.20,0,0,42,97,103.10,24,11,47.25,inf,334,291.65
39,0.7287,0.663711,0.550123,0.070405,0.20,0.20,0,0,42,95,100.52,24,11,49.17,inf,336,292.32
42,0.7375,0.717359,0.569990,0.059913,0.20,0.20,0,0,42,93,100.93,24,18,53.61,inf,331,287.46
45,0.7345,0.681736,0.575947,0.072000,0.20,0.20,0,0,42,92,103.32,24,17,52.84,inf,333,285.83
48,0.7466,0.683217,0.574581,0.081741,0.20,0.20,0,0,42,106,110.04,24,15,49.85,inf,321,282.11
51,0.7277,0.691853,0.517462,0.019829,0.20,0.20,0,0,42,95,99.25,24,9,43.08,inf,338,299.68
54,0.6922,0.727619,0.497775,0.060646,0.20,0.20,0,1,42,75,87.20,24,5,45.41,inf,362,309.39
57,0.7098,0.698942,0.524051,0.040703,0.20,0.20,0,0,42,92,95.86,24,4,45.24,inf,346,300.90
60,0.6932,0.704555,0.487026,0.000000,0.20,0.20,0,1,42,72,86.76,24,8,43.81,inf,362,311.43
63,0.6841,0.718440,0.492719,0.085069,0.20,0.20,0,1,42,68,83.22,24,6,46.94,inf,368,311.83
66,0.7186,0.710437,0.531155,0.003711,0.20,0.20,0,0,42,89,98.62,24,7,45.72,inf,346,297.66
69,0.7259,0.696745,0.545229,0.034453,0.20,0.20,0,0,42,90,103.35,24,12,46.66,inf,340,291.99
72,0.7108,0.699310,0.541894,0.033923,0.20,0.20,0,0,42,80,100.33,24,5,47.47,inf,357,294.20
75,0.6909,0.687860,0.523178,0.059815,0.20,0.20,0,1,42,80,89.96,24,5,48.88,inf,357,303.16
78,0.6904,0.699033,0.496856,0.000000,0.20,0.20,0,1,42,73,89.46,24,4,43.20,inf,365,309.34
81,0.7378,0.706590,0.589717,0.115551,0.20,0.20,0,0,42,109,116.11,24,7,51.32,inf,326,274.58
84,0.7030,0.700506,0.527742,0.026558,0.20,0.20,0,1,42,81,98.24,24,4,45.98,inf,357,297.77
87,0.7078,0.709086,0.505365,0.000000,0.20,0.20,0,0,42,83,97.42,24,5,42.34,inf,354,302.24
90,0.7282,0.713115,0.539645,0.028699,0.20,0.20,0,0,42,89,104.33,24,9,45.51,inf,344,292.16
93,0.7106,0.718826,0.557033,0.055756,0.20,0.20,0,0,42,89,106.96,24,6,48.00,inf,347,287.04
96,0.6997,0.717103,0.517446,0.018445,0.20,0.20,0,1,42,76,97.11,24,4,44.05,inf,362,300.83
99,0.6708,0.715026,0.326475,0.000000,0.20,0.20,0,1,42,68,76.25,24,2,27.69,inf,372,338.07
102,0.6902,0.699072,0.521793,0.065942,0.20,0.20,0,1,42,73,95.19,24,6,45.50,inf,363,301.31
105,0.7073,0.714211,0.509164,0.013795,0.20,0.20,0,0,42,83,101.91,24,4,42.02,inf,355,298.07
108,0.6917,0.692569,0.489336,0.000000,0.20,0.20,0,1,42,76,93.79,24,5,40.20,inf,361,308.01
111,0.6831,0.723449,0.473619,0.000000,0.20,0.20,0,1,42,73,87.71,24,5,41.94,inf,364,312.35
114,0.7186,0.700829,0.552772,0.050941,0.20,0.20,0,0,42,91,106.57,24,6,47.52,inf,345,287.90
117,0.6846,0.700089,0.524345,0.051489,0.20,0.20,0,1,42,78,98.92,24,2,44.86,inf,362,298.22
120,0.6839,0.694047,0.470238,0.000000,0.20,0.20,0,1,42,71,94.93,24,3,38.40,inf,368,308.67
123,0.7060,0.683009,0.514745,0.015755,0.20,0.20,0,1,42,76,97.73,24,7,43.57,inf,359,300.70
126,0.7058,0.701243,0.530103,0.053672,0.20,0.20,0,1,42,77,95.59,24,8,46.93,inf,357,299.47
129,0.6914,0.708709,0.513729,0.032752,0.20,0.20,0,1,42,76,96.69,24,3,43.35,inf,363,301.95
132,0.6924,0.718040,0.452680,0.000000,0.20,0.20,0,1,42,82,92.87,24,4,37.04,inf,356,312.09
135,0.6904,0.719409,0.525924,0.064397,0.20,0.20,0,1,42,73,93.70,24,5,48.12,inf,364,300.18
138,0.6705,0.681708,0.505367,0.072928,0.20,0.20,0,1,42,63,87.81,24,2,46.30,inf,377,307.89
141,0.7204,0.681285,0.554019,0.033240,0.20,0.20,0,0,42,89,103.81,24,8,48.72,inf,345,289.47
144,0.7131,0.705428,0.531313,0.031294,0.20,0.20,0,0,42,86,102.41,24,6,44.84,inf,350,294.76
147,0.6849,0.732599,0.495006,0.029769,0.20,0.20,0,1,42,70,90.17,24,4,44.58,inf,368,307.25
150,0.7123,0.720395,0.531134,0.010716,0.20,0.20,0,0,42,83,101.21,24,4,45.31,inf,355,295.48
153,0.7219,0.702896,0.558655,0.052169,0.20,0.20,0,1,42,86,102.37,24,9,49.78,inf,347,289.85
156,0.7368,0.738883,0.568119,0.079189,0.20,0.20,0,0,42,101,111.47,24,11,48.76,inf,330,281.76
159,0.7229,0.700031,0.498635,0.030064,0.20,0.20,0,0,42,93,104.78,24,6,39.04,inf,343,298.18
162,0.7076,0.727853,0.533135,0.045665,0.20,0.20,0,0,42,90,103.47,24,5,46.19,inf,347,292.34
165,0.7202,0.710596,0.543766,0.034206,0.20,0.20,0,0,42,85,105.15,24,8,46.04,inf,349,290.82
168,0.6466,0.704911,0.496523,0.091041,0.20,0.20,0,1,42,53,83.98,24,2,46.72,inf,387,311.30
171,0.6909,0.747490,0.523215,0.089381,0.20,0.20,0,1,42,70,95.39,24,4,46.99,inf,368,299.61
174,0.6947,0.716703,0.332626,0.000000,0.20,0.20,0,0,42,78,91.43,24,4,26.54,inf,360,324.03
177,0.6844,0.688082,0.511991,0.090953,0.20,0.20,0,1,42,75,94.43,24,3,43.76,inf,364,303.82
180,0.6894,0.709920,0.342375,0.000000,0.20,0.20,0,1,42,74,92.10,24,3,25.73,inf,365,324.17
183,0.6882,0.735513,0.429582,0.000000,0.20,0.20,0,1,42,76,91.89,24,3,34.97,inf,363,315.14
186,0.7045,0.716882,0.498803,0.016710,0.20,0.20,0,0,42,89,100.44,24,5,40.95,inf,348,300.61
189,0.7038,0.714599,0.462919,0.018098,0.20,0.20,0,0,42,86,98.26,24,5,36.86,inf,351,306.88
192,0.7164,0.712436,0.410055,0.063641,0.20,0.20,0,0,42,89,110.16,24,3,28.75,inf,350,303.08
195,0.7176,0.735598,0.535733,0.043724,0.20,0.20,0,0,42,94,104.75,24,5,43.71,inf,343,293.54
198,0.7181,0.736012,0.493439,0.033060,0.20,0.20,0,0,42,88,104.62,24,3,38.99,inf,351,298.39
201,0.6917,0.719001,0.507094,0.068671,0.20,0.20,0,1,42,75,91.81,24,5,43.88,inf,362,306.32
204,0.7186,0.711544,0.468104,0.050293,0.20,0.20,0,0,42,91,108.04,24,3,33.93,inf,348,300.03
207,0.7020,0.726022,0.512840,0.020223,0.20,0.20,0,0,42,84,102.23,24,4,42.06,inf,354,297.72
210,0.7116,0.727658,0.506920,0.024933,0.20,0.20,0,1,42,84,104.73,24,3,39.89,inf,355,297.38
213,0.7096,0.707332,0.515389,0.019182,0.20,0.20,0,0,42,85,103.70,24,3,41.81,inf,354,296.48
216,0.7025,0.732684,0.488988,0.006941,0.20,0.20,0,0,42,80,102.59,24,3,38.34,inf,359,301.06
219,0.6819,0.700240,0.513022,0.060680,0.20,0.20,0,1,42,68,94.96,24,3,44.67,inf,371,302.37
222,0.7086,0.718755,0.468535,0.015967,0.20,0.20,0,1,42,85,101.89,24,3,37.19,inf,354,302.91
225,0.6877,0.736974,0.434210,0.023224,0.20,0.20,0,1,42,73,89.82,24,3,36.01,inf,366,316.18
