Epoch,Train_Acc,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
1,0.5592,0.943815,0.068136,0.000000,1.00,1.00,1,1,42,24,inf,15,3,424,39.14,22.86,380.00,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
3,0.5471,1.001576,0.148091,0.000000,1.00,1.00,1,1,42,24,inf,12,0,430,39.68,28.60,373.72,0.00,4.60,0.00,1,0,0,0,0.00,0.00,0.00
6,0.5005,1.014161,0.267571,0.074150,1.00,1.00,1,1,42,24,inf,0,0,442,49.96,30.67,361.37,7.96,6.67,0.00,1,0,0,0,0.00,0.00,0.00
9,0.5050,1.002843,0.141355,0.000000,1.00,1.00,1,1,42,24,inf,3,0,439,41.20,25.84,374.96,0.00,1.84,0.00,1,0,0,0,0.00,0.00,0.00
12,0.5055,0.915830,0.013328,0.000000,1.00,1.00,1,1,42,24,inf,4,0,438,38.09,20.97,382.95,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
15,0.5086,0.942121,0.106472,0.000000,1.00,1.00,1,1,42,24,inf,4,0,438,42.00,24.27,375.73,0.00,0.27,0.00,1,0,0,0,0.00,0.00,0.00
18,0.5448,0.912702,0.017090,0.000000,1.00,1.00,1,1,42,24,inf,14,0,428,35.31,20.35,386.34,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
21,0.5076,0.890871,0.047921,0.000000,1.00,1.00,1,1,42,24,inf,3,0,439,33.15,22.11,386.74,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
24,0.5300,0.890825,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,10,0,432,27.44,20.14,394.42,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
27,0.5083,0.915794,0.010316,0.000000,1.00,1.00,1,1,42,24,inf,3,0,439,39.82,22.58,379.60,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
30,0.5426,0.845774,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,13,0,429,37.41,19.15,385.44,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
33,0.5524,0.831123,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,15,0,427,32.00,16.60,393.40,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
36,0.5118,0.806784,0.200215,0.000000,1.00,1.00,1,1,42,24,inf,3,0,439,30.44,24.29,387.27,0.00,0.29,0.00,1,0,0,0,0.00,0.00,0.00
39,0.5111,0.862881,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,4,0,438,31.83,21.30,388.87,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
42,0.5365,0.858820,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,8,0,434,33.19,15.99,392.82,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
45,0.5690,0.863143,0.088271,0.000000,1.00,1.00,1,1,42,24,inf,18,0,424,41.50,22.90,377.59,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
48,0.5547,0.844594,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,15,0,427,32.44,21.44,388.12,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
51,0.5615,0.862136,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,18,0,424,31.00,19.01,391.99,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
54,0.5632,0.851701,0.118383,0.000000,1.00,1.00,1,1,42,24,inf,15,0,427,34.05,21.99,385.96,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
57,0.5526,0.810489,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,14,0,428,30.31,18.98,392.72,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
60,0.5698,0.848395,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,21,0,421,34.25,19.41,388.35,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
63,0.5481,0.833384,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,13,0,429,32.04,20.73,389.23,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
66,0.5282,0.847478,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,7,0,435,24.35,16.78,400.87,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
69,0.5491,0.820714,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,12,0,430,30.80,20.32,390.88,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
72,0.5531,0.804782,0.065317,0.000000,1.00,1.00,1,1,42,24,inf,14,0,428,30.85,21.95,389.19,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
75,0.5612,0.845396,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,17,1,424,33.13,20.93,387.94,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
78,0.5738,0.815930,0.048351,0.000000,1.00,1.00,1,1,42,24,inf,21,0,421,38.77,22.23,381.00,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
81,0.5373,0.814819,0.147638,0.000000,1.00,1.00,1,1,42,24,inf,8,0,434,29.64,24.27,388.09,0.00,0.27,0.00,1,0,0,0,0.00,0.00,0.00
84,0.5411,0.860551,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,8,0,434,29.52,11.09,401.38,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
87,0.5385,0.819167,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,7,0,435,33.37,16.96,391.68,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
90,0.5489,0.832665,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,13,0,429,31.62,18.10,392.28,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
93,0.5338,0.861392,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,5,0,437,25.71,14.82,401.47,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
96,0.5224,0.802238,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,4,0,438,20.60,13.28,408.12,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
99,0.5295,0.829560,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,5,0,437,29.81,20.37,391.83,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
102,0.5126,0.894040,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,4,0,438,32.94,22.05,387.01,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
105,0.5380,0.811137,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,9,0,433,22.03,13.30,406.66,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
108,0.5627,0.906628,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,18,0,424,35.53,19.39,387.08,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
111,0.5443,0.864298,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,10,0,432,37.73,21.77,382.50,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
114,0.5481,0.801570,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,11,0,431,30.72,20.89,390.39,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
117,0.5547,0.821679,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,15,0,427,32.55,18.77,390.68,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
120,0.5562,0.784728,0.129691,0.000000,1.00,1.00,1,1,42,24,inf,14,0,428,33.97,23.19,384.85,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
123,0.5355,0.868418,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,9,0,433,31.02,18.64,392.34,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
126,0.5353,0.813175,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,8,0,434,28.80,18.25,394.95,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
129,0.5599,0.779610,0.010400,0.000000,1.00,1.00,1,1,42,24,inf,14,0,428,37.20,21.46,383.34,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
132,0.5292,0.830850,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,8,0,434,25.39,17.76,398.85,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
135,0.5224,0.846017,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,5,0,437,31.31,18.43,392.26,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
138,0.5325,0.796252,0.033284,0.000000,1.00,1.00,1,1,42,24,inf,7,1,434,24.88,19.42,397.70,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
141,0.5015,0.869046,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,0,0,442,28.75,21.69,391.56,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
144,0.5113,0.794470,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,3,0,439,21.25,18.81,401.94,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
147,0.5531,0.804889,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,11,0,431,29.22,15.67,397.11,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
150,0.5841,0.844639,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,19,0,423,33.05,16.50,392.45,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
153,0.5579,0.823449,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,11,0,431,38.60,19.89,383.51,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
156,0.5506,0.832648,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,11,0,431,33.47,20.47,388.06,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
159,0.5322,0.820259,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,9,0,433,22.42,15.85,403.73,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
162,0.5537,0.811307,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,10,0,432,28.64,15.69,397.68,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
165,0.5738,0.800712,0.141716,0.000000,1.00,1.00,1,1,42,24,inf,17,0,425,34.35,23.27,384.38,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
168,0.5118,0.817481,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,4,0,438,31.76,23.20,387.05,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
171,0.5469,0.816106,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,9,0,433,27.34,19.23,395.43,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
174,0.5350,0.800774,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,8,0,434,25.29,16.00,400.70,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
177,0.5557,0.771410,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,11,0,431,26.05,12.49,403.46,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
180,0.5461,0.843763,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,10,0,432,28.53,13.14,400.34,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
183,0.5466,0.790256,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,8,0,434,35.76,21.91,384.32,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
186,0.5433,0.780723,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,9,0,433,28.63,18.87,394.50,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
189,0.5463,0.770901,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,8,0,434,33.74,21.75,386.51,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
192,0.5557,0.786814,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,10,0,432,28.94,16.98,396.08,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
195,0.5587,0.827016,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,12,0,430,29.61,17.22,395.17,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
198,0.5297,0.779509,0.026777,0.000000,1.00,1.00,1,1,42,24,inf,6,0,436,32.45,21.30,388.25,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
201,0.5469,0.762139,0.110672,0.000000,1.00,1.00,1,1,42,24,inf,10,0,432,34.42,23.27,384.31,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
204,0.5690,0.822736,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,18,0,424,31.22,17.83,392.95,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
207,0.5547,0.757876,0.025479,0.000000,1.00,1.00,1,1,42,24,inf,12,0,430,29.44,17.07,395.49,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
210,0.5348,0.789815,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,6,0,436,25.32,12.28,404.40,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
213,0.5542,0.797154,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,11,0,431,26.83,15.62,399.55,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
216,0.5411,0.753412,0.084503,0.000000,1.00,1.00,1,1,42,24,inf,7,0,435,40.39,22.20,379.41,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
219,0.5476,0.775504,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,9,0,433,36.53,21.61,383.86,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
