Epoch,Train_Acc,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
1,0.5086,1.428508,0.120883,0.130550,10.00,10.00,1,1,42,24,inf,5,1,436,37.73,25.18,379.08,0.00,1.18,0.00,1,0,0,0,0.00,0.00,0.00
3,0.5005,1.581475,0.000000,0.000000,10.00,10.00,1,1,42,24,inf,0,0,442,36.44,19.78,385.78,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
6,0.5005,1.695803,0.209201,0.000000,10.00,10.00,1,1,42,24,inf,0,0,442,48.98,28.96,364.07,6.98,4.96,0.00,1,0,0,0,0.00,0.00,0.00
9,0.5005,1.918614,0.119111,0.000000,10.00,10.00,1,1,42,24,inf,0,0,442,46.16,27.35,368.49,4.16,3.35,0.00,1,0,0,0,0.00,0.00,0.00
12,0.5005,1.947522,0.116438,0.000000,10.00,10.00,1,1,42,24,inf,0,0,442,47.26,27.11,367.63,5.26,3.11,0.00,1,0,0,0,0.00,0.00,0.00
15,0.5005,1.779321,0.080679,0.000000,10.00,10.00,1,1,42,24,inf,0,0,442,43.43,27.05,371.52,1.43,3.05,0.00,1,0,0,0,0.00,0.00,0.00
18,0.5005,1.605979,0.000000,0.000000,10.00,10.00,1,1,42,24,inf,0,0,442,38.35,22.71,380.94,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
21,0.5025,1.551169,0.195911,0.000000,10.00,10.00,1,1,42,24,inf,1,0,441,47.91,32.21,361.88,5.91,8.21,0.00,1,0,0,0,0.00,0.00,0.00
24,0.5597,1.420031,0.086739,0.000000,10.00,10.00,1,1,42,24,inf,27,0,415,47.27,24.66,370.07,5.27,0.66,0.00,1,0,0,0,0.00,0.00,0.00
27,0.5431,1.374051,0.033496,0.000000,10.00,10.00,1,1,42,24,inf,19,0,423,37.85,23.88,380.27,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
30,0.5275,1.341581,0.000000,0.000000,10.00,10.00,1,1,42,24,inf,8,0,434,29.25,18.14,394.61,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
33,0.5378,1.245989,0.000000,0.000000,10.00,10.00,1,1,42,24,inf,18,0,424,39.60,23.00,379.40,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
36,0.5025,1.201550,0.023768,0.000000,10.00,10.00,1,1,42,24,inf,1,0,441,39.74,21.13,381.13,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
39,0.5625,1.138843,0.018463,0.000000,10.00,10.00,1,1,42,24,inf,29,0,413,38.61,22.66,380.73,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
42,0.5453,1.259516,0.000000,0.000000,10.00,10.00,1,1,42,24,inf,16,0,426,37.31,19.13,385.56,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
45,0.5312,1.164928,0.000593,0.000000,10.00,10.00,1,1,42,24,inf,8,0,434,39.89,21.16,380.95,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
48,0.5325,1.161441,0.000000,0.000000,10.00,10.00,1,1,42,24,inf,9,0,433,36.10,20.39,385.50,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
51,0.5239,1.178841,0.000000,0.000000,10.00,10.00,1,1,42,24,inf,7,0,435,26.20,21.14,394.65,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
54,0.5418,1.154990,0.000000,0.000000,10.00,10.00,1,1,42,24,inf,11,0,431,36.51,21.65,383.84,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
57,0.5534,1.119458,0.000000,0.000000,10.00,10.00,1,1,42,24,inf,15,0,427,37.03,20.29,384.68,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
60,0.5015,1.148827,0.045802,0.000000,10.00,10.00,1,1,42,24,inf,2,0,440,23.93,23.19,394.88,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
63,0.5547,1.081382,0.000000,0.000000,10.00,10.00,1,1,42,24,inf,12,0,430,33.79,17.74,390.47,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
66,0.5562,1.160559,0.000000,0.000000,10.00,10.00,1,1,42,24,inf,12,0,430,39.25,23.98,378.77,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
69,0.5204,1.139414,0.000000,0.000000,10.00,10.00,1,1,42,24,inf,6,0,436,32.65,23.82,385.53,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
72,0.5401,1.134071,0.000000,0.000000,10.00,10.00,1,1,42,24,inf,8,0,434,34.90,23.09,384.01,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
75,0.5577,1.087344,0.000000,0.000000,10.00,10.00,1,1,42,24,inf,14,0,428,38.18,19.12,384.70,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
78,0.5212,1.270498,0.000000,0.000000,10.00,10.00,1,1,42,24,inf,6,0,436,31.02,18.93,392.05,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
81,0.5474,1.181790,0.000000,0.000000,10.00,10.00,1,1,42,24,inf,9,0,433,35.79,18.97,387.24,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
84,0.5552,1.163707,0.000000,0.000000,10.00,10.00,1,1,42,24,inf,9,0,433,35.77,14.96,391.27,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
