Epoch,Train_Acc,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
1,0.7204,0.838587,0.000273,0.201002,1.00,0.01,1,0,113,63,inf,96,12,334,105.36,58.98,277.66,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
3,0.7572,0.681627,0.107085,0.194521,1.00,0.01,0,0,113,63,inf,134,29,279,129.21,65.96,246.83,16.21,2.96,0.00,1,0,0,0,0.00,0.00,0.00
6,0.7592,0.690891,0.000000,0.146053,1.00,0.01,0,0,113,63,inf,116,23,303,109.01,53.23,279.76,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
9,0.7610,0.680915,0.074999,0.183565,1.00,0.01,0,0,113,63,inf,115,30,297,108.72,66.78,266.50,0.00,3.78,0.00,1,0,0,0,0.00,0.00,0.00
12,0.7542,0.674013,0.061891,0.216143,1.00,0.01,1,0,113,63,inf,110,22,310,103.30,66.10,272.60,0.00,3.10,0.00,1,0,0,0,0.00,0.00,0.00
15,0.7594,0.642889,0.000000,0.155355,1.00,0.01,0,0,113,63,inf,112,29,301,106.98,59.45,275.56,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
18,0.7484,0.679198,0.000000,0.156244,1.00,0.01,1,0,113,63,inf,107,21,314,100.79,63.11,278.10,0.00,0.11,0.00,1,0,0,0,0.00,0.00,0.00
21,0.7597,0.644981,0.063930,0.160636,1.00,0.01,1,0,113,63,inf,110,26,306,109.47,65.41,267.13,0.00,2.41,0.00,1,0,0,0,0.00,0.00,0.00
24,0.7582,0.661869,0.088929,0.168199,1.00,0.01,1,0,113,63,inf,110,22,310,107.08,68.91,266.02,0.00,5.91,0.00,1,0,0,0,0.00,0.00,0.00
27,0.7340,0.648264,0.000000,0.219788,1.00,0.01,1,0,113,63,inf,107,9,326,98.17,61.95,281.89,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
30,0.7607,0.666784,0.020700,0.218660,1.00,0.01,0,0,113,63,inf,115,21,306,115.25,62.94,263.80,2.25,0.00,0.00,1,0,0,0,0.00,0.00,0.00
33,0.7305,0.667017,0.000000,0.162100,1.00,0.01,1,0,113,63,inf,105,5,332,101.35,61.89,278.75,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
36,0.7531,0.660731,0.026448,0.233607,1.00,0.01,1,0,113,63,inf,108,21,313,108.49,64.11,269.39,0.00,1.11,0.00,1,0,0,0,0.00,0.00,0.00
39,0.7562,0.662525,0.051498,0.166248,1.00,0.01,0,0,113,63,inf,115,17,310,116.91,62.46,262.63,3.91,0.00,0.00,1,0,0,0,0.00,0.00,0.00
42,0.7295,0.667373,0.000000,0.169979,1.00,0.01,1,0,113,63,inf,98,8,336,100.38,47.69,293.93,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
45,0.7431,0.674447,0.119134,0.224544,1.00,0.01,1,0,113,63,inf,103,21,318,105.88,70.82,265.31,0.00,7.82,0.00,1,0,0,0,0.00,0.00,0.00
48,0.7335,0.668151,0.148904,0.236446,1.00,0.01,1,0,113,63,inf,94,11,337,95.43,73.02,273.55,0.00,10.02,0.00,1,0,0,0,0.00,0.00,0.00
51,0.7275,0.645486,0.024344,0.202247,1.00,0.01,1,0,113,63,inf,94,15,333,96.15,63.52,282.33,0.00,0.52,0.00,1,0,0,0,0.00,0.00,0.00
