Epoch,Train_Acc,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
1,0.7091,0.888976,0.000000,0.030928,0.01,1.00,1,0,113,63,inf,99,12,331,103.29,44.73,293.99,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
3,0.7370,0.725352,0.060839,0.115872,0.01,1.00,1,0,113,63,inf,99,23,320,102.61,63.35,276.05,0.00,0.35,0.00,1,0,0,0,0.00,0.00,0.00
6,0.7516,0.704128,0.000000,0.053799,0.01,1.00,1,0,113,63,inf,104,29,309,109.38,59.93,272.69,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
9,0.7569,0.702722,0.073157,0.168996,0.01,1.00,1,0,113,63,inf,105,36,301,113.04,72.77,256.19,0.04,9.77,0.00,1,0,0,0,0.00,0.00,0.00
12,0.7476,0.723171,0.125111,0.074250,0.01,1.00,0,0,113,63,inf,141,18,283,128.72,61.20,252.08,15.72,0.00,0.00,1,0,0,0,0.00,0.00,0.00
15,0.7531,0.699435,0.003426,0.001327,0.01,1.00,0,0,113,63,inf,110,26,306,112.26,53.04,276.70,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
18,0.7456,0.684177,0.007699,0.014398,0.01,1.00,0,0,113,63,inf,120,15,307,112.35,53.98,275.67,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
21,0.7431,0.714368,0.000000,0.042013,0.01,1.00,1,0,113,63,inf,104,18,320,103.82,49.09,289.09,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
24,0.7511,0.697019,0.068566,0.033613,0.01,1.00,0,0,113,63,inf,120,18,304,120.39,54.74,266.86,7.39,0.00,0.00,1,0,0,0,0.00,0.00,0.00
27,0.7466,0.688366,0.048171,0.020308,0.01,1.00,0,0,113,63,inf,121,17,304,117.77,54.11,270.11,4.77,0.00,0.00,1,0,0,0,0.00,0.00,0.00
30,0.7511,0.681186,0.026179,0.014400,0.01,1.00,0,0,113,63,inf,112,21,309,115.14,54.57,272.29,2.14,0.00,0.00,1,0,0,0,0.00,0.00,0.00
33,0.7330,0.702449,0.000000,0.000000,0.01,1.00,1,1,113,63,inf,96,17,329,99.98,52.95,289.07,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
36,0.7191,0.672148,0.000000,0.081214,0.01,1.00,1,1,113,63,inf,87,15,340,92.06,59.54,290.40,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
39,0.7537,0.671513,0.012029,0.053283,0.01,1.00,1,0,113,63,inf,104,27,311,115.52,62.80,263.69,2.52,0.00,0.00,1,0,0,0,0.00,0.00,0.00
42,0.7252,0.660334,0.073284,0.126940,0.01,1.00,1,1,113,63,inf,91,18,333,100.81,67.22,273.97,0.00,4.22,0.00,1,0,0,0,0.00,0.00,0.00
45,0.7559,0.683654,0.025327,0.049940,0.01,1.00,1,0,113,63,inf,103,30,309,114.69,60.99,266.32,1.69,0.00,0.00,1,0,0,0,0.00,0.00,0.00
48,0.7421,0.664234,0.000000,0.028293,0.01,1.00,1,0,113,63,inf,102,20,320,110.33,53.85,277.82,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
51,0.7350,0.667759,0.000000,0.031686,0.01,1.00,1,1,113,63,inf,95,17,330,104.32,57.27,280.41,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
54,0.7584,0.679636,0.041042,0.009853,0.01,1.00,1,0,113,63,inf,106,28,308,116.75,59.12,266.14,3.75,0.00,0.00,1,0,0,0,0.00,0.00,0.00
57,0.7521,0.679339,0.008436,0.046005,0.01,1.00,1,0,113,63,inf,102,26,314,114.25,59.14,268.61,1.25,0.00,0.00,1,0,0,0,0.00,0.00,0.00
60,0.7579,0.675727,0.025896,0.053593,0.01,1.00,1,0,113,63,inf,109,27,306,115.32,59.12,267.56,2.32,0.00,0.00,1,0,0,0,0.00,0.00,0.00
63,0.7315,0.694200,0.000000,0.070086,0.01,1.00,1,1,113,63,inf,92,15,335,103.63,61.71,276.66,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
66,0.7418,0.664332,0.000000,0.077096,0.01,1.00,1,0,113,63,inf,101,16,325,108.94,55.32,277.74,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
69,0.7496,0.657649,0.038552,0.054952,0.01,1.00,1,0,113,63,inf,105,22,315,117.10,61.27,263.64,4.10,0.00,0.00,1,0,0,0,0.00,0.00,0.00
72,0.7098,0.661856,0.000000,0.030074,0.01,1.00,1,1,113,63,inf,87,18,337,91.62,52.68,297.70,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
75,0.7383,0.720316,0.000000,0.000000,0.01,1.00,1,0,113,63,inf,97,14,331,108.62,48.78,284.59,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
78,0.7489,0.683642,0.000000,0.041159,0.01,1.00,1,0,113,63,inf,104,17,321,110.76,56.59,274.65,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
81,0.7050,0.676451,0.000000,0.080862,0.01,1.00,1,1,113,63,inf,80,18,344,90.16,60.84,291.00,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
84,0.7479,0.682269,0.040760,0.025382,0.01,1.00,1,0,113,63,inf,102,19,321,117.35,49.98,274.67,4.35,0.00,0.00,1,0,0,0,0.00,0.00,0.00
87,0.7287,0.686238,0.000000,0.007090,0.01,1.00,1,1,113,63,inf,93,13,336,103.59,55.37,283.04,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
90,0.7123,0.694236,0.000000,0.000000,0.01,1.00,1,1,113,63,inf,89,8,345,100.32,53.05,288.63,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
93,0.7499,0.699486,0.046974,0.018936,0.01,1.00,1,0,113,63,inf,104,18,320,118.09,53.49,270.43,5.09,0.00,0.00,1,0,0,0,0.00,0.00,0.00
