Epoch,Train_Acc,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
1,0.7232,0.819697,0.017458,0.154071,0.10,0.10,1,0,113,63,inf,110,16,316,112.10,55.22,274.68,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
3,0.7552,0.676723,0.039910,0.112690,0.10,0.10,0,0,113,63,inf,113,31,298,115.00,59.91,267.09,2.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
6,0.7756,0.649101,0.104734,0.117592,0.10,0.10,0,0,113,63,inf,124,39,279,135.20,64.39,242.41,22.20,1.39,0.00,1,0,0,0,0.00,0.00,0.00
9,0.7806,0.621546,0.103554,0.146670,0.10,0.10,0,0,113,63,inf,127,42,273,135.82,64.29,241.89,22.82,1.29,0.00,1,0,0,0,0.00,0.00,0.00
12,0.7751,0.638073,0.148181,0.109003,0.10,0.10,0,0,113,63,inf,120,34,288,131.06,53.65,257.29,18.06,0.00,0.00,1,0,0,0,0.00,0.00,0.00
15,0.7793,0.604448,0.083383,0.121529,0.10,0.10,0,0,113,63,inf,119,39,284,132.64,64.04,245.32,19.64,1.04,0.00,1,0,0,0,0.00,0.00,0.00
18,0.7798,0.621688,0.123405,0.120961,0.10,0.10,0,0,113,63,inf,115,34,293,128.49,56.37,257.14,15.49,0.00,0.00,1,0,0,0,0.00,0.00,0.00
21,0.7741,0.599738,0.096543,0.146729,0.10,0.10,0,0,113,63,inf,115,30,297,125.61,69.13,247.25,12.61,6.13,0.00,1,0,0,0,0.00,0.00,0.00
24,0.7831,0.610000,0.101979,0.149280,0.10,0.10,0,0,113,63,inf,121,41,280,137.37,64.54,240.09,24.37,1.54,0.00,1,0,0,0,0.00,0.00,0.00
27,0.7673,0.595212,0.088192,0.199168,0.10,0.10,1,0,113,63,inf,112,26,304,120.49,70.11,251.40,7.49,7.11,0.00,1,0,0,0,0.00,0.00,0.00
30,0.7723,0.627700,0.075316,0.174592,0.10,0.10,0,0,113,63,inf,114,32,296,122.59,61.23,258.18,9.59,0.00,0.00,1,0,0,0,0.00,0.00,0.00
33,0.7756,0.589659,0.120648,0.129568,0.10,0.10,0,0,113,63,inf,115,31,296,128.26,56.63,257.10,15.26,0.00,0.00,1,0,0,0,0.00,0.00,0.00
36,0.7635,0.591814,0.033476,0.144474,0.10,0.10,1,0,113,63,inf,110,23,309,119.64,63.19,259.17,6.64,0.19,0.00,1,0,0,0,0.00,0.00,0.00
39,0.7801,0.618329,0.146481,0.153003,0.10,0.10,0,0,113,63,inf,116,30,296,131.75,60.50,249.75,18.75,0.00,0.00,1,0,0,0,0.00,0.00,0.00
42,0.7748,0.631722,0.081427,0.154998,0.10,0.10,1,0,113,63,inf,112,30,300,122.79,58.67,260.54,9.79,0.00,0.00,1,0,0,0,0.00,0.00,0.00
45,0.7809,0.608304,0.166236,0.155211,0.10,0.10,0,0,113,63,inf,117,41,284,135.01,61.81,245.18,22.01,0.00,0.00,1,0,0,0,0.00,0.00,0.00
48,0.7720,0.602536,0.099113,0.173151,0.10,0.10,1,0,113,63,inf,113,27,302,124.71,60.43,256.86,11.71,0.00,0.00,1,0,0,0,0.00,0.00,0.00
