Epoch,Train_Acc,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
1,0.7312,0.823386,0.123168,0.207919,0.00,0.00,0,0,113,63,inf,137,7,298,135.03,68.05,238.92,22.03,5.05,0.00,1,0,0,0,0.00,0.00,0.00
3,0.7776,0.634387,0.159870,0.208316,0.00,0.00,0,0,113,63,inf,130,36,276,136.54,74.04,231.42,23.54,11.04,0.00,1,0,0,0,0.00,0.00,0.00
6,0.7869,0.578946,0.178490,0.205259,0.00,0.00,0,0,113,63,inf,128,42,272,130.98,79.64,231.38,17.98,16.64,0.00,1,0,0,0,0.00,0.00,0.00
9,0.7917,0.548333,0.158758,0.218352,0.00,0.00,0,0,113,63,inf,135,42,265,144.98,69.21,227.81,31.98,6.21,0.00,1,0,0,0,0.00,0.00,0.00
12,0.7972,0.553036,0.140682,0.213342,0.00,0.00,0,0,113,63,inf,129,45,268,139.44,68.46,234.10,26.44,5.46,0.00,1,0,0,0,0.00,0.00,0.00
15,0.7995,0.548096,0.143134,0.196904,0.00,0.00,0,0,113,63,inf,123,49,270,137.16,71.25,233.59,24.16,8.25,0.00,1,0,0,0,0.00,0.00,0.00
18,0.8081,0.533157,0.114866,0.198810,0.00,0.00,0,0,113,63,inf,138,41,263,145.29,62.33,234.38,32.29,0.00,0.00,1,0,0,0,0.00,0.00,0.00
21,0.8159,0.549171,0.165785,0.226765,0.00,0.00,0,0,113,63,inf,131,51,260,148.22,68.60,225.18,35.22,5.60,0.00,1,0,0,0,0.00,0.00,0.00
24,0.8060,0.508913,0.120088,0.196019,0.00,0.00,0,0,113,63,inf,126,42,274,142.17,64.59,235.24,29.17,1.59,0.00,1,0,0,0,0.00,0.00,0.00
27,0.8232,0.505566,0.193010,0.241241,0.00,0.00,0,0,113,63,inf,142,49,251,152.64,71.82,217.55,39.64,8.82,0.00,1,0,0,0,0.00,0.00,0.00
30,0.8199,0.493604,0.171945,0.221934,0.00,0.00,0,0,113,63,inf,127,50,265,138.54,74.40,229.05,25.54,11.40,0.00,1,0,0,0,0.00,0.00,0.00
33,0.8252,0.525873,0.135364,0.218080,0.00,0.00,0,0,113,63,inf,138,41,263,146.28,65.79,229.92,33.28,2.79,0.00,1,0,0,0,0.00,0.00,0.00
36,0.8272,0.517923,0.180500,0.231712,0.00,0.00,0,0,113,63,inf,120,56,266,135.94,78.66,227.40,22.94,15.66,0.00,1,0,0,0,0.00,0.00,0.00
39,0.8365,0.486539,0.231768,0.248401,0.00,0.00,0,0,113,63,inf,138,56,248,151.50,79.07,211.43,38.50,16.07,0.00,1,0,0,0,0.00,0.00,0.00
42,0.8305,0.481827,0.209546,0.247348,0.00,0.00,0,0,113,63,inf,124,54,264,135.79,83.24,222.97,22.79,20.24,0.00,1,0,0,0,0.00,0.00,0.00
45,0.8363,0.478786,0.201646,0.232438,0.00,0.00,0,0,113,63,inf,128,49,265,137.54,80.26,224.20,24.54,17.26,0.00,1,0,0,0,0.00,0.00,0.00
48,0.8428,0.491065,0.190607,0.233673,0.00,0.00,0,0,113,63,inf,140,48,254,149.14,71.75,221.12,36.14,8.75,0.00,1,0,0,0,0.00,0.00,0.00
51,0.8370,0.462765,0.131394,0.204370,0.00,0.00,0,0,113,63,inf,127,44,271,137.71,68.31,235.98,24.71,5.31,0.00,1,0,0,0,0.00,0.00,0.00
