Epoch,Train_Acc,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
1,0.5005,1.049391,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,0,0,442,9.49,10.36,422.15,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
3,0.5005,0.715052,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,0,0,442,5.61,5.42,430.98,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
6,0.5005,0.637130,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,0,0,442,6.75,5.46,429.79,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
9,0.5005,0.640382,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,0,0,442,7.41,5.92,428.67,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
12,0.5010,0.616448,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,0,0,442,17.70,10.12,414.18,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
15,0.5005,0.607687,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,0,0,442,5.61,3.27,433.12,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
18,0.5005,0.600222,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,0,0,442,7.50,2.48,432.02,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
21,0.5010,0.575588,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,2,0,440,12.64,4.70,424.65,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
24,0.5005,0.574403,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,0,0,442,6.11,4.87,431.03,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
27,0.5008,0.556494,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,1,0,441,13.11,7.21,421.68,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
30,0.5005,0.560639,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,0,0,442,10.16,10.59,421.25,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
33,0.5005,0.571574,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,0,0,442,7.11,3.52,431.37,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
36,0.5005,0.633406,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,0,0,442,5.22,3.02,433.76,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
39,0.5010,0.564632,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,0,0,442,11.13,7.36,423.51,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
42,0.5005,0.559048,0.000000,0.000000,1.00,1.00,1,1,42,24,inf,0,0,442,6.70,4.00,431.30,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
