Epoch,Train_Acc,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
1,0.5005,1.764281,0.000000,0.000000,10.00,10.00,1,1,113,63,inf,0,0,442,17.44,6.72,417.84,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
3,0.5005,1.322141,0.000000,0.000000,10.00,10.00,1,1,113,63,inf,0,0,442,22.21,4.48,415.31,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
6,0.5005,0.791502,0.000000,0.000000,10.00,10.00,1,1,113,63,inf,0,0,442,2.66,2.50,436.85,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
9,0.5005,0.769332,0.000000,0.000000,10.00,10.00,1,1,113,63,inf,0,0,442,14.25,9.32,418.44,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
12,0.5005,0.855778,0.000000,0.000000,10.00,10.00,1,1,113,63,inf,0,0,442,4.94,3.18,433.88,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
15,0.5005,1.098702,0.000000,0.000000,10.00,10.00,1,1,113,63,inf,0,0,442,6.42,1.90,433.68,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
18,0.5005,0.742316,0.000000,0.000000,10.00,10.00,1,1,113,63,inf,0,0,442,2.93,2.48,436.60,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
21,0.5005,0.668205,0.000000,0.000000,10.00,10.00,1,1,113,63,inf,0,0,442,4.01,3.66,434.33,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
24,0.5005,0.645701,0.000000,0.000000,10.00,10.00,1,1,113,63,inf,0,0,442,6.35,5.84,429.81,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
27,0.5005,0.653772,0.000000,0.000000,10.00,10.00,1,1,113,63,inf,0,0,442,11.50,8.90,421.60,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
30,0.5005,1.126209,0.000000,0.000000,10.00,10.00,1,1,113,63,inf,0,0,442,8.84,1.86,431.30,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
33,0.5005,0.657553,0.000000,0.000000,10.00,10.00,1,1,113,63,inf,0,0,442,4.72,1.99,435.30,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
36,0.5005,0.641270,0.000000,0.000000,10.00,10.00,1,1,113,63,inf,0,0,442,5.93,3.22,432.85,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
39,0.5005,0.613890,0.000000,0.000000,10.00,10.00,1,1,113,63,inf,0,0,442,6.85,3.95,431.21,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
42,0.5005,0.607925,0.000000,0.000000,10.00,10.00,1,1,113,63,inf,0,0,442,6.30,3.40,432.30,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
45,0.5005,0.585141,0.000000,0.000000,10.00,10.00,1,1,113,63,inf,0,0,442,6.81,3.33,431.86,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
48,0.5005,0.582222,0.000000,0.000000,10.00,10.00,1,1,113,63,inf,0,0,442,8.52,4.28,429.20,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
51,0.5008,0.579875,0.000000,0.000000,10.00,10.00,1,1,113,63,inf,0,0,442,11.74,5.60,424.67,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
54,0.5025,0.572922,0.000000,0.000000,10.00,10.00,1,1,113,63,inf,1,0,441,13.83,7.17,421.01,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
57,0.5005,0.680986,0.000000,0.000000,10.00,10.00,1,1,113,63,inf,0,0,442,1.07,1.05,439.88,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
