Epoch,Train_Acc,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
1,0.7413,0.734524,0.234733,0.599294,0.00,0.00,0,0,113,63,inf,162,5,275,149.02,38.82,254.15,36.02,0.00,0.00,1,0,0,0,0.00,0.00,0.00
3,0.7642,0.591599,0.144756,0.647714,0.00,0.00,0,0,113,63,inf,129,20,293,136.32,47.35,258.33,23.32,0.00,0.00,1,0,0,0,0.00,0.00,0.00
6,0.7728,0.575467,0.231295,0.665508,0.00,0.00,0,0,113,63,inf,147,63,232,150.01,81.81,210.18,37.01,18.81,0.00,1,0,0,0,0.00,0.00,0.00
9,0.7814,0.566990,0.153127,0.641930,0.00,0.00,0,0,113,63,inf,125,52,265,148.23,62.53,231.24,35.23,0.00,0.00,1,0,0,0,0.00,0.00,0.00
12,0.7874,0.540842,0.188686,0.663910,0.00,0.00,0,0,113,63,inf,132,62,248,147.27,67.41,227.33,34.27,4.41,0.00,1,0,0,0,0.00,0.00,0.00
15,0.7912,0.566915,0.166468,0.666520,0.00,0.00,0,0,113,63,inf,127,72,243,145.53,81.07,215.39,32.53,18.07,0.00,1,0,0,0,0.00,0.00,0.00
18,0.7874,0.531140,0.038143,0.606101,0.00,0.00,1,0,113,63,inf,112,46,284,121.19,61.88,258.92,8.19,0.00,0.00,1,0,0,0,0.00,0.00,0.00
21,0.7836,0.548932,0.155440,0.658303,0.00,0.00,1,0,113,63,inf,121,66,255,139.70,78.76,223.53,26.70,15.76,0.00,1,0,0,0,0.00,0.00,0.00
24,0.7972,0.527265,0.255896,0.602641,0.00,0.00,0,0,113,63,inf,140,41,261,157.51,47.24,237.25,44.51,0.00,0.00,1,0,0,0,0.00,0.00,0.00
27,0.8093,0.512568,0.207763,0.669475,0.00,0.00,0,0,113,63,inf,131,65,246,144.25,76.23,221.52,31.25,13.23,0.00,1,0,0,0,0.00,0.00,0.00
30,0.8040,0.546030,0.137246,0.647204,0.00,0.00,0,0,113,63,inf,127,56,259,140.71,70.24,231.05,27.71,7.24,0.00,1,0,0,0,0.00,0.00,0.00
33,0.8013,0.516458,0.158314,0.648196,0.00,0.00,0,0,113,63,inf,153,55,234,160.06,65.49,216.44,47.06,2.49,0.00,1,0,0,0,0.00,0.00,0.00
36,0.8028,0.532093,0.172150,0.649372,0.00,0.00,0,0,113,63,inf,154,58,230,160.59,68.22,213.19,47.59,5.22,0.00,1,0,0,0,0.00,0.00,0.00
39,0.8101,0.506193,0.127885,0.637434,0.00,0.00,0,0,113,63,inf,134,48,260,145.51,61.69,234.81,32.51,0.00,0.00,1,0,0,0,0.00,0.00,0.00
42,0.8186,0.517594,0.212518,0.675168,0.00,0.00,0,0,113,63,inf,132,82,228,143.26,85.47,213.28,30.26,22.47,0.00,1,0,0,0,0.00,0.00,0.00
45,0.8186,0.496171,0.233806,0.677787,0.00,0.00,0,0,113,63,inf,133,80,229,148.83,84.49,208.68,35.83,21.49,0.00,1,0,0,0,0.00,0.00,0.00
48,0.8202,0.500076,0.229604,0.679772,0.00,0.00,0,0,113,63,inf,141,73,228,156.20,75.88,209.92,43.20,12.88,0.00,1,0,0,0,0.00,0.00,0.00
51,0.8280,0.500613,0.238440,0.637505,0.00,0.00,0,0,113,63,inf,135,59,248,152.41,67.62,221.97,39.41,4.62,0.00,1,0,0,0,0.00,0.00,0.00
54,0.8307,0.485359,0.164843,0.646202,0.00,0.00,0,0,113,63,inf,139,56,247,149.33,64.90,227.77,36.33,1.90,0.00,1,0,0,0,0.00,0.00,0.00
57,0.8287,0.482814,0.219610,0.674201,0.00,0.00,0,0,113,63,inf,142,65,235,155.26,72.45,214.28,42.26,9.45,0.00,1,0,0,0,0.00,0.00,0.00
60,0.8282,0.489854,0.118991,0.625056,0.00,0.00,0,0,113,63,inf,135,61,246,146.12,70.26,225.62,33.12,7.26,0.00,1,0,0,0,0.00,0.00,0.00
63,0.8219,0.478725,0.219156,0.547029,0.00,0.00,0,0,113,63,inf,147,30,265,151.95,45.58,244.47,38.95,0.00,0.00,1,0,0,0,0.00,0.00,0.00
66,0.8128,0.549710,0.221637,0.671643,0.00,0.00,0,0,113,63,inf,140,63,239,158.35,77.91,205.74,45.35,14.91,0.00,1,0,0,0,0.00,0.00,0.00
69,0.8300,0.490580,0.214120,0.671987,0.00,0.00,0,0,113,63,inf,126,69,247,136.93,82.80,222.27,23.93,19.80,0.00,1,0,0,0,0.00,0.00,0.00
72,0.8393,0.462830,0.191751,0.659474,0.00,0.00,0,0,113,63,inf,130,74,238,140.13,79.50,222.37,27.13,16.50,0.00,1,0,0,0,0.00,0.00,0.00
75,0.8179,0.511591,0.231683,0.673544,0.00,0.00,0,0,113,63,inf,132,84,226,140.90,100.55,200.55,27.90,37.55,0.00,1,0,0,0,0.00,0.00,0.00
78,0.8149,0.470162,0.164736,0.641112,0.00,0.00,0,0,113,63,inf,113,69,260,123.69,83.30,235.01,10.69,20.30,0.00,1,0,0,0,0.00,0.00,0.00
81,0.8232,0.506153,0.210622,0.622017,0.00,0.00,0,0,113,63,inf,130,43,269,142.66,61.04,238.30,29.66,0.00,0.00,1,0,0,0,0.00,0.00,0.00
84,0.8320,0.474008,0.139270,0.639998,0.00,0.00,0,0,113,63,inf,138,55,249,143.02,66.39,232.59,30.02,3.39,0.00,1,0,0,0,0.00,0.00,0.00
87,0.8431,0.452192,0.133594,0.636129,0.00,0.00,0,0,113,63,inf,128,62,252,142.40,65.84,233.76,29.40,2.84,0.00,1,0,0,0,0.00,0.00,0.00
