Epoch,Train_Acc,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
1,0.7622,0.716988,0.718613,0.275115,0.01,0.01,0,0,42,24,inf,150,54,238,153.13,82.36,206.50,111.13,58.36,0.00,1,0,0,0,0.00,0.00,0.00
3,0.7594,0.635930,0.682623,0.241391,0.01,0.01,0,0,42,24,inf,159,42,241,160.35,60.92,220.73,118.35,36.92,0.00,1,0,0,0,0.00,0.00,0.00
6,0.7791,0.564865,0.660058,0.206067,0.01,0.01,0,0,42,24,inf,121,49,272,137.23,58.28,246.49,95.23,34.28,0.00,1,0,0,0,0.00,0.00,0.00
9,0.7798,0.600321,0.703004,0.239990,0.01,0.01,0,0,42,24,inf,133,59,250,148.68,77.06,216.26,106.68,53.06,0.00,1,0,0,0,0.00,0.00,0.00
12,0.7917,0.574032,0.650658,0.204974,0.01,0.01,0,0,42,24,inf,139,61,242,153.81,64.25,223.94,111.81,40.25,0.00,1,0,0,0,0.00,0.00,0.00
15,0.7791,0.540702,0.615523,0.199367,0.01,0.01,0,0,42,24,inf,115,39,288,129.83,49.46,262.71,87.83,25.46,0.00,1,0,0,0,0.00,0.00,0.00
18,0.8010,0.535173,0.692250,0.236856,0.01,0.01,0,0,42,24,inf,125,56,261,135.12,71.21,235.68,93.12,47.21,0.00,1,0,0,0,0.00,0.00,0.00
21,0.7879,0.564784,0.694994,0.246161,0.01,0.01,0,0,42,24,inf,155,47,240,165.10,65.74,211.16,123.10,41.74,0.00,1,0,0,0,0.00,0.00,0.00
24,0.7952,0.533722,0.642215,0.186823,0.01,0.01,0,0,42,24,inf,113,46,283,132.85,61.22,247.94,90.85,37.22,0.00,1,0,0,0,0.00,0.00,0.00
27,0.8050,0.523582,0.658122,0.195349,0.01,0.01,0,0,42,24,inf,132,53,257,145.78,61.27,234.94,103.78,37.27,0.00,1,0,0,0,0.00,0.00,0.00
30,0.8020,0.517405,0.669178,0.195807,0.01,0.01,0,0,42,24,inf,113,58,271,126.64,71.99,243.37,84.64,47.99,0.00,1,0,0,0,0.00,0.00,0.00
33,0.7856,0.547608,0.570435,0.199660,0.01,0.01,0,0,42,24,inf,126,32,284,139.24,51.57,251.19,97.24,27.57,0.00,1,0,0,0,0.00,0.00,0.00
36,0.8003,0.516067,0.620489,0.207987,0.01,0.01,0,0,42,24,inf,133,40,269,138.67,52.30,251.04,96.67,28.30,0.00,1,0,0,0,0.00,0.00,0.00
39,0.8113,0.532633,0.632524,0.172346,0.01,0.01,0,0,42,24,inf,122,52,268,135.13,66.98,239.89,93.13,42.98,0.00,1,0,0,0,0.00,0.00,0.00
42,0.8169,0.504443,0.656222,0.252200,0.01,0.01,0,0,42,24,inf,148,36,258,155.37,51.05,235.58,113.37,27.05,0.00,1,0,0,0,0.00,0.00,0.00
45,0.8151,0.508255,0.679531,0.226506,0.01,0.01,0,0,42,24,inf,135,35,272,148.45,63.52,230.03,106.45,39.52,0.00,1,0,0,0,0.00,0.00,0.00
48,0.8106,0.526603,0.676170,0.202600,0.01,0.01,0,0,42,24,inf,110,71,261,126.62,86.23,229.15,84.62,62.23,0.00,1,0,0,0,0.00,0.00,0.00
51,0.8048,0.533260,0.686326,0.230655,0.01,0.01,0,0,42,24,inf,126,59,257,144.69,72.21,225.10,102.69,48.21,0.00,1,0,0,0,0.00,0.00,0.00
54,0.8083,0.507443,0.659295,0.220386,0.01,0.01,0,0,42,24,inf,135,50,257,152.83,56.75,232.42,110.83,32.75,0.00,1,0,0,0,0.00,0.00,0.00
57,0.8181,0.494778,0.680917,0.223949,0.01,0.01,0,0,42,24,inf,124,63,255,134.23,74.67,233.09,92.23,50.67,0.00,1,0,0,0,0.00,0.00,0.00
60,0.8194,0.484032,0.685030,0.222680,0.01,0.01,0,0,42,24,inf,120,61,261,141.67,71.59,228.74,99.67,47.59,0.00,1,0,0,0,0.00,0.00,0.00
63,0.8186,0.478647,0.673257,0.250701,0.01,0.01,0,0,42,24,inf,146,49,247,152.96,62.98,226.06,110.96,38.98,0.00,1,0,0,0,0.00,0.00,0.00
66,0.8307,0.475489,0.654178,0.252585,0.01,0.01,0,0,42,24,inf,145,39,258,154.32,55.93,231.75,112.32,31.93,0.00,1,0,0,0,0.00,0.00,0.00
69,0.8421,0.493624,0.659938,0.241645,0.01,0.01,0,0,42,24,inf,127,53,262,140.86,66.40,234.74,98.86,42.40,0.00,1,0,0,0,0.00,0.00,0.00
72,0.8343,0.468758,0.656037,0.181861,0.01,0.01,0,0,42,24,inf,128,50,264,141.67,60.61,239.71,99.67,36.61,0.00,1,0,0,0,0.00,0.00,0.00
75,0.8123,0.492419,0.643228,0.184653,0.01,0.01,0,0,42,24,inf,130,36,276,144.46,55.04,242.50,102.46,31.04,0.00,1,0,0,0,0.00,0.00,0.00
78,0.8295,0.484695,0.634148,0.219720,0.01,0.01,0,0,42,24,inf,142,36,264,155.70,51.59,234.71,113.70,27.59,0.00,1,0,0,0,0.00,0.00,0.00
81,0.8249,0.471098,0.652196,0.189831,0.01,0.01,0,0,42,24,inf,118,45,279,135.09,62.73,244.18,93.09,38.73,0.00,1,0,0,0,0.00,0.00,0.00
84,0.8113,0.462180,0.596753,0.214500,0.01,0.01,0,0,42,24,inf,118,30,294,135.76,49.80,256.44,93.76,25.80,0.00,1,0,0,0,0.00,0.00,0.00
87,0.8365,0.436365,0.660608,0.224237,0.01,0.01,0,0,42,24,inf,141,42,259,153.99,57.08,230.93,111.99,33.08,0.00,1,0,0,0,0.00,0.00,0.00
90,0.8408,0.452637,0.658560,0.186046,0.01,0.01,0,0,42,24,inf,139,51,252,145.53,67.57,228.89,103.53,43.57,0.00,1,0,0,0,0.00,0.00,0.00
93,0.8292,0.477571,0.640113,0.198374,0.01,0.01,0,0,42,24,inf,127,44,271,138.57,60.78,242.65,96.57,36.78,0.00,1,0,0,0,0.00,0.00,0.00
96,0.8368,0.450127,0.651283,0.187579,0.01,0.01,0,0,42,24,inf,118,48,276,127.37,68.47,246.16,85.37,44.47,0.00,1,0,0,0,0.00,0.00,0.00
99,0.8360,0.489325,0.662814,0.185031,0.01,0.01,0,0,42,24,inf,121,52,269,131.78,66.67,243.55,89.78,42.67,0.00,1,0,0,0,0.00,0.00,0.00
102,0.8338,0.455311,0.604770,0.216559,0.01,0.01,0,0,42,24,inf,128,31,283,140.37,50.06,251.57,98.37,26.06,0.00,1,0,0,0,0.00,0.00,0.00
105,0.8332,0.429127,0.549135,0.270626,0.01,0.01,0,0,42,24,inf,140,22,280,145.69,38.21,258.10,103.69,14.21,0.00,1,0,0,0,0.00,0.00,0.00
108,0.8516,0.431310,0.655255,0.195227,0.01,0.01,0,0,42,24,inf,133,48,261,144.65,58.81,238.54,102.65,34.81,0.00,1,0,0,0,0.00,0.00,0.00
111,0.8426,0.444723,0.606046,0.241181,0.01,0.01,0,0,42,24,inf,138,30,274,153.02,50.44,238.54,111.02,26.44,0.00,1,0,0,0,0.00,0.00,0.00
114,0.8456,0.440638,0.640114,0.180965,0.01,0.01,0,0,42,24,inf,125,49,268,135.88,63.80,242.32,93.88,39.80,0.00,1,0,0,0,0.00,0.00,0.00
117,0.8393,0.420386,0.597733,0.223980,0.01,0.01,0,0,42,24,inf,126,21,295,136.42,45.23,260.34,94.42,21.23,0.00,1,0,0,0,0.00,0.00,0.00
120,0.8463,0.446741,0.629103,0.163925,0.01,0.01,0,0,42,24,inf,119,43,280,126.34,60.68,254.98,84.34,36.68,0.00,1,0,0,0,0.00,0.00,0.00
123,0.8504,0.432100,0.605117,0.242005,0.01,0.01,0,0,42,24,inf,130,45,267,142.83,52.57,246.60,100.83,28.57,0.00,1,0,0,0,0.00,0.00,0.00
126,0.8300,0.435453,0.582409,0.189803,0.01,0.01,0,0,42,24,inf,117,35,290,131.32,49.46,261.22,89.32,25.46,0.00,1,0,0,0,0.00,0.00,0.00
129,0.8310,0.468181,0.617646,0.235855,0.01,0.01,0,0,42,24,inf,132,29,281,140.93,51.65,249.42,98.93,27.65,0.00,1,0,0,0,0.00,0.00,0.00
132,0.8446,0.430399,0.637474,0.152749,0.01,0.01,0,0,42,24,inf,124,41,277,131.37,58.54,252.09,89.37,34.54,0.00,1,0,0,0,0.00,0.00,0.00
135,0.8385,0.424259,0.582900,0.196798,0.01,0.01,0,0,42,24,inf,125,30,287,132.64,45.11,264.25,90.64,21.11,0.00,1,0,0,0,0.00,0.00,0.00
138,0.8481,0.417877,0.596190,0.236828,0.01,0.01,0,0,42,24,inf,135,24,283,141.17,45.20,255.63,99.17,21.20,0.00,1,0,0,0,0.00,0.00,0.00
141,0.8537,0.401890,0.615419,0.178721,0.01,0.01,0,0,42,24,inf,125,33,284,132.79,52.51,256.70,90.79,28.51,0.00,1,0,0,0,0.00,0.00,0.00
144,0.8348,0.396806,0.612471,0.155540,0.01,0.01,0,0,42,24,inf,114,34,294,129.81,52.71,259.48,87.81,28.71,0.00,1,0,0,0,0.00,0.00,0.00
147,0.8453,0.398754,0.584463,0.177433,0.01,0.01,0,0,42,24,inf,121,31,290,135.73,44.73,261.54,93.73,20.73,0.00,1,0,0,0,0.00,0.00,0.00
