Epoch,Train_Acc,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
1,0.5819,0.697754,0.077924,0.000000,0.10,0.10,1,1,42,24,inf,45,0,397,48.46,9.22,384.33,6.46,0.00,0.00,1,0,0,0,0.00,0.00,0.00
3,0.5338,0.633078,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,19,1,422,36.71,32.77,372.53,0.00,8.77,0.00,1,0,0,0,0.00,0.00,0.00
6,0.5033,0.590137,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,5,0,437,14.53,7.08,420.39,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
9,0.5227,0.568594,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,18,1,423,31.24,12.86,397.90,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
12,0.5128,0.546553,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,8,0,434,25.38,9.96,406.66,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
15,0.5186,0.552059,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,15,1,426,26.62,8.77,406.60,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
18,0.5083,0.548666,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,2,1,439,13.23,9.42,419.34,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
21,0.5065,0.553344,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,3,0,439,12.75,7.87,421.38,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
24,0.5063,0.530745,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,3,1,438,11.86,5.82,424.32,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
27,0.5184,0.535769,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,8,0,434,20.45,9.87,411.68,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
30,0.5592,0.531471,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,16,12,414,29.79,28.30,383.91,0.00,4.30,0.00,1,0,0,0,0.00,0.00,0.00
33,0.5469,0.526814,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,24,0,418,38.93,6.75,396.32,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
36,0.5285,0.537285,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,15,0,427,23.13,5.95,412.92,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
39,0.5065,0.537429,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,2,0,440,13.04,5.20,423.76,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
42,0.5290,0.535986,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,12,4,426,21.91,15.69,404.39,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
45,0.5189,0.511687,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,13,3,426,26.19,10.69,405.12,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
48,0.5113,0.503338,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,1,0,441,10.99,4.77,426.24,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
51,0.5587,0.508305,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,25,4,413,36.92,12.04,393.05,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
54,0.5116,0.481533,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,1,1,440,7.99,9.29,424.72,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
57,0.5166,0.478270,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,0,4,438,9.93,11.32,420.75,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
60,0.5924,0.507129,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,25,13,404,34.24,28.04,379.72,0.00,4.04,0.00,1,0,0,0,0.00,0.00,0.00
63,0.5171,0.472693,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,3,3,436,11.42,11.89,418.70,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
66,0.5489,0.482719,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,15,8,419,28.99,14.94,398.07,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
69,0.5055,0.484184,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,1,0,441,9.65,2.03,430.31,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
72,0.5156,0.459512,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,4,0,438,13.06,5.12,423.82,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
75,0.5562,0.456746,0.000000,0.055438,0.10,0.10,1,0,42,24,inf,15,11,416,25.59,17.79,398.62,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
78,0.5134,0.447599,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,2,3,437,10.24,8.14,423.62,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
81,0.5267,0.479727,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,6,6,430,14.64,19.32,408.04,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
84,0.5128,0.470038,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,5,0,437,17.14,7.30,417.56,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
87,0.5305,0.476315,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,6,3,433,15.25,9.33,417.42,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
90,0.5244,0.454690,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,7,3,432,14.97,11.40,415.63,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
93,0.5353,0.457941,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,3,8,431,15.15,24.67,402.18,0.00,0.67,0.00,1,0,0,0,0.00,0.00,0.00
96,0.5277,0.473494,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,9,0,433,16.66,6.68,418.66,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
99,0.5176,0.463783,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,6,1,435,11.49,6.83,423.68,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
102,0.5259,0.438917,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,4,4,434,11.49,10.89,419.62,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
105,0.6035,0.451301,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,22,15,405,36.19,25.69,380.12,0.00,1.69,0.00,1,0,0,0,0.00,0.00,0.00
108,0.5179,0.450584,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,3,7,432,6.89,10.92,424.19,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
111,0.5327,0.442845,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,9,6,427,21.90,12.06,408.04,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
114,0.5350,0.436952,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,2,9,431,8.18,13.13,420.68,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
117,0.5416,0.439713,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,9,7,426,16.75,14.49,410.76,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
120,0.5657,0.465600,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,17,3,422,39.11,11.19,391.70,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
123,0.5582,0.424037,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,12,5,425,22.89,17.53,401.58,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
126,0.5698,0.428299,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,17,8,417,27.41,15.07,399.52,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
129,0.5776,0.433088,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,22,6,414,33.16,13.27,395.57,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
132,0.5249,0.414325,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,3,5,434,8.73,8.06,425.21,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
135,0.5733,0.415456,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,21,9,412,27.03,17.54,397.43,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
138,0.5884,0.396982,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,27,8,407,36.51,15.69,389.80,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
141,0.5345,0.416345,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,4,6,432,13.24,15.19,413.56,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
144,0.5315,0.398879,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,3,6,433,10.60,8.97,422.43,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
147,0.5348,0.451705,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,3,9,430,11.09,15.80,415.11,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
150,0.5499,0.411659,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,9,6,427,19.90,13.23,408.88,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
153,0.5625,0.410761,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,13,10,419,27.63,18.18,396.19,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
156,0.5151,0.392407,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,3,0,439,8.20,5.23,428.57,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
159,0.5257,0.396159,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,2,5,435,10.47,9.26,422.27,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
162,0.5451,0.389632,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,9,4,429,15.56,10.65,415.79,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
165,0.5441,0.415150,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,8,5,429,16.11,12.76,413.12,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
168,0.5892,0.392371,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,39,2,401,48.32,7.64,386.04,6.32,0.00,0.00,1,0,0,0,0.00,0.00,0.00
171,0.5275,0.423835,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,2,7,433,9.21,11.19,421.60,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
174,0.5335,0.448482,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,2,8,432,7.90,16.10,418.00,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
177,0.5413,0.432610,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,8,3,431,21.16,9.83,411.01,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
180,0.5763,0.384751,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,16,9,417,30.06,16.26,395.68,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
183,0.5675,0.384680,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,16,7,419,27.39,18.14,396.47,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
186,0.5665,0.381513,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,15,11,416,23.65,19.91,398.44,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
189,0.5355,0.367115,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,8,4,430,12.48,7.12,422.40,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
192,0.5657,0.399548,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,15,7,420,22.25,15.30,404.45,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
195,0.5416,0.391567,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,11,4,427,18.23,9.12,414.64,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
198,0.5708,0.382777,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,17,9,416,21.99,18.04,401.97,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
201,0.5146,0.399369,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,1,5,436,7.35,7.93,426.72,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
204,0.5181,0.381896,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,2,4,436,8.57,10.27,423.16,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
207,0.5469,0.362960,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,10,3,429,20.48,10.03,411.49,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
210,0.5698,0.363244,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,9,13,420,13.77,20.86,407.37,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
213,0.6146,0.367563,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,31,7,404,34.70,16.79,390.51,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
216,0.5579,0.365383,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,12,10,420,19.14,15.01,407.85,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
219,0.5748,0.349251,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,16,8,418,23.29,16.52,402.19,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
222,0.6018,0.340129,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,34,12,396,40.16,15.76,386.09,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
225,0.5229,0.357530,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,4,4,434,9.86,7.59,424.55,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
228,0.5657,0.330106,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,6,5,431,23.03,9.18,409.79,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
231,0.5529,0.353289,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,10,5,427,19.77,9.23,413.00,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
234,0.5277,0.337847,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,2,5,435,8.09,11.67,422.24,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
237,0.5746,0.354985,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,18,7,417,24.06,15.17,402.77,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
240,0.5637,0.358486,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,14,7,421,25.62,17.59,398.79,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
243,0.5519,0.333841,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,9,5,428,17.40,9.28,415.32,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
246,0.5607,0.334134,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,6,8,428,15.52,11.64,414.84,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
