Epoch,Train_Acc,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
1,0.6476,0.830100,0.000000,0.147965,1.00,0.01,1,0,113,63,inf,78,0,364,83.92,28.83,329.25,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
3,0.6856,0.630893,0.000000,0.353178,1.00,0.01,1,0,113,63,inf,84,6,352,89.16,27.37,325.47,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
6,0.6113,0.595206,0.000000,0.091388,1.00,0.01,1,1,113,63,inf,54,0,388,67.26,23.48,351.26,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
9,0.6292,0.583202,0.000000,0.000000,1.00,0.01,1,1,113,63,inf,55,5,382,69.17,27.40,345.42,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
12,0.7040,0.588497,0.000000,0.278253,1.00,0.01,1,0,113,63,inf,85,9,348,94.41,32.37,315.21,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
15,0.6479,0.549757,0.000000,0.000000,1.00,0.01,1,1,113,63,inf,56,19,367,69.52,42.58,329.90,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
18,0.6995,0.550178,0.000000,0.088240,1.00,0.01,1,1,113,63,inf,69,36,337,82.28,50.69,309.03,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
21,0.6622,0.566073,0.000000,0.000000,1.00,0.01,1,1,113,63,inf,56,25,361,72.63,48.19,321.19,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
24,0.6521,0.553337,0.000000,0.043029,1.00,0.01,1,1,113,63,inf,67,11,364,79.16,37.87,324.97,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
27,0.6720,0.568331,0.000000,0.000000,1.00,0.01,1,1,113,63,inf,75,14,353,92.97,34.34,314.68,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
30,0.6856,0.529934,0.000000,0.045686,1.00,0.01,1,1,113,63,inf,74,26,342,87.71,39.89,314.40,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
33,0.6489,0.530444,0.000000,0.006817,1.00,0.01,1,1,113,63,inf,65,16,361,79.96,34.32,327.72,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
36,0.6836,0.513453,0.000000,0.069118,1.00,0.01,1,1,113,63,inf,77,18,347,95.32,41.83,304.85,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
39,0.7159,0.513549,0.000000,0.000000,1.00,0.01,1,1,113,63,inf,66,33,343,85.14,43.29,313.57,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
42,0.6662,0.504983,0.000000,0.000000,1.00,0.01,1,1,113,63,inf,61,24,357,71.72,37.77,332.50,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
