Epoch,Train_Acc,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
1,0.5700,1.006388,0.000000,0.000000,0.01,1.00,1,1,113,63,inf,35,0,407,64.75,22.03,355.22,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
3,0.5330,0.645163,0.000000,0.000000,0.01,1.00,1,1,113,63,inf,15,1,426,35.23,20.11,386.66,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
6,0.5005,0.607493,0.000000,0.000000,0.01,1.00,1,1,113,63,inf,0,0,442,16.99,13.50,411.50,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
9,0.5479,0.606803,0.000000,0.000000,0.01,1.00,1,1,113,63,inf,20,0,422,41.40,27.51,373.09,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
12,0.5773,0.597140,0.000000,0.000000,0.01,1.00,1,1,113,63,inf,33,0,409,62.02,26.67,353.31,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
15,0.5035,0.623223,0.000000,0.000000,0.01,1.00,1,1,113,63,inf,2,0,440,26.05,7.13,408.82,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
18,0.5209,0.564740,0.000000,0.000000,0.01,1.00,1,1,113,63,inf,7,0,435,37.34,27.58,377.08,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
21,0.6363,0.563987,0.000000,0.000000,0.01,1.00,1,1,113,63,inf,57,2,383,74.56,27.03,340.41,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
24,0.6020,0.585099,0.000000,0.000000,0.01,1.00,1,1,113,63,inf,44,2,396,58.32,14.10,369.58,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
27,0.5010,0.567670,0.000000,0.000000,0.01,1.00,1,1,113,63,inf,2,0,440,13.87,15.95,412.18,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
30,0.5280,0.561000,0.000000,0.000000,0.01,1.00,1,1,113,63,inf,14,0,428,35.49,8.54,397.97,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
33,0.5403,0.561174,0.000000,0.000000,0.01,1.00,1,1,113,63,inf,17,3,422,34.01,19.77,388.22,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
36,0.5524,0.563391,0.000000,0.000000,0.01,1.00,1,1,113,63,inf,26,1,415,51.79,20.91,369.30,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
39,0.5438,0.545500,0.000000,0.000000,0.01,1.00,1,1,113,63,inf,21,5,416,41.94,25.61,374.46,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
42,0.6244,0.543019,0.000000,0.000000,0.01,1.00,1,1,113,63,inf,44,13,385,64.88,35.81,341.31,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
45,0.5985,0.568087,0.000000,0.000000,0.01,1.00,1,1,113,63,inf,44,9,389,58.38,28.85,354.77,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
48,0.6270,0.527819,0.000000,0.000000,0.01,1.00,1,1,113,63,inf,54,6,382,67.88,27.08,347.04,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
51,0.6156,0.539316,0.000000,0.000000,0.01,1.00,1,1,113,63,inf,45,5,392,63.32,28.24,350.44,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
54,0.5184,0.547808,0.000000,0.000000,0.01,1.00,1,1,113,63,inf,6,2,434,26.93,19.73,395.34,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
57,0.6040,0.536443,0.000000,0.000000,0.01,1.00,1,1,113,63,inf,45,11,386,59.84,30.35,351.81,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
60,0.5282,0.537365,0.000000,0.000000,0.01,1.00,1,1,113,63,inf,12,5,425,30.73,18.83,392.44,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
63,0.5874,0.540351,0.000000,0.000000,0.01,1.00,1,1,113,63,inf,33,4,405,55.15,21.76,365.08,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
66,0.5055,0.531513,0.000000,0.000000,0.01,1.00,1,1,113,63,inf,0,2,440,18.02,17.77,406.21,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
69,0.6539,0.505317,0.000000,0.000000,0.01,1.00,1,1,113,63,inf,51,25,366,67.68,35.79,338.53,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
72,0.6096,0.524770,0.000000,0.000000,0.01,1.00,1,1,113,63,inf,39,9,394,59.24,22.07,360.69,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
75,0.6741,0.511860,0.000000,0.000000,0.01,1.00,1,1,113,63,inf,59,30,353,85.38,39.68,316.94,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
78,0.5471,0.533172,0.000000,0.000000,0.01,1.00,1,1,113,63,inf,23,2,417,44.94,20.82,376.24,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
81,0.5065,0.538783,0.000000,0.000000,0.01,1.00,1,1,113,63,inf,3,0,439,20.41,16.42,405.17,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
84,0.5446,0.535425,0.000000,0.000000,0.01,1.00,1,1,113,63,inf,20,2,420,49.85,20.20,371.94,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
87,0.6368,0.496128,0.000000,0.000000,0.01,1.00,1,1,113,63,inf,57,7,378,71.81,28.92,341.27,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
90,0.6005,0.491827,0.000000,0.000000,0.01,1.00,1,1,113,63,inf,35,11,396,57.02,30.51,354.47,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
93,0.5438,0.502744,0.000000,0.000000,0.01,1.00,1,1,113,63,inf,19,4,419,40.77,19.85,381.39,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
96,0.6950,0.480934,0.000000,0.000000,0.01,1.00,1,1,113,63,inf,66,17,359,81.05,31.78,329.17,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
99,0.5267,0.497673,0.000000,0.000000,0.01,1.00,1,1,113,63,inf,9,5,428,26.14,20.09,395.77,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
102,0.5446,0.485400,0.000000,0.000000,0.01,1.00,1,1,113,63,inf,17,1,424,45.86,16.01,380.13,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
105,0.5038,0.519198,0.000000,0.000000,0.01,1.00,1,1,113,63,inf,1,1,440,17.52,11.88,412.60,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
108,0.5118,0.495222,0.000000,0.000000,0.01,1.00,1,1,113,63,inf,5,4,433,23.82,18.41,399.78,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
111,0.5086,0.480886,0.000000,0.000000,0.01,1.00,1,1,113,63,inf,6,3,433,22.28,11.40,408.32,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
