Epoch,Train_Acc,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
1,0.5380,0.789070,0.000000,0.123807,1.00,0.01,1,1,42,24,inf,8,0,434,25.79,19.95,396.25,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
3,0.5622,0.686593,0.000000,0.220610,1.00,0.01,1,1,42,24,inf,10,0,432,19.90,13.46,408.63,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
6,0.5982,0.631315,0.103004,0.250090,1.00,0.01,1,1,42,24,inf,11,2,429,22.66,21.33,398.01,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
9,0.6433,0.590470,0.000000,0.169677,1.00,0.01,1,0,42,24,inf,19,0,423,31.17,10.08,400.75,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
12,0.6290,0.547732,0.086988,0.178886,1.00,0.01,1,1,42,24,inf,12,2,428,29.09,20.75,392.15,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
15,0.5899,0.572001,0.000000,0.000000,1.00,0.01,1,1,42,24,inf,10,0,432,16.75,7.61,417.64,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
18,0.5887,0.552195,0.000000,0.162005,1.00,0.01,1,1,42,24,inf,9,1,432,18.65,18.78,404.57,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
21,0.5776,0.527014,0.000000,0.000000,1.00,0.01,1,1,42,24,inf,6,0,436,14.14,13.03,414.83,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
24,0.6607,0.511131,0.000000,0.147059,1.00,0.01,1,0,42,24,inf,25,0,417,39.71,16.39,385.90,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
27,0.6471,0.493276,0.000000,0.123141,1.00,0.01,1,1,42,24,inf,10,4,428,29.63,20.74,391.63,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
30,0.6307,0.491305,0.009772,0.182702,1.00,0.01,1,1,42,24,inf,7,1,434,25.67,14.90,401.43,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
33,0.6952,0.470109,0.000000,0.064932,1.00,0.01,1,1,42,24,inf,21,7,414,36.49,19.57,385.94,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
36,0.7078,0.501897,0.000000,0.084144,1.00,0.01,1,1,42,24,inf,23,4,415,40.86,19.41,381.74,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
39,0.6917,0.493728,0.000000,0.076140,1.00,0.01,1,1,42,24,inf,9,3,430,34.07,14.04,393.88,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
42,0.6778,0.481816,0.000000,0.023520,1.00,0.01,1,1,42,24,inf,10,2,430,28.73,15.48,397.78,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
45,0.6967,0.442341,0.000000,0.019952,1.00,0.01,1,1,42,24,inf,11,2,429,34.77,19.74,387.49,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
48,0.7171,0.421658,0.041789,0.175458,1.00,0.01,1,0,42,24,inf,11,3,428,33.69,15.98,392.32,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
51,0.7282,0.422075,0.000000,0.104805,1.00,0.01,1,1,42,24,inf,16,1,425,42.11,18.22,381.67,0.11,0.00,0.00,1,0,0,0,0.00,0.00,0.00
54,0.7645,0.414469,0.000000,0.138749,1.00,0.01,1,1,42,24,inf,18,9,415,39.05,20.25,382.70,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
57,0.6849,0.438336,0.000000,0.000000,1.00,0.01,1,1,42,24,inf,7,1,434,29.49,12.95,399.57,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
60,0.7254,0.387020,0.000000,0.195257,1.00,0.01,1,1,42,24,inf,13,4,425,35.32,21.05,385.62,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
63,0.7184,0.382465,0.000000,0.036950,1.00,0.01,1,1,42,24,inf,14,2,426,37.97,12.36,391.68,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
