Epoch,Train_Acc,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
1,0.5531,0.818963,0.000000,0.062671,0.01,1.00,1,1,42,24,inf,10,1,431,19.65,10.06,412.29,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
3,0.5766,0.742646,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,10,1,431,18.51,5.49,418.00,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
6,0.5793,0.689998,0.000000,0.074461,0.01,1.00,1,1,42,24,inf,9,3,430,17.66,10.90,413.44,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
9,0.5416,0.657037,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,4,2,436,11.05,9.28,421.68,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
12,0.5836,0.660973,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,11,1,430,18.55,6.54,416.91,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
15,0.5343,0.591768,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,3,2,437,10.75,8.64,422.61,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
18,0.5471,0.631595,0.000000,0.120857,0.01,1.00,1,1,42,24,inf,3,1,438,9.95,8.47,423.58,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
21,0.5947,0.619461,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,13,0,429,25.63,7.85,408.52,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
24,0.5302,0.619536,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,1,0,441,7.83,7.58,426.59,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
27,0.5861,0.605926,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,6,0,436,22.38,10.79,408.83,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
30,0.5461,0.623833,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,3,0,439,12.26,12.90,416.84,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
33,0.5605,0.576228,0.000000,0.017200,0.01,1.00,1,1,42,24,inf,2,4,436,17.83,15.21,408.96,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
36,0.5406,0.540852,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,1,3,438,15.74,11.83,414.43,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
39,0.5426,0.568233,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,2,3,437,12.40,9.18,420.42,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
42,0.5234,0.506661,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,0,1,441,5.82,8.38,427.80,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
45,0.5403,0.512337,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,1,3,438,8.10,13.13,420.77,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
48,0.5202,0.563379,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,0,1,441,7.20,8.62,426.18,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
51,0.5967,0.545356,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,6,2,434,23.49,12.86,405.65,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
54,0.5526,0.522451,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,2,1,439,19.25,9.94,412.81,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
57,0.6406,0.506325,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,7,3,432,27.67,14.27,400.06,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
60,0.5746,0.559593,0.000000,0.080677,0.01,1.00,1,1,42,24,inf,3,1,438,20.99,13.85,407.16,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
63,0.5856,0.523399,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,4,6,432,19.69,15.22,407.08,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
66,0.5713,0.502829,0.000000,0.017202,0.01,1.00,1,1,42,24,inf,2,3,437,20.35,9.91,411.74,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
69,0.5741,0.489956,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,2,2,438,16.66,11.42,413.92,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
72,0.6179,0.471981,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,5,9,428,28.32,15.06,398.62,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
75,0.5423,0.459846,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,0,2,440,8.57,8.46,424.97,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
78,0.6020,0.531814,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,6,2,434,25.99,11.87,404.14,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
81,0.5537,0.458004,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,2,2,438,18.05,7.44,416.51,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
84,0.5935,0.433968,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,1,2,439,19.51,12.07,410.42,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
87,0.5839,0.465420,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,1,2,439,21.06,12.94,408.00,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
90,0.5622,0.465103,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,3,1,438,17.83,8.22,415.95,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
93,0.5887,0.440495,0.000000,0.021926,0.01,1.00,1,1,42,24,inf,0,3,439,19.75,10.95,411.30,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
96,0.5698,0.449244,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,0,4,438,12.16,11.64,418.20,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
99,0.5378,0.454498,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,0,0,442,18.89,4.52,418.59,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
102,0.5632,0.432540,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,3,1,438,17.62,10.78,413.61,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
105,0.5353,0.458339,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,0,1,441,11.47,6.56,423.97,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
108,0.5524,0.441114,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,1,2,439,22.35,6.30,413.35,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
111,0.5793,0.477712,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,2,1,439,24.09,12.15,405.77,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
114,0.5804,0.469266,0.000000,0.115638,0.01,1.00,1,1,42,24,inf,0,4,438,19.49,11.35,411.16,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
117,0.6222,0.432340,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,5,3,434,30.66,13.18,398.16,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
120,0.5592,0.380235,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,0,2,440,13.80,8.71,419.48,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
123,0.6096,0.396717,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,1,4,437,19.26,10.44,412.30,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
126,0.6005,0.396832,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,1,3,438,24.09,8.62,409.29,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
129,0.5874,0.393965,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,0,1,441,19.91,11.24,410.85,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
132,0.6141,0.412199,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,5,1,436,28.76,7.38,405.86,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
135,0.6023,0.417660,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,2,1,439,21.70,12.16,408.14,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
138,0.5846,0.389813,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,0,2,440,17.48,11.35,413.17,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
141,0.5763,0.402021,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,1,3,438,18.28,13.02,410.70,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
144,0.5844,0.356609,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,1,3,438,17.75,12.95,411.30,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
147,0.5544,0.413833,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,0,2,440,12.04,9.95,420.01,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
150,0.5937,0.351983,0.000000,0.033949,0.01,1.00,1,1,42,24,inf,1,6,435,23.06,12.87,406.06,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
153,0.5597,0.374844,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,4,2,436,25.91,9.83,406.26,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
156,0.6174,0.323669,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,2,6,434,26.09,13.80,402.10,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
159,0.5451,0.315805,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,2,1,439,20.49,4.72,416.80,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
162,0.5940,0.333865,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,1,3,438,14.46,12.75,414.79,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
165,0.5469,0.403769,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,0,2,440,11.04,8.61,422.35,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
168,0.5748,0.354775,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,1,2,439,24.72,10.19,407.09,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
171,0.6212,0.366204,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,3,1,438,26.40,11.06,404.54,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
174,0.5897,0.325544,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,0,1,441,11.03,7.47,423.50,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
177,0.6068,0.329421,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,4,2,436,25.35,8.35,408.31,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
180,0.6068,0.355443,0.000000,0.189712,0.01,1.00,1,1,42,24,inf,5,2,435,28.77,11.63,401.59,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
183,0.6196,0.298923,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,3,2,437,23.34,8.62,410.04,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
186,0.5924,0.317175,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,1,1,440,14.46,7.41,420.13,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
189,0.5695,0.320674,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,2,2,438,19.48,8.15,414.36,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
192,0.6270,0.318226,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,6,4,432,29.14,13.29,399.57,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
195,0.6146,0.327543,0.000000,0.022149,0.01,1.00,1,1,42,24,inf,1,4,437,21.98,10.48,409.55,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
198,0.5912,0.290072,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,1,1,440,13.26,9.01,419.73,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
201,0.6207,0.320310,0.000000,0.102813,0.01,1.00,1,1,42,24,inf,2,2,438,27.02,11.32,403.67,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
204,0.5771,0.328605,0.000000,0.000000,0.01,1.00,1,1,42,24,inf,3,1,438,31.16,8.59,402.25,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
