Epoch,Train_Acc,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
1,0.7610,0.722663,0.735878,0.703532,0.01,0.01,0,0,42,24,inf,153,61,228,155.50,91.52,194.98,113.50,67.52,0.00,1,0,0,0,0.00,0.00,0.00
3,0.7980,0.625754,0.713376,0.674461,0.01,0.01,0,0,42,24,inf,145,53,244,148.87,82.76,210.37,106.87,58.76,0.00,1,0,0,0,0.00,0.00,0.00
6,0.8113,0.559718,0.698601,0.659613,0.01,0.01,0,0,42,24,inf,134,46,262,147.68,75.89,218.43,105.68,51.89,0.00,1,0,0,0,0.00,0.00,0.00
9,0.8257,0.526283,0.700121,0.653816,0.01,0.01,0,0,42,24,inf,123,73,246,140.08,82.35,219.57,98.08,58.35,0.00,1,0,0,0,0.00,0.00,0.00
12,0.8446,0.472397,0.711212,0.665072,0.01,0.01,0,0,42,24,inf,125,75,242,136.70,89.06,216.24,94.70,65.06,0.00,1,0,0,0,0.00,0.00,0.00
15,0.8617,0.465151,0.691503,0.667021,0.01,0.01,0,0,42,24,inf,142,53,247,153.94,70.07,217.99,111.94,46.07,0.00,1,0,0,0,0.00,0.00,0.00
18,0.8665,0.467241,0.698904,0.649617,0.01,0.01,0,0,42,24,inf,139,54,249,145.50,77.85,218.65,103.50,53.85,0.00,1,0,0,0,0.00,0.00,0.00
21,0.8657,0.442566,0.648230,0.632934,0.01,0.01,0,0,42,24,inf,137,36,269,144.60,59.32,238.08,102.60,35.32,0.00,1,0,0,0,0.00,0.00,0.00
24,0.8776,0.414706,0.685670,0.658967,0.01,0.01,0,0,42,24,inf,152,51,239,168.82,62.73,210.45,126.82,38.73,0.00,1,0,0,0,0.00,0.00,0.00
27,0.8887,0.393286,0.696784,0.657034,0.01,0.01,0,0,42,24,inf,142,52,248,144.50,75.58,221.92,102.50,51.58,0.00,1,0,0,0,0.00,0.00,0.00
30,0.8967,0.355034,0.688525,0.670765,0.01,0.01,0,0,42,24,inf,140,52,250,147.27,70.82,223.90,105.27,46.82,0.00,1,0,0,0,0.00,0.00,0.00
33,0.9098,0.348520,0.668091,0.636792,0.01,0.01,0,0,42,24,inf,134,51,257,142.35,65.68,233.96,100.35,41.68,0.00,1,0,0,0,0.00,0.00,0.00
36,0.9060,0.346470,0.598848,0.620096,0.01,0.01,0,0,42,24,inf,145,31,266,154.36,45.87,241.77,112.36,21.87,0.00,1,0,0,0,0.00,0.00,0.00
39,0.9232,0.370004,0.642092,0.603885,0.01,0.01,0,0,42,24,inf,146,36,260,153.50,54.20,234.30,111.50,30.20,0.00,1,0,0,0,0.00,0.00,0.00
42,0.9302,0.324434,0.672769,0.642803,0.01,0.01,0,0,42,24,inf,148,44,250,153.47,63.05,225.48,111.47,39.05,0.00,1,0,0,0,0.00,0.00,0.00
45,0.9280,0.372185,0.596901,0.619290,0.01,0.01,0,0,42,24,inf,146,36,260,156.60,47.15,238.24,114.60,23.15,0.00,1,0,0,0,0.00,0.00,0.00
48,0.9239,0.297992,0.682569,0.657299,0.01,0.01,0,0,42,24,inf,132,56,254,137.57,72.51,231.93,95.57,48.51,0.00,1,0,0,0,0.00,0.00,0.00
51,0.9398,0.282579,0.643132,0.605831,0.01,0.01,0,0,42,24,inf,153,42,247,156.84,53.50,231.66,114.84,29.50,0.00,1,0,0,0,0.00,0.00,0.00
