Epoch,Train_Acc,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
1,0.7247,0.738031,0.330660,0.439661,0.10,0.10,0,0,42,24,inf,111,1,330,112.12,22.27,307.60,70.12,0.00,0.00,1,0,0,0,0.00,0.00,0.00
3,0.7474,0.619989,0.339072,0.467431,0.10,0.10,0,0,42,24,inf,113,2,327,122.56,23.28,296.16,80.56,0.00,0.00,1,0,0,0,0.00,0.00,0.00
6,0.7695,0.592005,0.631703,0.440588,0.10,0.10,0,0,42,24,inf,106,2,334,113.01,20.81,308.18,71.01,0.00,0.00,1,0,0,0,0.00,0.00,0.00
9,0.7695,0.578574,0.597258,0.422874,0.10,0.10,0,0,42,24,inf,96,4,342,102.86,19.38,319.76,60.86,0.00,0.00,1,0,0,0,0.00,0.00,0.00
12,0.7421,0.544259,0.494015,0.375350,0.10,0.10,0,0,42,24,inf,79,4,359,82.19,23.05,336.76,40.19,0.00,0.00,1,0,0,0,0.00,0.00,0.00
15,0.6554,0.620530,0.000000,0.098967,0.10,0.10,1,0,42,24,inf,25,3,414,37.04,18.95,386.01,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
18,0.6589,0.614294,0.000000,0.053984,0.10,0.10,1,1,42,24,inf,17,4,421,36.03,19.22,386.74,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
21,0.6418,0.586810,0.000000,0.002547,0.10,0.10,1,1,42,24,inf,18,1,423,35.23,18.72,388.05,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
24,0.6496,0.581615,0.000000,0.016368,0.10,0.10,1,1,42,24,inf,20,1,421,33.18,13.11,395.71,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
27,0.6700,0.566670,0.000000,0.078334,0.10,0.10,1,1,42,24,inf,18,3,421,37.88,17.16,386.96,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
30,0.6708,0.571961,0.016892,0.090003,0.10,0.10,1,1,42,24,inf,11,3,428,37.35,18.65,386.00,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
33,0.6489,0.584289,0.000000,0.092553,0.10,0.10,1,1,42,24,inf,13,3,426,34.63,20.21,387.16,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
36,0.5919,0.528457,0.000000,0.073762,0.10,0.10,1,1,42,24,inf,6,2,434,26.52,19.75,395.73,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
39,0.6113,0.513413,0.000000,0.112583,0.10,0.10,1,1,42,24,inf,9,6,427,25.55,22.10,394.36,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
42,0.6232,0.540475,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,9,1,432,27.33,17.01,397.66,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
45,0.6524,0.571223,0.000000,0.109505,0.10,0.10,1,1,42,24,inf,15,3,424,36.36,17.66,387.99,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
48,0.6008,0.550403,0.000000,0.033404,0.10,0.10,1,1,42,24,inf,9,3,430,27.01,17.40,397.60,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
51,0.6073,0.520123,0.000000,0.037130,0.10,0.10,1,1,42,24,inf,8,3,431,30.40,17.18,394.42,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
54,0.6189,0.498722,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,9,3,430,32.87,15.90,393.23,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
57,0.6169,0.526989,0.000000,0.081274,0.10,0.10,1,1,42,24,inf,7,4,431,32.57,17.86,391.57,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
60,0.6083,0.510170,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,12,1,429,35.63,15.41,390.97,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
63,0.6312,0.523993,0.000000,0.024949,0.10,0.10,1,1,42,24,inf,12,3,427,35.63,17.94,388.43,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
66,0.5743,0.494270,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,5,2,435,25.37,15.71,400.92,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
69,0.6242,0.541823,0.000000,0.060371,0.10,0.10,1,1,42,24,inf,8,4,430,32.26,19.51,390.22,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
72,0.6048,0.508874,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,6,5,431,28.68,17.80,395.52,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
75,0.6161,0.466102,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,8,2,432,29.47,16.37,396.16,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
78,0.5899,0.492350,0.000000,0.161086,0.10,0.10,1,1,42,24,inf,5,2,435,25.36,14.43,402.21,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
81,0.5912,0.488486,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,3,2,437,24.65,16.90,400.45,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
84,0.6521,0.494925,0.010060,0.105011,0.10,0.10,1,1,42,24,inf,9,6,427,37.77,22.86,381.37,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
87,0.6005,0.504571,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,6,2,434,26.58,13.45,401.97,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
90,0.6189,0.511116,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,9,2,431,31.59,17.86,392.55,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
93,0.6108,0.460699,0.000000,0.109205,0.10,0.10,1,1,42,24,inf,7,5,430,31.73,18.03,392.23,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
96,0.5856,0.471267,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,4,2,436,29.27,11.37,401.36,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
99,0.5985,0.471489,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,9,1,432,32.93,13.41,395.66,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
102,0.5786,0.487942,0.000000,0.020415,0.10,0.10,1,1,42,24,inf,5,2,435,33.99,13.81,394.20,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
105,0.5992,0.489620,0.000000,0.027494,0.10,0.10,1,1,42,24,inf,4,3,435,34.12,12.40,395.48,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
108,0.6350,0.482404,0.000000,0.089057,0.10,0.10,1,1,42,24,inf,5,5,432,36.98,16.95,388.07,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
111,0.6149,0.489781,0.000000,0.030377,0.10,0.10,1,1,42,24,inf,2,5,435,32.34,15.67,393.98,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
114,0.6101,0.451997,0.000000,0.045018,0.10,0.10,1,1,42,24,inf,5,2,435,36.77,11.50,393.74,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
117,0.6282,0.450589,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,6,3,433,33.09,13.51,395.39,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
120,0.6091,0.454578,0.000000,0.051997,0.10,0.10,1,1,42,24,inf,3,3,436,29.25,18.71,394.04,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
123,0.6332,0.458817,0.000000,0.041110,0.10,0.10,1,1,42,24,inf,8,3,431,37.08,15.41,389.51,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
126,0.6521,0.446084,0.000000,0.159023,0.10,0.10,1,1,42,24,inf,9,5,428,30.90,20.00,391.10,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
129,0.6413,0.465383,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,3,4,435,32.06,17.50,392.44,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
132,0.6111,0.411788,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,3,4,435,26.47,14.89,400.64,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
135,0.6181,0.433503,0.000000,0.002898,0.10,0.10,1,1,42,24,inf,7,3,432,34.04,16.57,391.39,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
138,0.6015,0.471022,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,4,2,436,28.05,12.47,401.48,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
141,0.5811,0.407044,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,2,2,438,30.91,12.66,398.43,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
144,0.6395,0.433180,0.030696,0.074569,0.10,0.10,1,1,42,24,inf,5,4,433,41.00,17.91,383.09,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
147,0.6113,0.426205,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,5,3,434,35.64,14.48,391.87,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
150,0.6144,0.425721,0.000000,0.106520,0.10,0.10,1,1,42,24,inf,4,4,434,37.40,14.56,390.04,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
153,0.6360,0.427853,0.000000,0.000000,0.10,0.10,1,1,42,24,inf,5,5,432,33.47,16.83,391.70,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
