Epoch,Train_Acc,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
1,0.5018,1.325446,0.000000,0.000000,10.00,10.00,1,1,42,24,inf,1,0,441,12.89,6.36,422.76,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
3,0.5010,1.255011,0.000000,0.000000,10.00,10.00,1,1,42,24,inf,5,0,437,22.54,9.44,410.02,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
6,0.5005,1.105784,0.000000,0.000000,10.00,10.00,1,1,42,24,inf,0,0,442,18.13,11.57,412.30,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
9,0.5005,1.090949,0.000000,0.000000,10.00,10.00,1,1,42,24,inf,0,0,442,21.92,12.86,407.22,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
12,0.5060,1.056164,0.000000,0.000000,10.00,10.00,1,1,42,24,inf,0,0,442,13.93,7.37,420.70,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
15,0.5005,1.054058,0.000000,0.000000,10.00,10.00,1,1,42,24,inf,0,0,442,16.47,9.39,416.14,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
18,0.5169,0.960157,0.000000,0.000000,10.00,10.00,1,1,42,24,inf,3,0,439,21.42,10.50,410.08,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
21,0.5010,1.002949,0.000000,0.000000,10.00,10.00,1,1,42,24,inf,0,0,442,15.77,8.44,417.79,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
24,0.5005,0.911170,0.000000,0.000000,10.00,10.00,1,1,42,24,inf,0,0,442,15.88,9.03,417.09,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
27,0.5025,0.972419,0.000000,0.000000,10.00,10.00,1,1,42,24,inf,0,0,442,20.42,8.57,413.01,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
30,0.5005,0.852427,0.000000,0.000000,10.00,10.00,1,1,42,24,inf,0,0,442,18.24,14.14,409.62,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
