Epoch,Train_Acc,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
1,0.7723,0.722442,0.723564,0.688836,0.00,0.00,0,0,42,24,inf,133,63,246,145.93,90.38,205.69,103.93,66.38,0.00,1,0,0,0,0.00,0.00,0.00
3,0.7950,0.595610,0.715702,0.675358,0.00,0.00,0,0,42,24,inf,144,63,235,154.95,79.60,207.45,112.95,55.60,0.00,1,0,0,0,0.00,0.00,0.00
6,0.8076,0.527250,0.717007,0.695415,0.00,0.00,0,0,42,24,inf,119,73,250,133.89,94.38,213.73,91.89,70.38,0.00,1,0,0,0,0.00,0.00,0.00
1,0.7703,0.734027,0.699105,0.668602,0.00,0.00,0,0,42,24,inf,140,46,256,146.81,75.18,220.01,104.81,51.18,0.00,1,0,0,0,0.00,0.00,0.00
3,0.7922,0.604192,0.706029,0.669333,0.00,0.00,0,0,42,24,inf,122,62,258,140.14,82.84,219.02,98.14,58.84,0.00,1,0,0,0,0.00,0.00,0.00
6,0.8169,0.534987,0.697446,0.679534,0.00,0.00,0,0,42,24,inf,136,61,245,149.21,73.73,219.07,107.21,49.73,0.00,1,0,0,0,0.00,0.00,0.00
9,0.8295,0.518509,0.708648,0.688412,0.00,0.00,0,0,42,24,inf,127,74,241,143.00,83.96,215.04,101.00,59.96,0.00,1,0,0,0,0.00,0.00,0.00
12,0.8426,0.506485,0.709564,0.688313,0.00,0.00,0,0,42,24,inf,134,72,236,149.03,81.12,211.85,107.03,57.12,0.00,1,0,0,0,0.00,0.00,0.00
15,0.8579,0.444796,0.706349,0.680176,0.00,0.00,0,0,42,24,inf,127,72,243,135.25,86.93,219.82,93.25,62.93,0.00,1,0,0,0,0.00,0.00,0.00
18,0.8630,0.423921,0.720728,0.699696,0.00,0.00,0,0,42,24,inf,121,87,234,137.03,95.45,209.52,95.03,71.45,0.00,1,0,0,0,0.00,0.00,0.00
21,0.8652,0.426469,0.682323,0.649980,0.00,0.00,0,0,42,24,inf,126,65,251,138.33,74.46,229.21,96.33,50.46,0.00,1,0,0,0,0.00,0.00,0.00
