Epoch,Train_Acc,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
1,0.5990,0.921863,0.000000,0.134549,1.00,1.00,1,0,113,63,inf,28,0,414,32.66,11.12,398.22,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
3,0.5887,0.739167,0.000000,0.120869,1.00,1.00,1,1,113,63,inf,17,0,425,25.35,12.47,404.18,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
6,0.6020,0.750503,0.000000,0.000000,1.00,1.00,1,1,113,63,inf,20,0,422,27.03,9.16,405.82,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
9,0.6166,0.713964,0.000000,0.000000,1.00,1.00,1,1,113,63,inf,21,1,420,25.73,13.11,403.16,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
12,0.5919,0.667055,0.000000,0.000000,1.00,1.00,1,1,113,63,inf,19,3,420,24.59,11.92,405.49,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
15,0.6098,0.652319,0.000000,0.000000,1.00,1.00,1,1,113,63,inf,15,0,427,20.84,10.76,410.40,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
18,0.6164,0.673855,0.000000,0.000000,1.00,1.00,1,1,113,63,inf,17,2,423,21.91,11.06,409.02,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
21,0.6144,0.632441,0.000000,0.000000,1.00,1.00,1,1,113,63,inf,13,3,426,25.17,14.82,402.01,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
24,0.5972,0.576769,0.000000,0.000000,1.00,1.00,1,1,113,63,inf,12,1,429,23.53,14.87,403.60,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
27,0.5866,0.588130,0.000000,0.031121,1.00,1.00,1,1,113,63,inf,11,2,429,21.27,14.07,406.66,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
30,0.6121,0.588711,0.000000,0.000000,1.00,1.00,1,1,113,63,inf,11,3,428,20.39,12.74,408.87,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
33,0.6207,0.598866,0.000000,0.000000,1.00,1.00,1,1,113,63,inf,11,3,428,20.23,13.73,408.04,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
36,0.6065,0.582731,0.000000,0.000000,1.00,1.00,1,1,113,63,inf,11,1,430,20.00,9.05,412.95,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
39,0.5970,0.548907,0.000000,0.000000,1.00,1.00,1,1,113,63,inf,7,0,435,15.93,5.52,420.56,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
42,0.5786,0.531421,0.000000,0.000703,1.00,1.00,1,1,113,63,inf,7,1,434,15.92,14.52,411.57,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
45,0.6048,0.538331,0.000000,0.000000,1.00,1.00,1,1,113,63,inf,11,1,430,24.97,8.36,408.67,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
48,0.5995,0.577781,0.000000,0.067360,1.00,1.00,1,1,113,63,inf,8,1,433,24.57,7.30,410.13,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
51,0.6154,0.560638,0.000000,0.078980,1.00,1.00,1,1,113,63,inf,8,2,432,22.76,12.24,407.00,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
54,0.6025,0.549712,0.000000,0.000000,1.00,1.00,1,1,113,63,inf,8,3,431,17.15,13.84,411.01,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
57,0.5902,0.512928,0.000000,0.000000,1.00,1.00,1,1,113,63,inf,6,1,435,26.62,13.95,401.43,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
60,0.6411,0.512892,0.000000,0.000000,1.00,1.00,1,1,113,63,inf,9,4,429,21.06,12.78,408.16,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
63,0.5942,0.513951,0.000000,0.000000,1.00,1.00,1,1,113,63,inf,7,1,434,20.37,12.54,409.09,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
66,0.6068,0.482856,0.000000,0.055953,1.00,1.00,1,1,113,63,inf,7,1,434,26.31,8.69,407.01,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
69,0.5874,0.482253,0.000000,0.000000,1.00,1.00,1,1,113,63,inf,5,2,435,15.06,15.54,411.40,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
72,0.6491,0.514574,0.000000,0.190343,1.00,1.00,1,1,113,63,inf,10,2,430,25.53,14.41,402.06,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
75,0.5798,0.442337,0.000000,0.077962,1.00,1.00,1,1,113,63,inf,4,2,436,11.89,11.21,418.90,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
78,0.5879,0.462611,0.000000,0.000000,1.00,1.00,1,1,113,63,inf,5,1,436,16.05,13.66,412.29,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
81,0.6063,0.481431,0.000000,0.059239,1.00,1.00,1,1,113,63,inf,5,0,437,24.10,8.27,409.63,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
84,0.6456,0.454936,0.000000,0.210441,1.00,1.00,1,1,113,63,inf,4,1,437,25.70,10.17,406.13,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
87,0.6763,0.459867,0.000000,0.000000,1.00,1.00,1,1,113,63,inf,11,3,428,32.45,14.90,394.65,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
90,0.6466,0.454454,0.000000,0.000000,1.00,1.00,1,1,113,63,inf,6,2,434,27.00,12.88,402.12,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
93,0.6123,0.439069,0.000000,0.058982,1.00,1.00,1,1,113,63,inf,6,1,435,24.54,11.28,406.18,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
96,0.5866,0.428905,0.000000,0.000000,1.00,1.00,1,1,113,63,inf,5,0,437,21.98,7.34,412.68,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
99,0.6161,0.451467,0.000000,0.000000,1.00,1.00,1,1,113,63,inf,6,1,435,28.82,13.50,399.67,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
102,0.6189,0.437786,0.000000,0.145209,1.00,1.00,1,0,113,63,inf,8,2,432,20.25,11.06,410.69,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
105,0.5982,0.457768,0.000000,0.102167,1.00,1.00,1,1,113,63,inf,3,1,438,19.17,7.52,415.31,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
108,0.6033,0.454905,0.000000,0.000000,1.00,1.00,1,1,113,63,inf,4,3,435,14.59,11.21,416.20,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
111,0.6181,0.480886,0.000000,0.000000,1.00,1.00,1,1,113,63,inf,11,2,429,28.54,11.64,401.82,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
114,0.6073,0.461588,0.000000,0.000000,1.00,1.00,1,1,113,63,inf,7,1,434,30.18,10.23,401.59,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
117,0.6139,0.466295,0.000000,0.000000,1.00,1.00,1,1,113,63,inf,5,2,435,21.93,7.68,412.38,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
120,0.6149,0.420926,0.000000,0.000000,1.00,1.00,1,1,113,63,inf,4,1,437,22.75,14.98,404.27,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
123,0.6451,0.391577,0.000000,0.000000,1.00,1.00,1,1,113,63,inf,6,4,432,29.32,15.57,397.11,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
126,0.5793,0.431238,0.000000,0.000000,1.00,1.00,1,1,113,63,inf,2,1,439,25.99,8.07,407.94,0.00,0.00,0.00,1,0,0,0,0.00,0.00,0.00
