Course_ID,Class,Constraint,Predicted,Overprediction,Status
1,Dropout,Unlimited,1,0,N/A
1,Enrolled,Unlimited,0,0,N/A
1,Graduate,Unlimited,0,0,N/A
2,Dropout,3.0,0,0,OK
2,Enrolled,1.0,0,0,OK
2,Graduate,Unlimited,22,0,N/A
3,Dropout,3.0,0,0,OK
3,Enrolled,1.0,0,0,OK
3,Graduate,Unlimited,22,0,N/A
4,Dropout,3.0,0,0,OK
4,Enrolled,1.0,0,0,OK
4,Graduate,Unlimited,13,0,N/A
5,Dropout,2.0,0,0,OK
5,Enrolled,2.0,0,0,OK
5,Graduate,Unlimited,21,0,N/A
6,Dropout,4.0,0,0,OK
6,Enrolled,3.0,2,0,OK
6,Graduate,Unlimited,41,0,N/A
7,Dropout,4.0,0,0,OK
7,Enrolled,3.0,0,0,OK
7,Graduate,Unlimited,7,0,N/A
8,Dropout,3.0,0,0,OK
8,Enrolled,1.0,0,0,OK
8,Graduate,Unlimited,10,0,N/A
9,Dropout,5.0,0,0,OK
9,Enrolled,4.0,0,0,OK
9,Graduate,Unlimited,30,0,N/A
10,Dropout,3.0,0,0,OK
10,Enrolled,2.0,0,0,OK
10,Graduate,Unlimited,45,0,N/A
11,Dropout,4.0,0,0,OK
11,Enrolled,2.0,0,0,OK
11,Graduate,Unlimited,28,0,N/A
12,Dropout,5.0,0,0,OK
12,Enrolled,4.0,0,0,OK
12,Graduate,Unlimited,81,0,N/A
13,Dropout,1.0,0,0,OK
13,Enrolled,1.0,0,0,OK
13,Graduate,Unlimited,12,0,N/A
14,Dropout,4.0,0,0,OK
14,Enrolled,2.0,0,0,OK
14,Graduate,Unlimited,16,0,N/A
15,Dropout,4.0,0,0,OK
15,Enrolled,1.0,0,0,OK
15,Graduate,Unlimited,34,0,N/A
16,Dropout,3.0,0,0,OK
16,Enrolled,2.0,0,0,OK
16,Graduate,Unlimited,23,0,N/A
17,Dropout,5.0,0,0,OK
17,Enrolled,2.0,0,0,OK
17,Graduate,Unlimited,34,0,N/A
