Epoch,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
3,0.638335,0.686378,0.498820,0.00,0.00,0,0,43,24,inf,126,44,272,137.18,76.49,228.34,94.18,52.49,0.00,2,10,0,12,8.56,3.89,9.54
6,0.579280,0.693037,0.497209,0.00,0.00,0,0,43,24,inf,120,51,271,131.78,83.44,226.78,88.78,59.44,0.00,2,11,1,10,9.13,3.88,9.00
9,0.573634,0.678571,0.474285,0.00,0.00,0,0,43,24,inf,117,53,272,127.09,78.81,236.10,84.09,54.81,0.00,2,7,1,14,7.05,3.70,11.24
12,0.541774,0.684553,0.534377,0.00,0.00,0,0,43,24,inf,114,57,271,126.77,82.27,232.95,83.77,58.27,0.00,2,6,1,15,6.74,4.12,11.14
15,0.547893,0.684121,0.510933,0.00,0.00,0,0,43,24,inf,131,50,261,136.63,75.70,229.67,93.63,51.70,0.00,2,13,1,8,10.49,3.06,8.45
18,0.519378,0.681088,0.521665,0.00,0.00,0,0,43,24,inf,108,62,272,124.50,82.07,235.43,81.50,58.07,0.00,2,6,1,15,6.50,3.72,11.78
21,0.524798,0.671572,0.524775,0.00,0.00,0,0,43,24,inf,113,50,279,126.80,75.53,239.67,83.80,51.53,0.00,2,8,1,13,7.80,3.27,10.93
24,0.489220,0.676853,0.503693,0.00,0.00,0,0,43,24,inf,113,57,272,127.89,77.40,236.71,84.89,53.40,0.00,2,9,1,12,9.62,2.46,9.92
27,0.486037,0.662427,0.510902,0.00,0.00,0,0,43,24,inf,107,52,283,123.31,73.52,245.17,80.31,49.52,0.00,2,7,1,14,8.43,2.75,10.82
30,0.467443,0.671602,0.503482,0.00,0.00,0,0,43,24,inf,112,57,273,125.44,76.43,240.13,82.44,52.43,0.00,2,6,1,15,6.76,3.32,11.92
33,0.478840,0.676385,0.500639,0.00,0.00,0,0,43,24,inf,124,53,265,132.78,74.22,235.01,89.78,50.22,0.00,2,7,1,14,7.33,3.69,10.98
36,0.460950,0.670898,0.508267,0.00,0.00,0,0,43,24,inf,115,53,274,124.14,76.96,240.89,81.14,52.96,0.00,2,7,2,13,7.18,3.53,11.29
39,0.438540,0.656200,0.488772,0.00,0.00,0,0,43,24,inf,115,53,274,122.40,71.36,248.23,79.40,47.36,0.00,2,6,1,15,5.83,3.27,12.90
42,0.427823,0.675204,0.508321,0.00,0.00,0,0,43,24,inf,114,63,265,125.52,78.17,238.31,82.52,54.17,0.00,2,6,2,14,6.80,4.38,10.82
45,0.411323,0.688945,0.520870,0.00,0.00,0,0,43,24,inf,110,74,258,128.59,83.41,229.99,85.59,59.41,0.00,2,9,1,12,9.05,2.70,10.25
48,0.418461,0.677032,0.499895,0.00,0.00,0,0,43,24,inf,111,58,273,121.54,82.15,238.31,78.54,58.15,0.00,2,7,1,14,7.18,4.17,10.66
51,0.406182,0.672247,0.494097,0.00,0.00,0,0,43,24,inf,113,62,267,123.78,77.89,240.33,80.78,53.89,0.00,2,8,2,12,8.38,3.06,10.56
54,0.385445,0.688199,0.541812,0.00,0.00,0,0,43,24,inf,123,63,256,129.78,82.11,230.10,86.78,58.11,0.00,2,8,2,12,7.49,4.54,9.97
57,0.383286,0.705220,0.568560,0.00,0.00,0,0,43,24,inf,129,68,245,141.75,83.86,216.40,98.75,59.86,0.00,2,12,1,9,9.98,3.16,8.86
60,0.389679,0.674973,0.500100,0.00,0.00,0,0,43,24,inf,113,69,260,124.85,78.52,238.63,81.85,54.52,0.00,2,7,1,14,7.35,3.26,11.39
63,0.365682,0.685230,0.521796,0.00,0.00,0,0,43,24,inf,120,71,251,126.04,83.22,232.74,83.04,59.22,0.00,2,6,3,13,5.16,5.83,11.01
66,0.363929,0.684180,0.507886,0.00,0.00,0,0,43,24,inf,118,64,260,126.20,82.50,233.30,83.20,58.50,0.00,2,5,2,15,5.59,4.26,12.15
