Epoch,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
3,0.625839,0.434479,0.422592,0.00,0.00,0,0,71,40,inf,108,49,285,127.11,69.87,245.02,56.11,29.87,0.00,2,8,0,14,7.89,4.63,9.47
6,0.598904,0.500150,0.487486,0.00,0.00,0,0,71,40,inf,134,53,255,142.52,79.76,219.72,71.52,39.76,0.00,2,17,0,5,11.07,4.10,6.83
9,0.573289,0.498385,0.503853,0.00,0.00,0,0,71,40,inf,106,66,270,131.86,86.06,224.08,60.86,46.06,0.00,2,8,1,13,8.79,3.78,9.44
12,0.539238,0.502450,0.480789,0.00,0.00,0,0,71,40,inf,122,55,265,135.53,84.88,221.59,64.53,44.88,0.00,2,6,2,14,7.06,4.73,10.21
15,0.530732,0.471970,0.464248,0.00,0.00,0,0,71,40,inf,111,60,271,124.56,82.29,235.14,53.56,42.29,0.00,2,8,1,13,7.10,4.29,10.62
18,0.514764,0.491175,0.501477,0.00,0.00,0,0,71,40,inf,112,68,262,127.24,87.02,227.74,56.24,47.02,0.00,2,10,1,11,8.22,3.66,10.12
21,0.504514,0.449579,0.455863,0.00,0.00,0,0,71,40,inf,105,61,276,122.57,76.69,242.74,51.57,36.69,0.00,2,6,1,15,7.64,3.69,10.66
24,0.489658,0.484461,0.478601,0.00,0.00,0,0,71,40,inf,121,65,256,133.88,79.88,228.24,62.88,39.88,0.00,2,7,4,11,7.75,4.82,9.43
27,0.468564,0.454012,0.444410,0.00,0.00,0,0,71,40,inf,122,56,264,133.60,71.36,237.04,62.60,31.36,0.00,2,7,1,14,7.86,2.66,11.48
30,0.488205,0.475547,0.475557,0.00,0.00,0,0,71,40,inf,126,58,258,138.05,74.82,229.13,67.05,34.82,0.00,2,11,1,10,10.01,2.83,9.15
33,0.462575,0.486423,0.460264,0.00,0.00,0,0,71,40,inf,118,68,256,128.63,84.18,229.19,57.63,44.18,0.00,2,9,1,12,7.87,3.70,10.43
36,0.453418,0.455333,0.473247,0.00,0.00,0,0,71,40,inf,132,49,261,141.44,68.10,232.46,70.44,28.10,0.00,2,9,1,12,7.90,3.78,10.32
39,0.444339,0.478645,0.476309,0.00,0.00,0,0,71,40,inf,120,66,256,129.31,81.03,231.66,58.31,41.03,0.00,2,11,1,10,8.55,4.25,9.20
42,0.435513,0.497030,0.477508,0.00,0.00,0,0,71,40,inf,122,69,251,135.10,83.26,223.64,64.10,43.26,0.00,2,6,1,15,6.55,4.27,11.18
45,0.417163,0.436385,0.441940,0.00,0.00,0,0,71,40,inf,121,61,260,127.72,70.01,244.27,56.72,30.01,0.00,2,11,1,10,8.83,3.12,10.05
48,0.416459,0.476425,0.479318,0.00,0.00,0,0,71,40,inf,120,70,252,125.92,82.76,233.31,54.92,42.76,0.00,2,12,1,9,9.17,3.56,9.26
51,0.393911,0.468095,0.462622,0.00,0.00,0,0,71,40,inf,117,63,262,126.40,79.67,235.94,55.40,39.67,0.00,2,4,4,14,5.98,5.21,10.82
54,0.406853,0.435881,0.463927,0.00,0.00,0,0,71,40,inf,123,42,277,130.08,68.68,243.24,59.08,28.68,0.00,2,5,1,16,6.84,3.52,11.63
57,0.374749,0.416497,0.443006,0.00,0.00,0,0,71,40,inf,119,55,268,128.16,65.25,248.59,57.16,25.25,0.00,2,9,1,12,8.61,3.32,10.07
60,0.383104,0.428094,0.417419,0.00,0.00,0,0,71,40,inf,116,57,269,121.89,71.26,248.85,50.89,31.26,0.00,2,8,1,13,7.82,3.83,10.35
63,0.381587,0.460903,0.462152,0.00,0.00,0,0,71,40,inf,121,61,260,128.99,75.79,237.22,57.99,35.79,0.00,2,7,1,14,8.19,3.21,10.60
66,0.359826,0.486756,0.470930,0.00,0.00,0,0,71,40,inf,115,83,244,121.92,90.07,230.02,50.92,50.07,0.00,2,7,2,13,7.57,4.00,10.43
69,0.339239,0.455798,0.471671,0.00,0.00,0,0,71,40,inf,122,66,254,131.20,73.09,237.71,60.20,33.09,0.00,2,8,1,13,8.27,3.46,10.26
72,0.354747,0.463993,0.466128,0.00,0.00,0,0,71,40,inf,118,62,262,127.94,77.36,236.70,56.94,37.36,0.00,2,8,1,13,8.67,3.20,10.13
75,0.322525,0.472066,0.460558,0.00,0.00,0,0,71,40,inf,122,73,247,129.44,78.84,233.72,58.44,38.84,0.00,2,8,0,14,8.70,2.03,11.28
78,0.316404,0.485963,0.467219,0.00,0.00,0,0,71,40,inf,123,74,245,128.49,84.12,229.39,57.49,44.12,0.00,2,13,1,8,10.14,3.08,8.77
