Epoch,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
3,0.754570,0.452344,0.354422,0.00,0.00,0,0,71,40,inf,138,4,300,129.64,69.91,242.45,58.64,29.91,0.00,2,16,0,6,11.49,3.39,7.12
6,0.672815,0.452856,0.338797,0.00,0.00,0,0,71,40,inf,126,35,281,129.76,72.81,239.42,58.76,32.81,0.00,2,14,0,8,9.53,4.32,8.16
9,0.655903,0.484538,0.413835,0.00,0.00,0,0,71,40,inf,131,39,272,137.74,75.99,228.27,66.74,35.99,0.00,2,14,0,8,9.62,4.24,8.14
12,0.640997,0.474979,0.405898,0.00,0.00,0,0,71,40,inf,126,36,280,135.23,75.78,230.98,64.23,35.78,0.00,2,8,0,14,8.35,4.17,9.48
15,0.622762,0.479346,0.419014,0.00,0.00,0,0,71,40,inf,125,41,276,135.45,77.35,229.20,64.45,37.35,0.00,2,9,0,13,8.73,4.16,9.11
18,0.607125,0.485247,0.443454,0.00,0.00,0,0,71,40,inf,126,40,276,137.93,75.89,228.18,66.93,35.89,0.00,2,9,0,13,8.97,3.72,9.31
21,0.597558,0.474419,0.408592,0.00,0.00,0,0,71,40,inf,122,41,279,132.41,77.68,231.91,61.41,37.68,0.00,2,7,0,15,7.66,4.07,10.27
24,0.595255,0.470851,0.411855,0.00,0.00,0,0,71,40,inf,115,48,279,130.02,78.09,233.89,59.02,38.09,0.00,2,7,0,15,8.36,3.40,10.24
27,0.591092,0.466178,0.384882,0.00,0.00,0,0,71,40,inf,124,41,277,132.61,75.15,234.24,61.61,35.15,0.00,2,8,0,14,8.14,3.34,10.52
30,0.591156,0.485289,0.410466,0.00,0.00,0,0,71,40,inf,134,41,267,143.37,74.88,223.75,72.37,34.88,0.00,2,9,0,13,9.19,3.08,9.73
33,0.579016,0.466851,0.382756,0.00,0.00,0,0,71,40,inf,124,42,276,134.28,74.41,233.31,63.28,34.41,0.00,2,8,0,14,8.50,3.63,9.87
36,0.583124,0.481760,0.398396,0.00,0.00,0,0,71,40,inf,126,46,270,135.18,78.24,228.58,64.18,38.24,0.00,2,8,1,13,8.57,3.54,9.89
39,0.577337,0.482358,0.384772,0.00,0.00,0,0,71,40,inf,126,47,269,135.93,77.98,228.09,64.93,37.98,0.00,2,11,0,11,9.42,3.31,9.26
42,0.569526,0.459228,0.378729,0.00,0.00,0,0,71,40,inf,124,40,278,131.29,72.16,238.54,60.29,32.16,0.00,2,9,0,13,8.34,3.02,10.63
45,0.562196,0.463929,0.388731,0.00,0.00,0,0,71,40,inf,124,45,273,133.07,74.27,234.66,62.07,34.27,0.00,2,9,0,13,8.77,3.06,10.17
48,0.580334,0.478929,0.383524,0.00,0.00,0,0,71,40,inf,126,47,269,132.79,78.83,230.39,61.79,38.83,0.00,2,8,0,14,8.46,3.34,10.19
51,0.569717,0.458644,0.389807,0.00,0.00,0,0,71,40,inf,127,42,273,133.98,72.36,235.66,62.98,32.36,0.00,2,8,0,14,8.27,3.00,10.73
54,0.552326,0.452898,0.363729,0.00,0.00,0,0,71,40,inf,121,48,273,130.31,72.82,238.88,59.31,32.82,0.00,2,8,0,14,8.97,3.00,10.03
57,0.558087,0.454884,0.364603,0.00,0.00,0,0,71,40,inf,122,43,277,130.53,73.22,238.25,59.53,33.22,0.00,2,7,1,14,8.58,3.12,10.30
60,0.553024,0.464952,0.362648,0.00,0.00,0,0,71,40,inf,128,38,276,132.70,70.04,239.26,61.70,30.04,0.00,2,8,0,14,8.90,3.21,9.89
63,0.553323,0.460429,0.380553,0.00,0.00,0,0,71,40,inf,116,54,272,127.81,76.39,237.80,56.81,36.39,0.00,2,7,1,14,7.91,3.21,10.88
66,0.548062,0.455071,0.351812,0.00,0.00,0,0,71,40,inf,129,43,270,133.92,71.47,236.61,62.92,31.47,0.00,2,9,0,13,8.46,3.07,10.46
69,0.556408,0.457527,0.390838,0.00,0.00,0,0,71,40,inf,113,50,279,125.79,76.85,239.36,54.79,36.85,0.00,2,6,1,15,6.75,3.52,11.72
72,0.547815,0.460690,0.390776,0.00,0.00,0,0,71,40,inf,121,45,276,134.05,72.86,235.09,63.05,32.86,0.00,2,8,0,14,8.13,2.93,10.94
