Epoch,L_pred_CE,L_target_Global,L_feat_Local,Lambda_Global,Lambda_Local,Global_Satisfied,Local_Satisfied,Limit_Dropout,Limit_Enrolled,Limit_Graduate,Hard_Dropout,Hard_Enrolled,Hard_Graduate,Soft_Dropout,Soft_Enrolled,Soft_Graduate,Excess_Dropout,Excess_Enrolled,Excess_Graduate,Course_ID,Course_Hard_Dropout,Course_Hard_Enrolled,Course_Hard_Graduate,Course_Soft_Dropout,Course_Soft_Enrolled,Course_Soft_Graduate
3,0.642748,0.252451,0.381874,0.00,0.00,0,0,99,56,inf,114,49,279,132.43,73.97,235.60,33.43,17.97,0.00,2,7,0,15,8.25,3.43,10.32
6,0.602408,0.229992,0.388071,0.00,0.00,0,0,99,56,inf,115,53,274,128.57,78.46,234.97,29.57,22.46,0.00,2,5,0,17,7.04,3.36,11.60
9,0.571684,0.237083,0.362908,0.00,0.00,0,0,99,56,inf,120,47,275,129.77,75.05,237.19,30.77,19.05,0.00,2,6,0,16,7.98,3.36,10.65
12,0.564623,0.249424,0.375954,0.00,0.00,0,0,99,56,inf,118,55,269,131.90,78.24,231.86,32.90,22.24,0.00,2,6,1,15,7.89,3.74,10.37
15,0.549316,0.287926,0.370604,0.00,0.00,0,0,99,56,inf,116,63,263,129.07,85.22,227.71,30.07,29.22,0.00,2,8,1,13,8.23,3.87,9.90
18,0.531181,0.253240,0.399173,0.00,0.00,0,0,99,56,inf,122,56,264,132.57,83.99,225.43,33.57,27.99,0.00,2,6,1,15,7.68,4.34,9.98
21,0.526017,0.253587,0.344708,0.00,0.00,0,0,99,56,inf,124,55,263,132.63,73.80,235.57,33.63,17.80,0.00,2,8,1,13,8.40,3.37,10.23
24,0.520464,0.255758,0.361930,0.00,0.00,0,0,99,56,inf,127,51,264,133.02,75.82,233.16,34.02,19.82,0.00,2,15,1,6,9.81,3.19,9.00
27,0.521241,0.270035,0.382694,0.00,0.00,0,0,99,56,inf,113,67,262,127.44,81.98,232.58,28.44,25.98,0.00,2,11,1,10,9.50,3.75,8.75
30,0.494071,0.268885,0.373801,0.00,0.00,0,0,99,56,inf,110,65,267,129.43,80.31,232.27,30.43,24.31,0.00,2,6,1,15,7.18,3.60,11.23
33,0.489101,0.221423,0.371394,0.00,0.00,0,0,99,56,inf,108,59,275,122.36,74.86,244.78,23.36,18.86,0.00,2,7,1,14,8.01,3.76,10.23
36,0.486151,0.260413,0.351712,0.00,0.00,0,0,99,56,inf,119,61,262,131.32,77.21,233.47,32.32,21.21,0.00,2,8,1,13,8.21,3.21,10.58
39,0.478697,0.246336,0.345362,0.00,0.00,0,0,99,56,inf,119,60,263,126.98,76.95,238.06,27.98,20.95,0.00,2,11,1,10,8.88,3.59,9.53
42,0.474522,0.243529,0.338274,0.00,0.00,0,0,99,56,inf,123,50,269,130.87,70.44,240.69,31.87,14.44,0.00,2,7,1,14,8.09,3.49,10.41
45,0.464165,0.290268,0.378197,0.00,0.00,0,0,99,56,inf,129,59,254,137.35,80.15,224.50,38.35,24.15,0.00,2,10,1,11,9.02,3.45,9.53
48,0.453803,0.249755,0.367002,0.00,0.00,0,0,99,56,inf,120,62,260,124.58,79.34,238.08,25.58,23.34,0.00,2,7,1,14,6.66,4.15,11.19
51,0.454587,0.269862,0.375470,0.00,0.00,0,0,99,56,inf,124,62,256,133.14,78.14,230.72,34.14,22.14,0.00,2,7,1,14,7.38,3.42,11.20
54,0.442146,0.258959,0.383710,0.00,0.00,0,0,99,56,inf,122,59,261,133.37,75.70,232.93,34.37,19.70,0.00,2,6,1,15,6.50,3.89,11.60
57,0.450140,0.245792,0.340916,0.00,0.00,0,0,99,56,inf,118,64,260,123.50,79.23,239.27,24.50,23.23,0.00,2,8,1,13,7.27,3.52,11.21
60,0.438522,0.276992,0.340867,0.00,0.00,0,0,99,56,inf,122,64,256,132.26,80.29,229.45,33.26,24.29,0.00,2,10,0,12,9.27,2.58,10.15
63,0.416288,0.258738,0.340085,0.00,0.00,0,0,99,56,inf,127,54,261,133.56,69.14,239.30,34.56,13.14,0.00,2,7,0,15,7.62,3.40,10.98
66,0.419512,0.242099,0.347039,0.00,0.00,0,0,99,56,inf,119,65,258,127.91,75.49,238.60,28.91,19.49,0.00,2,10,1,11,9.03,3.24,9.73
69,0.411333,0.264157,0.348506,0.00,0.00,0,0,99,56,inf,128,64,250,134.97,75.86,231.17,35.97,19.86,0.00,2,7,1,14,8.18,3.47,10.35
72,0.413396,0.288282,0.360431,0.00,0.00,0,0,99,56,inf,122,71,249,131.17,83.74,227.08,32.17,27.74,0.00,2,6,1,15,7.75,3.83,10.43
75,0.395292,0.261780,0.377553,0.00,0.00,0,0,99,56,inf,117,66,259,128.40,79.38,234.21,29.40,23.38,0.00,2,5,0,17,7.10,3.17,11.73
78,0.408662,0.254779,0.357324,0.00,0.00,0,0,99,56,inf,121,61,260,129.56,77.10,235.34,30.56,21.10,0.00,2,7,1,14,7.87,3.35,10.79
81,0.396176,0.283953,0.369512,0.00,0.00,0,0,99,56,inf,127,67,248,134.06,80.74,227.20,35.06,24.74,0.00,2,10,0,12,9.26,2.98,9.76
84,0.390360,0.231898,0.366059,0.00,0.00,0,0,99,56,inf,118,61,263,127.85,73.51,240.65,28.85,17.51,0.00,2,5,1,16,6.63,3.25,12.12
87,0.384450,0.244625,0.322178,0.00,0.00,0,0,99,56,inf,121,62,259,126.75,76.74,238.50,27.75,20.74,0.00,2,8,1,13,7.94,2.99,11.07
90,0.373942,0.216467,0.293994,0.00,0.00,0,0,99,56,inf,116,55,271,126.35,67.50,248.15,27.35,11.50,0.00,2,5,1,16,7.50,2.94,11.56
93,0.388140,0.222278,0.383568,0.00,0.00,0,0,99,56,inf,112,58,272,122.41,75.00,244.59,23.41,19.00,0.00,2,6,1,15,7.22,2.98,11.80
96,0.379093,0.209868,0.356633,0.00,0.00,0,0,99,56,inf,114,59,269,120.79,73.62,247.59,21.79,17.62,0.00,2,4,1,17,5.82,3.48,12.70
99,0.374100,0.270292,0.389793,0.00,0.00,0,0,99,56,inf,112,79,251,124.33,84.45,233.22,25.33,28.45,0.00,2,6,1,15,7.99,2.82,11.18
102,0.367354,0.276285,0.353591,0.00,0.00,0,0,99,56,inf,124,71,247,135.08,78.37,228.55,36.08,22.37,0.00,2,6,0,16,7.44,2.92,11.64
105,0.361273,0.233130,0.332050,0.00,0.00,0,0,99,56,inf,118,71,253,127.38,74.02,240.60,28.38,18.02,0.00,2,6,0,16,7.70,1.98,12.32
108,0.343704,0.297160,0.357057,0.00,0.00,0,0,99,56,inf,129,72,241,133.62,84.24,224.14,34.62,28.24,0.00,2,10,1,11,9.52,2.47,10.01
111,0.347835,0.261661,0.341803,0.00,0.00,0,0,99,56,inf,119,70,253,129.07,78.91,234.02,30.07,22.91,0.00,2,8,1,13,7.84,2.91,11.25
114,0.345476,0.228101,0.339909,0.00,0.00,0,0,99,56,inf,115,68,259,123.76,75.28,242.96,24.76,19.28,0.00,2,4,0,18,7.18,2.15,12.66
117,0.347875,0.254495,0.323746,0.00,0.00,0,0,99,56,inf,120,69,253,126.49,79.06,236.45,27.49,23.06,0.00,2,6,0,16,7.29,3.11,11.60
120,0.354308,0.284348,0.358212,0.00,0.00,0,0,99,56,inf,116,78,248,127.19,85.77,229.04,28.19,29.77,0.00,2,6,1,15,8.15,3.28,10.58
123,0.327482,0.269515,0.323245,0.00,0.00,0,0,99,56,inf,130,71,241,134.29,77.37,230.33,35.29,21.37,0.00,2,11,0,11,9.48,2.57,9.95
126,0.356539,0.251334,0.322557,0.00,0.00,0,0,99,56,inf,119,70,253,123.49,80.50,238.01,24.49,24.50,0.00,2,8,1,13,8.19,3.59,10.22
129,0.347793,0.228327,0.303462,0.00,0.00,0,0,99,56,inf,124,53,265,128.29,65.27,248.44,29.29,9.27,0.00,2,7,1,14,7.09,3.98,10.93
132,0.330647,0.304910,0.337123,0.00,0.00,0,0,99,56,inf,125,77,240,133.48,86.35,222.17,34.48,30.35,0.00,2,9,1,12,8.79,3.53,9.68
135,0.326343,0.244259,0.338828,0.00,0.00,0,0,99,56,inf,109,76,257,117.73,83.51,240.76,18.73,27.51,0.00,2,8,1,13,8.32,3.19,10.48
138,0.327194,0.297545,0.369244,0.00,0.00,0,0,99,56,inf,128,75,239,133.03,84.75,224.21,34.03,28.75,0.00,2,11,0,11,10.25,2.21,9.55
141,0.317853,0.259572,0.319578,0.00,0.00,0,0,99,56,inf,121,66,255,129.55,78.14,234.31,30.55,22.14,0.00,2,11,1,10,9.98,2.74,9.29
144,0.305305,0.221220,0.317904,0.00,0.00,0,0,99,56,inf,118,61,263,125.64,72.76,243.59,26.64,16.76,0.00,2,8,1,13,9.34,2.74,9.92
147,0.315438,0.278196,0.341143,0.00,0.00,0,0,99,56,inf,118,76,248,128.60,83.11,230.29,29.60,27.11,0.00,2,7,3,12,8.19,3.64,10.17
150,0.295703,0.296963,0.371713,0.00,0.00,0,0,99,56,inf,118,83,241,126.31,89.99,225.70,27.31,33.99,0.00,2,9,2,11,8.94,3.67,9.39
153,0.292717,0.266348,0.351222,0.00,0.00,0,0,99,56,inf,121,78,243,127.84,80.82,233.34,28.84,24.82,0.00,2,8,3,11,9.01,3.55,9.44
156,0.325092,0.252041,0.367475,0.00,0.00,0,0,99,56,inf,119,64,259,127.82,77.63,236.55,28.82,21.63,0.00,2,5,2,15,7.58,3.46,10.96
159,0.325812,0.309634,0.364213,0.00,0.00,0,0,99,56,inf,131,76,235,135.11,86.42,220.47,36.11,30.42,0.00,2,11,1,10,10.15,2.63,9.22
162,0.298611,0.220315,0.300982,0.00,0.00,0,0,99,56,inf,129,59,254,134.53,68.01,239.47,35.53,12.01,0.00,2,8,1,13,8.49,2.81,10.71
165,0.291872,0.251014,0.395898,0.00,0.00,0,0,99,56,inf,118,71,253,123.91,80.11,237.97,24.91,24.11,0.00,2,7,2,13,7.33,3.85,10.82
168,0.297783,0.228516,0.300384,0.00,0.00,0,0,99,56,inf,112,75,255,118.24,79.36,244.41,19.24,23.36,0.00,2,8,2,12,7.13,4.08,10.78
171,0.286333,0.264657,0.353201,0.00,0.00,0,0,99,56,inf,119,74,249,123.77,83.48,234.75,24.77,27.48,0.00,2,9,2,11,9.12,2.97,9.91
174,0.278268,0.279117,0.322183,0.00,0.00,0,0,99,56,inf,123,74,245,127.94,83.84,230.22,28.94,27.84,0.00,2,8,1,13,8.56,3.13,10.31
177,0.319466,0.270835,0.334724,0.00,0.00,0,0,99,56,inf,122,74,246,125.03,84.02,232.95,26.03,28.02,0.00,2,9,1,12,9.67,2.76,9.57
180,0.279601,0.239257,0.346749,0.00,0.00,0,0,99,56,inf,117,72,253,119.21,81.04,241.75,20.21,25.04,0.00,2,8,1,13,7.26,3.28,11.46
183,0.312380,0.275334,0.339562,0.00,0.00,0,0,99,56,inf,126,72,244,130.49,81.09,230.43,31.49,25.09,0.00,2,9,1,12,9.06,3.15,9.79
186,0.267834,0.244308,0.344278,0.00,0.00,0,0,99,56,inf,129,66,247,131.45,73.85,236.69,32.45,17.85,0.00,2,9,2,11,9.86,2.49,9.64
189,0.287092,0.231653,0.339353,0.00,0.00,0,0,99,56,inf,115,72,255,119.52,79.05,243.43,20.52,23.05,0.00,2,8,4,10,8.63,3.96,9.42
192,0.288359,0.257362,0.381545,0.00,0.00,0,0,99,56,inf,111,78,253,119.81,84.98,237.21,20.81,28.98,0.00,2,6,4,12,6.93,4.75,10.32
195,0.296477,0.286351,0.359543,0.00,0.00,0,0,99,56,inf,130,73,239,134.24,81.18,226.58,35.24,25.18,0.00,2,9,2,11,9.34,2.74,9.92
198,0.263135,0.264895,0.322485,0.00,0.00,0,0,99,56,inf,119,76,247,121.01,85.88,235.11,22.01,29.88,0.00,2,10,1,11,9.01,2.74,10.25
201,0.303551,0.307904,0.357083,0.00,0.00,0,0,99,56,inf,125,84,233,131.05,89.06,221.88,32.05,33.06,0.00,2,7,2,13,8.06,3.18,10.76
204,0.275985,0.272138,0.324063,0.00,0.00,0,0,99,56,inf,132,55,255,136.01,67.36,238.62,37.01,11.36,0.00,2,9,2,11,9.38,2.84,9.78
207,0.261805,0.226246,0.364006,0.00,0.00,0,0,99,56,inf,106,76,260,112.00,84.39,245.61,13.00,28.39,0.00,2,8,2,12,8.04,3.30,10.67
210,0.264228,0.201331,0.319713,0.00,0.00,0,0,99,56,inf,113,62,267,116.90,74.62,250.48,17.90,18.62,0.00,2,8,2,12,7.98,3.52,10.51
213,0.286380,0.185527,0.304673,0.00,0.00,0,0,99,56,inf,109,65,268,116.02,72.20,253.78,17.02,16.20,0.00,2,7,1,14,7.56,3.08,11.37
216,0.269967,0.250776,0.319512,0.00,0.00,0,0,99,56,inf,116,75,251,122.71,80.97,238.33,23.71,24.97,0.00,2,7,2,13,8.81,3.40,9.79
219,0.265162,0.235492,0.318601,0.00,0.00,0,0,99,56,inf,122,68,252,126.46,75.05,240.49,27.46,19.05,0.00,2,9,1,12,8.25,3.03,10.72
222,0.258261,0.266031,0.337970,0.00,0.00,0,0,99,56,inf,122,73,247,126.89,81.43,233.68,27.89,25.43,0.00,2,9,1,12,9.37,2.30,10.33
225,0.263985,0.212386,0.323838,0.00,0.00,0,0,99,56,inf,107,70,265,117.93,76.11,247.96,18.93,20.11,0.00,2,6,3,13,7.62,3.53,10.85
228,0.275250,0.242412,0.334944,0.00,0.00,0,0,99,56,inf,122,66,254,126.52,76.43,239.05,27.52,20.43,0.00,2,7,1,14,8.75,2.54,10.70
231,0.263774,0.215512,0.347680,0.00,0.00,0,0,99,56,inf,111,68,263,115.83,78.40,247.77,16.83,22.40,0.00,2,8,1,13,8.63,3.04,10.32
234,0.251629,0.214639,0.309401,0.00,0.00,0,0,99,56,inf,125,62,255,128.12,70.18,243.71,29.12,14.18,0.00,2,8,2,12,8.92,3.54,9.54
237,0.256623,0.219852,0.321472,0.00,0.00,0,0,99,56,inf,125,61,256,126.18,72.19,243.63,27.18,16.19,0.00,2,8,1,13,8.43,3.05,10.51
240,0.256724,0.239405,0.343298,0.00,0.00,0,0,99,56,inf,122,68,252,129.37,74.08,238.55,30.37,18.08,0.00,2,8,3,11,7.79,3.56,10.65
243,0.247599,0.227788,0.308801,0.00,0.00,0,0,99,56,inf,123,67,252,130.59,71.22,240.19,31.59,15.22,0.00,2,7,3,12,7.88,4.40,9.72
246,0.258180,0.215954,0.320276,0.00,0.00,0,0,99,56,inf,117,66,259,119.19,75.93,246.88,20.19,19.93,0.00,2,8,3,11,7.54,4.01,10.45
249,0.266146,0.256139,0.332650,0.00,0.00,0,0,99,56,inf,119,79,244,119.80,84.68,237.52,20.80,28.68,0.00,2,9,4,9,7.93,4.16,9.91
252,0.250396,0.057164,0.391275,0.02,0.02,0,0,99,56,inf,102,47,293,105.00,56.22,280.78,6.00,0.22,0.00,2,6,1,15,6.77,2.93,12.30
255,0.241617,0.071890,0.219924,0.05,0.05,0,0,99,56,inf,103,51,288,106.67,61.52,273.82,7.67,5.52,0.00,2,5,1,16,6.71,3.35,11.94
258,0.252240,0.083803,0.228692,0.06,0.08,0,0,99,56,inf,104,45,293,108.06,59.09,274.86,9.06,3.09,0.00,2,6,1,15,7.29,3.35,11.35
261,0.239908,0.000000,0.197831,0.08,0.11,1,0,99,56,inf,96,50,296,97.72,62.34,281.94,0.00,6.34,0.00,2,5,2,15,5.61,3.77,12.62
264,0.241054,0.000000,0.228420,0.08,0.14,1,0,99,56,inf,96,53,293,101.91,60.49,279.59,2.91,4.49,0.00,2,6,2,14,6.87,2.73,12.40
267,0.278043,0.102506,0.192238,0.09,0.17,0,0,99,56,inf,105,53,284,110.31,63.85,267.85,11.31,7.85,0.00,2,7,1,14,7.96,2.73,11.31
270,0.260076,0.000000,0.300865,0.09,0.20,1,0,99,56,inf,97,55,290,102.62,64.27,275.12,3.62,8.27,0.00,2,6,3,13,7.19,2.99,11.82
273,0.262816,0.052651,0.168628,0.11,0.23,0,0,99,56,inf,102,49,291,104.50,59.47,278.02,5.50,3.47,0.00,2,8,2,12,7.75,2.94,11.31
276,0.261035,0.000000,0.151552,0.11,0.26,1,0,99,56,inf,97,53,292,99.02,65.61,277.37,0.02,9.61,0.00,2,6,1,15,7.06,2.35,12.59
