ds,cls,warmup_class_f1,d_vs_lp_heur,d_vs_fio,d_vs_hou,tralo_f1
aider,0,0.9389671361502347,-0.005099999999999993,0.0009333333333333416,0.045500000000000096,0.8823
aider,1,0.9658536585365853,-0.005900000000000016,0.0007666666666666933,0.02839999999999998,0.8796333333333334
aider,2,0.9668246445497629,-0.007966666666666677,0.002466666666666617,0.03206666666666669,0.8798333333333334
aider,3,0.9880068532267277,0.05041666666666661,0.0031333333333332103,-0.01000000000000012,0.6669333333333333
derm,1,0.7641509433962266,-0.02521666666666661,0.0012333333333333085,0.026833333333333265,0.6766
derm,4,0.6555023923444976,-0.0010166666666666102,0.005300000000000082,0.009100000000000108,0.7261000000000001
derm,5,0.9319752637322661,0.01554999999999998,-0.013566666666666616,0.044300000000000006,0.504
tissue,0,0.6442495126705653,-0.004200000000000009,-0.0025000000000000022,0.0035666666666666624,0.3305666666666667
tissue,2,0.31168831168831174,0.00011666666666670933,-0.00019999999999997797,0.004699999999999982,0.3534
tissue,4,0.3448275862068965,0.013650000000000023,0.003866666666666685,0.0055333333333333345,0.3626666666666667
tissue,6,0.490770901194354,-0.02191666666666664,-0.0025999999999999357,0.009233333333333316,0.31373333333333336
