model,dataset,tag,method,seed
MobileNetV3,tissuemnist,L20_G20,heuristic,1
MobileNetV3,tissuemnist,L20_G20,heuristic,2
MobileNetV3,tissuemnist,L20_G20,heuristic,3
MobileNetV3,tissuemnist,L20_G20,danits_lp,1
MobileNetV3,tissuemnist,L20_G20,danits_lp,2
MobileNetV3,tissuemnist,L20_G20,danits_lp,3
MobileNetV3,tissuemnist,L30_G30,heuristic,1
MobileNetV3,tissuemnist,L30_G30,heuristic,2
MobileNetV3,tissuemnist,L30_G30,heuristic,3
MobileNetV3,tissuemnist,L30_G30,danits_lp,1
MobileNetV3,tissuemnist,L30_G30,danits_lp,2
MobileNetV3,tissuemnist,L30_G30,danits_lp,3
MobileNetV3,tissuemnist,L40_G40,heuristic,1
MobileNetV3,tissuemnist,L40_G40,heuristic,2
MobileNetV3,tissuemnist,L40_G40,heuristic,3
MobileNetV3,tissuemnist,L40_G40,heuristic,4
MobileNetV3,tissuemnist,L40_G40,danits_lp,1
MobileNetV3,tissuemnist,L40_G40,danits_lp,2
MobileNetV3,tissuemnist,L40_G40,danits_lp,3
MobileNetV3,tissuemnist,L40_G40,danits_lp,4
MobileNetV3,tissuemnist,L40_G40,tralo,1
MobileNetV3,tissuemnist,L40_G40,tralo,2
MobileNetV3,tissuemnist,L40_G40,tralo,3
MobileNetV3,tissuemnist,L40_G40,tralo,4
MobileNetV3,tissuemnist,L50_G50,heuristic,1
MobileNetV3,tissuemnist,L50_G50,heuristic,2
MobileNetV3,tissuemnist,L50_G50,heuristic,3
MobileNetV3,tissuemnist,L50_G50,danits_lp,1
MobileNetV3,tissuemnist,L50_G50,danits_lp,2
MobileNetV3,tissuemnist,L50_G50,danits_lp,3
MobileNetV3,tissuemnist,L60_G60,heuristic,1
MobileNetV3,tissuemnist,L60_G60,heuristic,2
MobileNetV3,tissuemnist,L60_G60,heuristic,3
MobileNetV3,tissuemnist,L60_G60,heuristic,4
MobileNetV3,tissuemnist,L60_G60,danits_lp,1
MobileNetV3,tissuemnist,L60_G60,danits_lp,2
MobileNetV3,tissuemnist,L60_G60,danits_lp,3
MobileNetV3,tissuemnist,L60_G60,danits_lp,4
MobileNetV3,tissuemnist,L60_G60,tralo,1
MobileNetV3,tissuemnist,L60_G60,tralo,2
MobileNetV3,tissuemnist,L60_G60,tralo,3
MobileNetV3,tissuemnist,L60_G60,tralo,4
MobileNetV3,tissuemnist,L70_G70,heuristic,1
MobileNetV3,tissuemnist,L70_G70,heuristic,2
MobileNetV3,tissuemnist,L70_G70,heuristic,3
MobileNetV3,tissuemnist,L70_G70,danits_lp,1
MobileNetV3,tissuemnist,L70_G70,danits_lp,2
MobileNetV3,tissuemnist,L70_G70,danits_lp,3
MobileNetV3,tissuemnist,L80_G80,heuristic,1
MobileNetV3,tissuemnist,L80_G80,heuristic,2
MobileNetV3,tissuemnist,L80_G80,heuristic,3
MobileNetV3,tissuemnist,L80_G80,danits_lp,1
MobileNetV3,tissuemnist,L80_G80,danits_lp,2
MobileNetV3,tissuemnist,L80_G80,danits_lp,3
MobileNetV3,dermmnist,L20_G20,heuristic,1
MobileNetV3,dermmnist,L20_G20,heuristic,2
MobileNetV3,dermmnist,L20_G20,heuristic,3
MobileNetV3,dermmnist,L20_G20,danits_lp,1
MobileNetV3,dermmnist,L20_G20,danits_lp,2
MobileNetV3,dermmnist,L20_G20,danits_lp,3
MobileNetV3,dermmnist,L30_G30,heuristic,1
MobileNetV3,dermmnist,L30_G30,heuristic,2
MobileNetV3,dermmnist,L30_G30,heuristic,3
MobileNetV3,dermmnist,L30_G30,danits_lp,1
MobileNetV3,dermmnist,L30_G30,danits_lp,2
MobileNetV3,dermmnist,L30_G30,danits_lp,3
MobileNetV3,dermmnist,L40_G40,heuristic,1
MobileNetV3,dermmnist,L40_G40,heuristic,2
MobileNetV3,dermmnist,L40_G40,heuristic,3
MobileNetV3,dermmnist,L40_G40,heuristic,4
MobileNetV3,dermmnist,L40_G40,danits_lp,1
MobileNetV3,dermmnist,L40_G40,danits_lp,2
MobileNetV3,dermmnist,L40_G40,danits_lp,3
MobileNetV3,dermmnist,L40_G40,danits_lp,4
MobileNetV3,dermmnist,L40_G40,fioretto_ldf,1
MobileNetV3,dermmnist,L40_G40,fioretto_ldf,2
MobileNetV3,dermmnist,L40_G40,fioretto_ldf,3
MobileNetV3,dermmnist,L40_G40,fioretto_ldf,4
MobileNetV3,dermmnist,L40_G40,hounie_rcl,1
MobileNetV3,dermmnist,L40_G40,hounie_rcl,2
MobileNetV3,dermmnist,L40_G40,hounie_rcl,3
MobileNetV3,dermmnist,L40_G40,hounie_rcl,4
MobileNetV3,dermmnist,L40_G40,tralo_bounded,1
MobileNetV3,dermmnist,L40_G40,tralo_bounded,2
MobileNetV3,dermmnist,L40_G40,tralo_bounded,3
MobileNetV3,dermmnist,L40_G40,tralo_bounded,4
MobileNetV3,dermmnist,L40_G40,tralo,1
MobileNetV3,dermmnist,L40_G40,tralo,2
MobileNetV3,dermmnist,L40_G40,tralo,3
MobileNetV3,dermmnist,L40_G40,tralo,4
MobileNetV3,dermmnist,L50_G50,heuristic,1
MobileNetV3,dermmnist,L50_G50,heuristic,2
MobileNetV3,dermmnist,L50_G50,heuristic,3
MobileNetV3,dermmnist,L50_G50,danits_lp,1
MobileNetV3,dermmnist,L50_G50,danits_lp,2
MobileNetV3,dermmnist,L50_G50,danits_lp,3
MobileNetV3,dermmnist,L60_G60,heuristic,1
