model,dataset,tag,method,seed,lane
MobileNetV2,octmnist,L40_G40,danits_lp,1,0
MobileNetV2,octmnist,L60_G60,danits_lp,1,1
MobileNetV3,octmnist,L40_G40,danits_lp,1,0
MobileNetV3,octmnist,L60_G60,danits_lp,1,1
RegNetY400MF,octmnist,L40_G40,danits_lp,1,0
RegNetY400MF,octmnist,L60_G60,danits_lp,1,1
ViTB16,octmnist,L40_G40,danits_lp,1,0
ViTB16,octmnist,L60_G60,danits_lp,1,1
MobileNetV2,octmnist,L40_G40,danits_lp,2,0
MobileNetV2,octmnist,L60_G60,danits_lp,2,1
MobileNetV3,octmnist,L40_G40,danits_lp,2,0
MobileNetV3,octmnist,L60_G60,danits_lp,2,1
RegNetY400MF,octmnist,L40_G40,danits_lp,2,0
RegNetY400MF,octmnist,L60_G60,danits_lp,2,1
ViTB16,octmnist,L40_G40,danits_lp,2,0
ViTB16,octmnist,L60_G60,danits_lp,2,1
MobileNetV2,octmnist,L40_G40,danits_lp,3,0
MobileNetV2,octmnist,L60_G60,danits_lp,3,1
MobileNetV3,octmnist,L40_G40,danits_lp,3,0
MobileNetV3,octmnist,L60_G60,danits_lp,3,1
RegNetY400MF,octmnist,L40_G40,danits_lp,3,0
RegNetY400MF,octmnist,L60_G60,danits_lp,3,1
ViTB16,octmnist,L40_G40,danits_lp,3,0
ViTB16,octmnist,L60_G60,danits_lp,3,1
MobileNetV2,octmnist,L40_G40,danits_lp,4,0
MobileNetV2,octmnist,L60_G60,danits_lp,4,1
MobileNetV3,octmnist,L40_G40,danits_lp,4,0
MobileNetV3,octmnist,L60_G60,danits_lp,4,1
RegNetY400MF,octmnist,L40_G40,danits_lp,4,0
RegNetY400MF,octmnist,L60_G60,danits_lp,4,1
ViTB16,octmnist,L40_G40,danits_lp,4,0
ViTB16,octmnist,L60_G60,danits_lp,4,1
MobileNetV2,dermmnist,L40_G40,fioretto_ldf,1,0
MobileNetV2,dermmnist,L60_G60,fioretto_ldf,1,1
