experiment_path,status,final_epoch,global_satisfied,local_satisfied,stop_reason
our_approach/BasicNN/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_balanced,interrupted,543,True,False,Stopped at epoch 543 with Global satisfied
our_approach/BasicNN/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_combined,interrupted,444,True,False,Stopped at epoch 444 with Global satisfied
our_approach/BasicNN/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_linear,converged,480,True,True,Both constraints satisfied at epoch 480
our_approach/BasicNN/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_transfer,interrupted,375,True,False,Stopped at epoch 375 with Global satisfied
our_approach/BasicNN/constraint_0.5_0.3/lr_lambda_test/lr_5e-05_lambda_balanced,interrupted,450,False,False,Stopped at epoch 450 without satisfying constraints
our_approach/BasicNN/constraint_0.5_0.3/lr_lambda_test/lr_5e-05_lambda_combined,interrupted,546,True,False,Stopped at epoch 546 with Global satisfied
our_approach/BasicNN/constraint_0.5_0.3/lr_lambda_test/lr_5e-05_lambda_linear,interrupted,609,True,False,Stopped at epoch 609 with Global satisfied
our_approach/BasicNN/constraint_0.5_0.3/lr_lambda_test/lr_5e-05_lambda_transfer,interrupted,519,True,False,Stopped at epoch 519 with Global satisfied
our_approach/BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_balanced,interrupted,651,False,True,Stopped at epoch 651 with Local satisfied
our_approach/BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_combined,converged,702,True,True,Both constraints satisfied at epoch 702
our_approach/BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_linear,converged,834,True,True,Both constraints satisfied at epoch 834
our_approach/BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_transfer,interrupted,882,False,True,Stopped at epoch 882 with Local satisfied
our_approach/BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_balanced,interrupted,999,False,True,Stopped at epoch 999 with Local satisfied
our_approach/BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_combined,interrupted,999,False,True,Stopped at epoch 999 with Local satisfied
our_approach/BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_linear,interrupted,999,False,True,Stopped at epoch 999 with Local satisfied
our_approach/BasicNN/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_transfer,interrupted,999,False,True,Stopped at epoch 999 with Local satisfied
our_approach/BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_0.0001_lambda_balanced,converged,270,True,True,Both constraints satisfied at epoch 270
our_approach/BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_0.0001_lambda_combined,interrupted,201,True,False,Stopped at epoch 201 with Global satisfied
our_approach/BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_0.0001_lambda_linear,interrupted,240,True,False,Stopped at epoch 240 with Global satisfied
our_approach/BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_0.0001_lambda_transfer,interrupted,183,True,False,Stopped at epoch 183 with Global satisfied
our_approach/BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_balanced,interrupted,198,True,False,Stopped at epoch 198 with Global satisfied
our_approach/BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_combined,converged,159,True,True,Both constraints satisfied at epoch 159
our_approach/BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_linear,interrupted,219,True,False,Stopped at epoch 219 with Global satisfied
our_approach/BasicNN/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_transfer,converged,174,True,True,Both constraints satisfied at epoch 174
our_approach/FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_balanced,converged,216,True,True,Both constraints satisfied at epoch 216
our_approach/FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_combined,interrupted,156,False,True,Stopped at epoch 156 with Local satisfied
our_approach/FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_linear,interrupted,423,False,False,Stopped at epoch 423 without satisfying constraints
our_approach/FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_transfer,converged,201,True,True,Both constraints satisfied at epoch 201
our_approach/FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_5e-05_lambda_balanced,interrupted,213,False,False,Stopped at epoch 213 without satisfying constraints
our_approach/FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_5e-05_lambda_combined,interrupted,258,False,False,Stopped at epoch 258 without satisfying constraints
our_approach/FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_5e-05_lambda_linear,converged,261,True,True,Both constraints satisfied at epoch 261
our_approach/FTTransformer/constraint_0.5_0.3/lr_lambda_test/lr_5e-05_lambda_transfer,converged,303,True,True,Both constraints satisfied at epoch 303
our_approach/FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_balanced,interrupted,444,False,True,Stopped at epoch 444 with Local satisfied
our_approach/FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_combined,converged,408,True,True,Both constraints satisfied at epoch 408
our_approach/FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_linear,interrupted,660,False,True,Stopped at epoch 660 with Local satisfied
our_approach/FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_0.0001_lambda_transfer,interrupted,624,False,True,Stopped at epoch 624 with Local satisfied
our_approach/FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_balanced,interrupted,999,False,True,Stopped at epoch 999 with Local satisfied
our_approach/FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_combined,converged,342,True,True,Both constraints satisfied at epoch 342
our_approach/FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_linear,converged,762,True,True,Both constraints satisfied at epoch 762
our_approach/FTTransformer/constraint_0.8_0.2/lr_lambda_test/lr_5e-05_lambda_transfer,interrupted,999,False,True,Stopped at epoch 999 with Local satisfied
our_approach/FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_0.0001_lambda_balanced,interrupted,87,True,False,Stopped at epoch 87 with Global satisfied
our_approach/FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_0.0001_lambda_combined,interrupted,84,True,False,Stopped at epoch 84 with Global satisfied
our_approach/FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_0.0001_lambda_linear,converged,81,True,True,Both constraints satisfied at epoch 81
our_approach/FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_0.0001_lambda_transfer,converged,96,True,True,Both constraints satisfied at epoch 96
our_approach/FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_balanced,interrupted,96,True,False,Stopped at epoch 96 with Global satisfied
our_approach/FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_combined,interrupted,87,True,False,Stopped at epoch 87 with Global satisfied
our_approach/FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_linear,interrupted,105,True,False,Stopped at epoch 105 with Global satisfied
our_approach/FTTransformer/constraint_0.9_0.8/lr_lambda_test/lr_5e-05_lambda_transfer,converged,102,True,True,Both constraints satisfied at epoch 102
our_approach/TabularResNet/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_balanced,interrupted,261,False,False,Stopped at epoch 261 without satisfying constraints
our_approach/TabularResNet/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_combined,converged,285,True,True,Both constraints satisfied at epoch 285
our_approach/TabularResNet/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_linear,converged,258,True,True,Both constraints satisfied at epoch 258
our_approach/TabularResNet/constraint_0.5_0.3/lr_lambda_test/lr_0.0001_lambda_transfer,converged,267,True,True,Both constraints satisfied at epoch 267
our_approach/TabularResNet/constraint_0.5_0.3/lr_lambda_test/lr_5e-05_lambda_balanced,interrupted,384,False,False,Stopped at epoch 384 without satisfying constraints
our_approach/TabularResNet/constraint_0.5_0.3/lr_lambda_test/lr_5e-05_lambda_combined,interrupted,999,True,False,Stopped at epoch 999 with Global satisfied
