dataset,model,constraint_tag,method,seed,acc,f1m,flips,sat,ccf1,ccrec
octmnist,ViTB16,L70_G70,hounie_rcl,1,0.817,0.8107,8.0,1.0,0.6745,0.572
octmnist,ViTB16,L70_G70,tralo,1,0.819,0.8126,3.0,1.0,0.6745,0.572
octmnist,ViTB16,L70_G70,danits_lp,1,0.794,0.7855,11.0,0.0,0.6368,0.54
octmnist,ViTB16,L70_G70,fioretto_ldf,1,0.817,0.8108,14.0,1.0,0.6745,0.572
octmnist,ViTB16,L70_G70,tralo_bounded,1,0.817,0.8108,11.0,1.0,0.6745,0.572
octmnist,ViTB16,L70_G70,heuristic,1,0.797,0.7888,11.0,0.0,0.6462,0.548
octmnist,ViTB16,L30_G30,hounie_rcl,1,0.729,0.6835,0.0,1.0,0.302,0.18
octmnist,ViTB16,L30_G30,tralo,1,0.755,0.7231,0.0,1.0,0.4161,0.268
octmnist,ViTB16,L30_G30,danits_lp,1,0.741,0.7075,110.0,0.0,0.4123,0.268
octmnist,ViTB16,L30_G30,fioretto_ldf,1,0.727,0.6799,0.0,1.0,0.2905,0.172
octmnist,ViTB16,L30_G30,tralo_bounded,1,0.736,0.6951,0.0,1.0,0.3399,0.208
octmnist,ViTB16,L30_G30,heuristic,1,0.742,0.7091,110.0,0.0,0.4185,0.272
octmnist,ViTB16,L50_G50,hounie_rcl,1,0.787,0.7716,19.0,1.0,0.5653,0.424
octmnist,ViTB16,L50_G50,tralo,1,0.793,0.7778,0.0,1.0,0.576,0.432
octmnist,ViTB16,L50_G50,danits_lp,1,0.782,0.7665,60.0,0.0,0.5813,0.436
octmnist,ViTB16,L50_G50,fioretto_ldf,1,0.79,0.7749,19.0,1.0,0.5707,0.428
octmnist,ViTB16,L50_G50,tralo_bounded,1,0.792,0.777,19.0,1.0,0.576,0.432
octmnist,ViTB16,L50_G50,heuristic,1,0.782,0.7665,60.0,0.0,0.5813,0.436
dermmnist,ViTB16,L50_G50,tralo,1,0.8362,0.7158,1.0,1.0,0.515,0.3857
dermmnist,ViTB16,L50_G50,fioretto_ldf,1,0.8342,0.7081,8.0,1.0,0.509,0.3812
dermmnist,ViTB16,L50_G50,heuristic,1,0.8098,0.6742,63.0,0.0,0.4731,0.3543
tissuemnist,ViTB16,L50_G50,tralo,1,0.5892,0.4926,1.0,1.0,0.4358,0.3275
tissuemnist,ViTB16,L50_G50,fioretto_ldf,1,0.5896,0.4931,11.0,1.0,0.4436,0.3333
tissuemnist,ViTB16,L50_G50,heuristic,1,0.5863,0.4772,126.0,0.0,0.4047,0.3041
